style,tip
top:26px;left:265px;,"2nd quarter, 1:02.0 remaining<br>Aaron Nesmith missed 2-pointer from 3 ft<br>Indiana leads 60-44"
top:150px;left:330px;,"2nd quarter, 0:19.0 remaining<br>Pascal Siakam missed 2-pointer from 15 ft<br>Indiana leads 60-48"
top:53px;left:234px;,"3rd quarter, 10:48.0 remaining<br>Pascal Siakam missed 2-pointer from 2 ft<br>Indiana leads 60-55"
top:269px;left:75px;,"3rd quarter, 9:40.0 remaining<br>Aaron Nesmith made 3-pointer from 29 ft<br>Indiana now leads 65-58"
top:220px;left:257px;,"3rd quarter, 9:04.0 remaining<br>Pascal Siakam missed 2-pointer from 19 ft<br>Indiana leads 65-58"
top:311px;left:205px;,"3rd quarter, 8:37.0 remaining<br>Kobe Brown missed 3-pointer from 28 ft<br>Indiana leads 65-61"
top:189px;left:113px;,"3rd quarter, 8:26.0 remaining<br>Quenton Jackson missed 2-pointer from 20 ft<br>Indiana leads 65-61"
top:62px;left:4px;,"3rd quarter, 8:09.0 remaining<br>Kobe Brown made 3-pointer from 24 ft<br>Indiana now leads 68-61"
top:39px;left:248px;,"3rd quarter, 6:49.0 remaining<br>Aaron Nesmith made 2-pointer from 1 ft<br>Indiana now leads 72-67"
top:49px;left:484px;,"3rd quarter, 6:23.0 remaining<br>Jay Huff missed 3-pointer from 24 ft<br>Indiana leads 72-67"
top:205px;left:242px;,"3rd quarter, 5:58.0 remaining<br>Aaron Nesmith made 2-pointer from 18 ft<br>Indiana now leads 74-70"
top:28px;left:227px;,"3rd quarter, 4:48.0 remaining<br>Quenton Jackson made 2-pointer from 1 ft<br>Indiana now leads 76-72"
top:29px;left:243px;,"3rd quarter, 4:20.0 remaining<br>Obi Toppin made 2-pointer from 0 ft<br>Indiana now leads 78-72"
top:242px;left:38px;,"3rd quarter, 3:53.0 remaining<br>Obi Toppin made 3-pointer from 29 ft<br>Indiana now leads 81-72"
top:28px;left:226px;,"3rd quarter, 3:10.0 remaining<br>Ben Sheppard made 2-pointer from 1 ft<br>Indiana now leads 83-74"
top:31px;left:-3px;,"3rd quarter, 2:31.0 remaining<br>Ben Sheppard missed 3-pointer from 24 ft<br>Indiana leads 83-77"
top:80px;left:190px;,"3rd quarter, 2:01.0 remaining<br>T.J. McConnell made 2-pointer from 7 ft<br>Indiana now leads 85-79"
top:58px;left:261px;,"3rd quarter, 1:33.0 remaining<br>Jalen Slawson missed 2-pointer from 3 ft<br>Indiana leads 85-81"
top:275px;left:325px;,"3rd quarter, 0:53.0 remaining<br>Aaron Nesmith made 3-pointer from 26 ft<br>Indiana now leads 88-84"
top:260px;left:406px;,"3rd quarter, 0:16.0 remaining<br>Obi Toppin missed 3-pointer from 28 ft<br>Indiana leads 88-84"
top:272px;left:64px;,"3rd quarter, 0:00.0 remaining<br>Obi Toppin missed 3-pointer from 30 ft<br>Indiana leads 88-86"
top:260px;left:375px;,"4th quarter, 11:35.0 remaining<br>Kobe Brown missed 3-pointer from 27 ft<br>Indiana leads 88-86"
top:143px;left:207px;,"4th quarter, 10:50.0 remaining<br>Pascal Siakam missed 2-pointer from 12 ft<br>Indiana leads 90-86"
top:316px;left:208px;,"4th quarter, 10:31.0 remaining<br>Pascal Siakam missed 3-pointer from 29 ft<br>Indiana leads 90-86"
top:13px;left:474px;,"4th quarter, 10:10.0 remaining<br>Micah Potter made 3-pointer from 23 ft<br>Indiana now leads 93-86"
top:52px;left:236px;,"4th quarter, 9:34.0 remaining<br>Kobe Brown made 2-pointer from 2 ft<br>Indiana now leads 95-88"
top:303px;left:263px;,"4th quarter, 9:10.0 remaining<br>Pascal Siakam missed 3-pointer from 27 ft<br>Indiana leads 95-88"
top:34px;left:252px;,"4th quarter, 9:06.0 remaining<br>Micah Potter made 2-pointer from 1 ft<br>Indiana now leads 97-88"
top:38px;left:465px;,"4th quarter, 8:39.0 remaining<br>Pascal Siakam missed 3-pointer from 23 ft<br>Indiana leads 97-90"
top:59px;left:247px;,"4th quarter, 7:46.0 remaining<br>Micah Potter made 2-pointer from 3 ft<br>Indiana now leads 99-94"
top:43px;left:252px;,"4th quarter, 7:21.0 remaining<br>Aaron Nesmith missed 2-pointer from 2 ft<br>Indiana leads 99-94"
top:306px;left:253px;,"4th quarter, 6:57.0 remaining<br>Andrew Nembhard missed 3-pointer from 28 ft<br>Indiana leads 99-97"
