1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Golden State
12:00.0,Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession)
4:24.0,Shooting foul by O. Yurtseven (drawn by A. Sarr),,7-22,,
4:24.0,A. Sarr misses free throw 1 of 2,,7-22,,
4:24.0,Offensive rebound by Team,,7-22,,
4:24.0,J. Champagnie enters the game for T. Johnson,,7-22,,
4:24.0,A. Sarr makes free throw 2 of 2,+1,8-22,,
4:14.0,,,8-22,,G. Payton misses 2-pt layup from 3 ft
4:11.0,Defensive rebound by J. Champagnie,,8-22,,
4:08.0,B. Carrington makes 3-pt jump shot from 27 ft (assist by S. Cooper),+3,11-22,,
3:54.0,,,11-24,+2,P. Spencer makes 2-pt jump shot from 10 ft
3:39.0,A. Sarr makes 2-pt dunk from 1 ft (assist by B. Carrington),+2,13-24,,
3:21.0,,,13-26,+2,G. Payton makes 2-pt layup from 1 ft (assist by P. Spencer)
3:20.0,Washington full timeout,,13-26,,
3:20.0,A. Gill enters the game for A. Sarr,,13-26,,
3:20.0,,,13-26,,W. Richard enters the game for G. Payton
3:07.0,A. Gill makes 2-pt layup from 2 ft (assist by B. Carrington),+2,15-26,,
2:44.0,,,15-28,+2,G. Santos makes 2-pt hook shot from 2 ft
2:26.0,A. Gill makes 2-pt jump shot from 2 ft (assist by J. Champagnie),+2,17-28,,
2:15.0,,,17-28,,B. Podziemski misses 3-pt jump shot from 26 ft
2:14.0,Defensive rebound by W. Riley,,17-28,,
2:05.0,J. Champagnie misses 3-pt jump shot from 28 ft,,17-28,,
2:04.0,,,17-28,,Defensive rebound by O. Yurtseven
1:51.0,,,17-31,+3,G. Santos makes 3-pt jump shot from 26 ft (assist by B. Podziemski)
