style,tip
top:266px;left:132px;,"2nd quarter, 4:21.0 remaining<br>LJ Cryer made 3-pointer from 26 ft<br>Golden State now leads 60-48"
top:43px;left:207px;,"2nd quarter, 3:51.0 remaining<br>Brandin Podziemski made 2-pointer from 4 ft<br>Golden State now leads 62-50"
top:70px;left:4px;,"2nd quarter, 3:29.0 remaining<br>LJ Cryer made 3-pointer from 24 ft<br>Golden State now leads 65-50"
top:139px;left:232px;,"2nd quarter, 2:45.0 remaining<br>LJ Cryer missed 2-pointer from 11 ft<br>Golden State leads 65-52"
top:42px;left:231px;,"2nd quarter, 2:42.0 remaining<br>Gary Payton II missed 2-pointer from 1 ft<br>Golden State leads 65-52"
top:22px;left:238px;,"2nd quarter, 2:31.0 remaining<br>Gary Payton II made 2-pointer from 1 ft<br>Golden State now leads 67-52"
top:285px;left:363px;,"2nd quarter, 1:51.0 remaining<br>LJ Cryer missed 3-pointer from 28 ft<br>Golden State leads 67-54"
top:20px;left:242px;,"2nd quarter, 1:33.0 remaining<br>Gary Payton II made 2-pointer from 1 ft<br>Golden State now leads 69-54"
top:278px;left:149px;,"2nd quarter, 1:01.0 remaining<br>Draymond Green missed 3-pointer from 26 ft<br>Golden State leads 69-57"
top:48px;left:226px;,"2nd quarter, 0:05.0 remaining<br>Draymond Green made 2-pointer from 2 ft<br>Golden State now leads 72-60"
top:100px;left:12px;,"3rd quarter, 11:01.0 remaining<br>Will Richard missed 3-pointer from 24 ft<br>Golden State leads 73-62"
top:269px;left:374px;,"3rd quarter, 10:42.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 27 ft<br>Golden State now leads 76-65"
top:304px;left:273px;,"3rd quarter, 10:11.0 remaining<br>Kristaps PorziÅÄ£is missed 3-pointer from 28 ft<br>Golden State leads 76-65"
top:46px;left:216px;,"3rd quarter, 9:46.0 remaining<br>Gui Santos missed 2-pointer from 3 ft<br>Golden State leads 76-67"
top:281px;left:421px;,"3rd quarter, 9:23.0 remaining<br>Kristaps PorziÅÄ£is missed 3-pointer from 31 ft<br>Golden State leads 76-70"
top:243px;left:418px;,"3rd quarter, 8:53.0 remaining<br>LJ Cryer missed 3-pointer from 28 ft<br>Golden State leads 76-73"
top:218px;left:54px;,"3rd quarter, 8:15.0 remaining<br>Brandin Podziemski missed 3-pointer from 26 ft<br>Golden State leads 76-73"
top:30px;left:227px;,"3rd quarter, 7:33.0 remaining<br>Pat Spencer missed 2-pointer from 1 ft<br>Golden State leads 76-73"
top:225px;left:54px;,"3rd quarter, 6:57.0 remaining<br>Draymond Green made 3-pointer from 27 ft<br>Golden State now leads 79-76"
top:69px;left:231px;,"3rd quarter, 6:37.0 remaining<br>Kristaps PorziÅÄ£is made 2-pointer from 4 ft<br>Golden State now leads 81-76"
top:46px;left:228px;,"3rd quarter, 5:14.0 remaining<br>Gary Payton II made 2-pointer from 2 ft<br>Golden State now leads 84-78"
top:286px;left:122px;,"3rd quarter, 4:26.0 remaining<br>Pat Spencer missed 3-pointer from 28 ft<br>Golden State leads 84-78"
top:62px;left:226px;,"3rd quarter, 3:52.0 remaining<br>Gui Santos missed 2-pointer from 3 ft<br>Golden State leads 84-81"
top:43px;left:236px;,"3rd quarter, 3:25.0 remaining<br>Brandin Podziemski made 2-pointer from 1 ft<br>Golden State now leads 86-83"
top:231px;left:33px;,"3rd quarter, 2:55.0 remaining<br>Gui Santos missed 3-pointer from 29 ft<br>Golden State leads 86-85"
top:284px;left:344px;,"3rd quarter, 2:14.0 remaining<br>LJ Cryer made 3-pointer from 27 ft<br>Golden State now leads 89-85"
