1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
2:31.0,,,22-23,,Personal foul by D. Cardwell (drawn by C. Koloko)
2:27.0,,,22-23,,Shooting foul by D. Plowden (drawn by C. McCollum)
2:27.0,,,22-23,,C. McCollum misses free throw 1 of 2
2:27.0,,,22-23,,Offensive rebound by Team
2:27.0,,,22-24,+1,C. McCollum makes free throw 2 of 2
2:18.0,K. Hayes makes 2-pt jump shot from 8 ft,+2,24-24,,
2:06.0,,,24-24,,Turnover by G. Vincent (bad pass; steal by K. Hayes)
1:54.0,N. Clifford makes 3-pt jump shot from 25 ft (assist by K. Hayes),+3,27-24,,
1:33.0,,,27-27,+3,Z. Risacher makes 3-pt jump shot from 26 ft (assist by C. McCollum)
1:08.0,K. Hayes misses 3-pt jump shot from 24 ft,,27-27,,
1:05.0,,,27-27,,Defensive rebound by G. Vincent
0:58.0,,,27-27,,Turnover by C. Kispert (traveling)
0:46.0,D. Jeffries makes 3-pt jump shot from 25 ft (assist by D. Cardwell),+3,30-27,,
0:33.0,,,30-27,,C. McCollum misses 3-pt jump shot from 26 ft
0:30.0,Defensive rebound by N. Clifford,,30-27,,
0:25.0,D. Jeffries misses 2-pt layup from 1 ft (block by C. Koloko),,30-27,,
0:21.0,,,30-27,,Defensive rebound by C. McCollum
0:18.0,,,30-27,,C. McCollum misses 2-pt jump shot from 8 ft
0:15.0,,,30-27,,Offensive rebound by Z. Risacher
0:04.0,,,30-27,,C. Kispert misses 3-pt jump shot from 26 ft
0:01.0,Defensive rebound by N. Clifford,,30-27,,
0:00.0,Team misses heave shot,,30-27,,
0:00.0,Offensive rebound by Team,,30-27,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Sacramento,,Score,,Atlanta
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:58.0,Turnover by K. Hayes (bad pass; steal by C. Koloko),,30-27,,
11:54.0,,,30-27,,Z. Risacher misses 3-pt jump shot from 26 ft
11:50.0,Defensive rebound by D. Plowden,,30-27,,
11:34.0,D. Plowden misses 3-pt jump shot from 25 ft,,30-27,,
11:31.0,Offensive rebound by P. Achiuwa,,30-27,,
