style,tip
top:231px;left:396px;,"3rd quarter, 7:26.0 remaining<br>Tim Hardaway Jr. made 3-pointer from 25 ft<br>Denver now tied 61-61"
top:294px;left:200px;,"3rd quarter, 6:57.0 remaining<br>Jamal Murray missed 3-pointer from 27 ft<br>Denver trails 62-63"
top:49px;left:253px;,"3rd quarter, 6:40.0 remaining<br>Peyton Watson missed 2-pointer from 2 ft<br>Denver trails 62-63"
top:65px;left:388px;,"3rd quarter, 6:07.0 remaining<br>Tim Hardaway Jr. missed 2-pointer from 15 ft<br>Denver trails 62-63"
top:24px;left:243px;,"3rd quarter, 5:24.0 remaining<br>Christian Braun made 2-pointer from 1 ft<br>Denver now trails 64-66"
top:289px;left:298px;,"3rd quarter, 4:41.0 remaining<br>Nikola JokiÄ made 3-pointer from 27 ft<br>Denver now leads 67-66"
top:51px;left:232px;,"3rd quarter, 3:33.0 remaining<br>Christian Braun made 2-pointer from 2 ft<br>Denver now leads 71-69"
top:272px;left:346px;,"3rd quarter, 3:10.0 remaining<br>Tim Hardaway Jr. missed 3-pointer from 26 ft<br>Denver leads 71-69"
top:93px;left:468px;,"3rd quarter, 2:43.0 remaining<br>Tim Hardaway Jr. made 3-pointer from 24 ft<br>Denver now leads 74-69"
top:29px;left:245px;,"3rd quarter, 2:12.0 remaining<br>Bruce Brown made 2-pointer from 1 ft<br>Denver now leads 76-69"
top:121px;left:208px;,"3rd quarter, 1:43.0 remaining<br>Nikola JokiÄ made 2-pointer from 10 ft<br>Denver now leads 78-71"
top:277px;left:132px;,"3rd quarter, 1:17.0 remaining<br>Nikola JokiÄ missed 3-pointer from 27 ft<br>Denver leads 78-74"
top:108px;left:182px;,"3rd quarter, 1:15.0 remaining<br>Tim Hardaway Jr. made 2-pointer from 10 ft<br>Denver now leads 80-74"
top:120px;left:135px;,"3rd quarter, 0:36.0 remaining<br>Nikola JokiÄ made 2-pointer from 14 ft<br>Denver now leads 83-74"
top:67px;left:-1px;,"3rd quarter, 0:03.0 remaining<br>Julian Strawther made 3-pointer from 24 ft<br>Denver now leads 86-74"
top:55px;left:253px;,"4th quarter, 11:22.0 remaining<br>Bruce Brown missed 2-pointer from 3 ft<br>Denver leads 86-74"
top:48px;left:2px;,"4th quarter, 10:50.0 remaining<br>Bruce Brown missed 3-pointer from 24 ft<br>Denver leads 86-77"
top:95px;left:244px;,"4th quarter, 10:39.0 remaining<br>Jamal Murray made 2-pointer from 7 ft<br>Denver now leads 88-77"
top:287px;left:278px;,"4th quarter, 10:09.0 remaining<br>Jamal Murray made 3-pointer from 26 ft<br>Denver now leads 92-77"
top:153px;left:231px;,"4th quarter, 9:30.0 remaining<br>Bruce Brown missed 2-pointer from 12 ft<br>Denver leads 92-79"
top:42px;left:248px;,"4th quarter, 8:50.0 remaining<br>Bruce Brown missed 2-pointer from 1 ft<br>Denver leads 92-82"
top:51px;left:233px;,"4th quarter, 8:23.0 remaining<br>Julian Strawther made 2-pointer from 2 ft<br>Denver now leads 94-82"
top:44px;left:465px;,"4th quarter, 8:00.0 remaining<br>Tim Hardaway Jr. made 3-pointer from 23 ft<br>Denver now leads 97-82"
top:59px;left:357px;,"4th quarter, 7:10.0 remaining<br>Jamal Murray made 2-pointer from 12 ft<br>Denver now leads 99-85"
top:47px;left:142px;,"4th quarter, 6:21.0 remaining<br>Julian Strawther missed 2-pointer from 10 ft<br>Denver leads 99-85"
top:30px;left:240px;,"4th quarter, 6:19.0 remaining<br>Peyton Watson missed 2-pointer from 0 ft<br>Denver leads 99-85"
top:220px;left:65px;,"4th quarter, 5:43.0 remaining<br>Christian Braun missed 3-pointer from 26 ft<br>Denver leads 99-88"
top:74px;left:287px;,"4th quarter, 5:20.0 remaining<br>Julian Strawther made 2-pointer from 6 ft<br>Denver now leads 101-88"
top:60px;left:-3px;,"4th quarter, 4:58.0 remaining<br>Julian Strawther missed 3-pointer from 24 ft<br>Denver leads 101-88"
top:231px;left:59px;,"4th quarter, 4:50.0 remaining<br>Nikola JokiÄ missed 3-pointer from 27 ft<br>Denver leads 101-88"
top:86px;left:468px;,"4th quarter, 4:23.0 remaining<br>Bruce Brown made 3-pointer from 24 ft<br>Denver now leads 104-88"
top:37px;left:227px;,"4th quarter, 3:55.0 remaining<br>Christian Braun made 2-pointer from 1 ft<br>Denver now leads 106-88"
top:32px;left:239px;,"4th quarter, 3:21.0 remaining<br>Peyton Watson missed 2-pointer from 0 ft<br>Denver leads 106-88"
top:30px;left:240px;,"4th quarter, 3:19.0 remaining<br>Nikola JokiÄ missed 2-pointer from 0 ft<br>Denver leads 106-88"
top:47px;left:237px;,"4th quarter, 3:16.0 remaining<br>Christian Braun made 2-pointer from 2 ft<br>Denver now leads 108-88"
top:96px;left:472px;,"4th quarter, 2:29.0 remaining<br>Bruce Brown made 3-pointer from 24 ft<br>Denver now leads 111-90"
top:268px;left:103px;,"4th quarter, 1:56.0 remaining<br>Peyton Watson missed 3-pointer from 27 ft<br>Denver leads 111-90"
top:238px;left:81px;,"4th quarter, 1:13.0 remaining<br>DaRon Holmes made 3-pointer from 26 ft<br>Denver now leads 114-92"
top:48px;left:237px;,"4th quarter, 0:42.0 remaining<br>DaRon Holmes made 2-pointer from 2 ft<br>Denver now leads 116-93"
