1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Houston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,New Orleans
12:00.0,Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession),Jump ball: A. ÅengÃ¼n vs. Y. Missi (Z. Williamson gains possession)
11:48.0,K. Durant misses 3-pt jump shot from 26 ft,,68-47,,
11:44.0,,,68-47,,Defensive rebound by D. Murray
11:36.0,,,68-49,+2,D. Murray makes 2-pt jump shot from 10 ft
11:21.0,Personal foul by H. Jones (drawn by K. Durant),,68-49,,
11:07.0,A. ÅengÃ¼n misses 2-pt jump shot from 8 ft,,68-49,,
11:05.0,,,68-49,,Defensive rebound by S. Bey
10:53.0,,,68-49,,D. Murray misses 3-pt jump shot from 25 ft
10:49.0,Defensive rebound by R. Sheppard,,68-49,,
10:41.0,R. Sheppard makes 3-pt jump shot from 29 ft (assist by J. Smith),+3,71-49,,
10:26.0,,,71-49,,Turnover by H. Jones (bad pass; steal by A. Thompson)
10:24.0,Shooting foul by H. Jones (drawn by A. Thompson),,71-49,,
10:24.0,A. Thompson makes free throw 1 of 2,+1,72-49,,
10:24.0,A. Thompson makes free throw 2 of 2,+1,73-49,,
10:09.0,,,73-52,+3,H. Jones makes 3-pt jump shot from 23 ft (assist by Z. Williamson)
9:55.0,K. Durant misses 3-pt jump shot from 25 ft,,73-52,,
9:51.0,,,73-52,,Defensive rebound by Y. Missi
9:44.0,,,73-52,,Shooting foul by A. ÅengÃ¼n (drawn by Z. Williamson)
9:44.0,,,73-53,+1,Z. Williamson makes free throw 1 of 2
9:44.0,,,73-54,+1,Z. Williamson makes free throw 2 of 2
9:36.0,Turnover by R. Sheppard (lost ball; steal by D. Murray),,73-54,,
9:31.0,,,73-56,+2,D. Murray makes 2-pt layup from 2 ft
9:18.0,A. ÅengÃ¼n misses 2-pt hook shot from 5 ft,,73-56,,
9:14.0,Offensive rebound by A. Thompson,,73-56,,
9:11.0,R. Sheppard makes 3-pt jump shot from 27 ft (assist by J. Smith),+3,76-56,,
8:58.0,,,76-59,+3,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray)
8:57.0,Houston full timeout,,76-59,,
8:42.0,A. Thompson misses 3-pt jump shot from 23 ft,,76-59,,
8:39.0,,,76-59,,Defensive rebound by Z. Williamson
8:33.0,,,76-61,+2,Z. Williamson makes 2-pt layup from 2 ft
8:10.0,K. Durant misses 3-pt jump shot from 27 ft,,76-61,,
8:07.0,,,76-61,,Defensive rebound by D. Murray
8:01.0,,,76-63,+2,D. Murray makes 2-pt layup from 2 ft
7:43.0,A. ÅengÃ¼n makes 3-pt jump shot from 25 ft,+3,79-63,,
7:29.0,,,79-63,,H. Jones misses 2-pt layup from 4 ft (block by R. Sheppard)
7:26.0,Defensive rebound by K. Durant,,79-63,,
7:26.0,Shooting foul by Z. Williamson (drawn by J. Smith),,79-63,,
7:26.0,J. Smith makes free throw 1 of 2,+1,80-63,,
7:26.0,J. Smith makes free throw 2 of 2,+1,81-63,,
7:19.0,,,81-63,,Shooting foul by J. Smith (drawn by Z. Williamson)
7:19.0,,,81-63,,Z. Williamson misses free throw 1 of 2
7:19.0,,,81-63,,Offensive rebound by Team
7:19.0,,,81-64,+1,Z. Williamson makes free throw 2 of 2
7:03.0,A. Thompson misses 2-pt layup from 2 ft,,81-64,,
7:02.0,Offensive rebound by A. Thompson,,81-64,,
6:57.0,Personal foul by S. Bey (drawn by A. ÅengÃ¼n),,81-64,,
6:45.0,A. ÅengÃ¼n misses 2-pt jump shot from 13 ft,,81-64,,
6:42.0,,,81-64,,Defensive rebound by D. Murray
6:34.0,,,81-66,+2,S. Bey makes 2-pt layup from 2 ft (assist by D. Murray)
6:26.0,A. Thompson makes 2-pt dunk at rim (assist by A. ÅengÃ¼n),+2,83-66,,
6:13.0,,,83-66,,H. Jones misses 2-pt jump shot from 6 ft
6:10.0,,,83-66,,Offensive rebound by Z. Williamson
6:10.0,,,83-68,+2,Z. Williamson makes 2-pt layup at rim
5:51.0,Personal foul by Y. Missi (drawn by A. ÅengÃ¼n),,83-68,,
5:51.0,Houston full timeout,,83-68,,
5:51.0,Instant Replay (Challenge: Ruling Stands),,83-68,,
5:51.0,T. Eason enters the game for A. Thompson,,83-68,,
5:51.0,A. ÅengÃ¼n makes free throw 1 of 2,+1,84-68,,
5:51.0,A. ÅengÃ¼n makes free throw 2 of 2,+1,85-68,,
5:36.0,,,85-68,,Shooting foul by J. Smith (drawn by Z. Williamson)
5:36.0,,,85-68,,Z. Williamson misses free throw 1 of 2
5:36.0,,,85-68,,Offensive rebound by Team
5:36.0,C. Capela enters the game for A. ÅengÃ¼n,,85-68,,
5:36.0,,,85-69,+1,Z. Williamson makes free throw 2 of 2
5:22.0,C. Capela makes 2-pt dunk at rim (assist by K. Durant),+2,87-69,,
5:10.0,,,87-71,+2,Y. Missi makes 2-pt dunk from 1 ft (assist by D. Murray)
4:41.0,K. Durant misses 2-pt jump shot from 11 ft,,87-71,,
4:38.0,Offensive rebound by C. Capela,,87-71,,
4:37.0,C. Capela misses 2-pt layup from 3 ft,,87-71,,
4:35.0,,,87-71,,Defensive rebound by Y. Missi
4:29.0,,,87-73,+2,H. Jones makes 2-pt layup from 2 ft
4:21.0,J. Smith makes 2-pt layup from 3 ft,+2,89-73,,
4:14.0,,,89-73,,Shooting foul by C. Capela (drawn by Z. Williamson)
4:14.0,,,89-74,+1,Z. Williamson makes free throw 1 of 2
4:14.0,,,89-74,,M. Peavy enters the game for S. Bey
4:14.0,,,89-75,+1,Z. Williamson makes free throw 2 of 2
4:14.0,A. Holiday enters the game for R. Sheppard,,89-75,,
4:14.0,A. Thompson enters the game for J. Smith,,89-75,,
3:57.0,K. Durant makes 2-pt jump shot from 9 ft,+2,91-75,,
3:57.0,Shooting foul by M. Peavy (drawn by K. Durant),,91-75,,
3:57.0,K. Durant makes free throw 1 of 1,+1,92-75,,
3:49.0,,,92-75,,Z. Williamson misses 2-pt layup from 6 ft (block by C. Capela)
3:46.0,Defensive rebound by K. Durant,,92-75,,
3:39.0,K. Durant makes 2-pt jump shot from 10 ft,+2,94-75,,
3:25.0,,,94-75,,D. Murray misses 2-pt jump shot from 3 ft
3:23.0,Defensive rebound by A. Thompson,,94-75,,
3:23.0,Turnover by A. Holiday (step out of bounds),,94-75,,
3:23.0,,,94-75,,D. Queen enters the game for Z. Williamson
3:05.0,,,94-77,+2,D. Queen makes 2-pt dunk at rim (assist by Y. Missi)
2:43.0,Turnover by K. Durant (bad pass; steal by M. Peavy),,94-77,,
2:39.0,,,94-77,,H. Jones misses 3-pt jump shot from 25 ft
2:35.0,,,94-77,,Offensive rebound by D. Queen
2:34.0,,,94-77,,Personal foul by C. Capela (drawn by Y. Missi)
2:34.0,,,94-78,+1,Y. Missi makes free throw 1 of 2
2:34.0,A. ÅengÃ¼n enters the game for C. Capela,,94-78,,
2:34.0,,,94-78,,Y. Missi misses free throw 2 of 2
2:31.0,Defensive rebound by A. ÅengÃ¼n,,94-78,,
2:18.0,Personal foul by Y. Missi (drawn by K. Durant),,94-78,,
2:18.0,K. Durant makes free throw 1 of 2,+1,95-78,,
2:18.0,K. Durant makes free throw 2 of 2,+1,96-78,,
2:03.0,,,96-78,,H. Jones misses 2-pt jump shot from 10 ft
2:00.0,Defensive rebound by T. Eason,,96-78,,
1:55.0,K. Durant misses 3-pt jump shot from 25 ft,,96-78,,
1:52.0,,,96-78,,Defensive rebound by D. Murray
1:41.0,,,96-78,,D. Queen misses 2-pt jump shot from 7 ft
1:41.0,Defensive rebound by Team,,96-78,,
1:21.0,T. Eason misses 2-pt layup from 2 ft,,96-78,,
1:19.0,,,96-78,,Defensive rebound by H. Jones
1:12.0,,,96-78,,Turnover by H. Jones (lost ball; steal by T. Eason)
1:07.0,A. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),+2,98-78,,
0:54.0,,,98-78,,D. Queen misses 2-pt layup from 4 ft
0:53.0,,,98-78,,Offensive rebound by D. Queen
0:53.0,,,98-80,+2,D. Queen makes 2-pt layup at rim
0:53.0,,,98-80,,Violation by Team (delay of game)
0:53.0,,,98-80,,Technical foul by D. Queen
0:53.0,K. Durant makes technical free throw,+1,99-80,,
0:53.0,,,99-80,,K. Looney enters the game for Y. Missi
0:33.0,A. ÅengÃ¼n misses 2-pt hook shot from 8 ft,,99-80,,
0:30.0,,,99-80,,Defensive rebound by K. Looney
0:11.0,,,99-80,,D. Queen misses 2-pt layup from 6 ft (block by A. ÅengÃ¼n)
0:09.0,Defensive rebound by T. Eason,,99-80,,
0:04.0,Shooting foul by H. Jones (drawn by A. Thompson),,99-80,,
0:04.0,A. Thompson makes free throw 1 of 2,+1,100-80,,
0:04.0,J. Smith enters the game for K. Durant,,100-80,,
0:04.0,J. Tate enters the game for A. ÅengÃ¼n,,100-80,,
0:04.0,,,100-80,,S. Bey enters the game for H. Jones
0:04.0,A. Thompson makes free throw 2 of 2,+1,101-80,,
0:00.0,,,101-80,,S. Bey misses 2-pt jump shot from 7 ft
0:00.0,,,101-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,Houston,,Score,,New Orleans
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:45.0,,,101-83,+3,J. Fears makes 3-pt jump shot from 25 ft (assist by D. Queen)
11:37.0,Personal foul by J. Fears (drawn by A. Holiday),,101-83,,
11:26.0,A. ÅengÃ¼n makes 3-pt jump shot from 24 ft (assist by A. Holiday),+3,104-83,,
11:15.0,,,104-85,+2,J. Fears makes 2-pt jump shot from 17 ft
10:56.0,A. Holiday misses 3-pt jump shot from 25 ft,,104-85,,
10:50.0,,,104-85,,Defensive rebound by K. Looney
