1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Denver
12:00.0,Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession)
4:05.0,O. Tshiebwe misses 2-pt layup from 1 ft (block by A. Gordon),,20-24,,
4:03.0,,,20-24,,Defensive rebound by N. JokiÄ
3:47.0,,,20-26,+2,A. Gordon makes 2-pt dunk from 2 ft (assist by N. JokiÄ)
3:33.0,B. Sensabaugh misses 2-pt jump shot from 11 ft,,20-26,,
3:30.0,,,20-26,,Defensive rebound by A. Gordon
3:16.0,,,20-26,,P. Watson misses 2-pt jump shot from 12 ft
3:13.0,Defensive rebound by O. Tshiebwe,,20-26,,
2:58.0,O. Tshiebwe makes 2-pt layup from 2 ft (assist by E. Harkless),+2,22-26,,
2:39.0,,,22-26,,T. Hardaway misses 3-pt jump shot from 28 ft
2:37.0,,,22-26,,Offensive rebound by N. JokiÄ
2:35.0,,,22-28,+2,N. JokiÄ makes 2-pt layup from 4 ft
2:23.0,E. Harkless misses 3-pt jump shot from 26 ft,,22-28,,
2:19.0,Offensive rebound by O. Tshiebwe,,22-28,,
2:09.0,O. Tshiebwe makes 2-pt layup from 2 ft,+2,24-28,,
1:57.0,,,24-30,+2,N. JokiÄ makes 2-pt layup from 1 ft (assist by J. Murray)
1:35.0,E. Harkless misses 3-pt jump shot from 23 ft,,24-30,,
1:30.0,,,24-30,,Defensive rebound by A. Gordon
1:29.0,,,24-33,+3,J. Murray makes 3-pt jump shot from 25 ft (assist by A. Gordon)
1:12.0,C. Williams misses 2-pt jump shot from 16 ft,,24-33,,
1:09.0,,,24-33,,Defensive rebound by N. JokiÄ
1:03.0,,,24-36,+3,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Watson)
0:49.0,Shooting foul by T. Hardaway (drawn by C. Williams),,24-36,,
0:49.0,Instant Replay (Challenge: Ruling Stands),,24-36,,
0:49.0,K. Chandler enters the game for E. Harkless,,24-36,,
0:49.0,,,24-36,,C. Johnson enters the game for A. Gordon
0:49.0,C. Williams makes free throw 1 of 2,+1,25-36,,
0:49.0,C. Williams makes free throw 2 of 2,+1,26-36,,
0:30.0,,,26-36,,Shooting foul by O. Tshiebwe (drawn by T. Hardaway)
0:30.0,,,26-37,+1,T. Hardaway makes free throw 1 of 2
0:30.0,,,26-37,,T. Hardaway misses free throw 2 of 2
0:28.0,Defensive rebound by B. Sensabaugh,,26-37,,
0:12.0,Turnover by K. Chandler (bad pass),,26-37,,
0:05.0,,,26-37,,J. Murray misses 2-pt jump shot from 14 ft
0:02.0,Defensive rebound by O. Tshiebwe,,26-37,,
0:00.0,Team misses heave shot,,26-37,,
0:00.0,Offensive rebound by Team,,26-37,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Utah,,Score,,Denver
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:46.0,J. Konchar makes 2-pt layup from 2 ft (assist by O. Tshiebwe),+2,28-37,,
11:28.0,,,28-37,,C. Johnson misses 3-pt jump shot from 23 ft
11:24.0,Defensive rebound by J. Konchar,,28-37,,
11:20.0,,,28-37,,Violation by Team (kicked ball)
11:06.0,E. Harkless misses 2-pt layup from 4 ft,,28-37,,
11:04.0,Offensive rebound by O. Tshiebwe,,28-37,,
11:03.0,Turnover by O. Tshiebwe (lost ball; steal by S. Jones),,28-37,,
10:54.0,,,28-37,,P. Watson misses 3-pt jump shot from 26 ft
10:50.0,Defensive rebound by K. Chandler,,28-37,,
10:36.0,J. Konchar makes 2-pt jump shot from 10 ft,+2,30-37,,
10:20.0,,,30-40,+3,C. Johnson makes 3-pt jump shot from 22 ft (assist by P. Watson)
10:04.0,K. Filipowski misses 2-pt jump shot from 8 ft,,30-40,,
10:01.0,Offensive rebound by O. Tshiebwe,,30-40,,
9:56.0,J. Konchar makes 2-pt layup from 1 ft (assist by O. Tshiebwe),+2,32-40,,
9:42.0,,,32-40,,T. Hardaway misses 3-pt jump shot from 25 ft
9:40.0,Defensive rebound by O. Tshiebwe,,32-40,,
9:34.0,E. Harkless misses 2-pt layup from 2 ft (block by P. Watson),,32-40,,
9:33.0,Offensive rebound by Team,,32-40,,
9:33.0,,,32-40,,J. Strawther enters the game for T. Hardaway
9:31.0,Personal foul by J. Strawther (drawn by O. Tshiebwe),,32-40,,
9:24.0,J. Konchar makes 2-pt jump shot from 8 ft,+2,34-40,,
9:06.0,,,34-40,,P. Watson misses 2-pt jump shot from 18 ft
9:06.0,,,34-40,,Offensive rebound by S. Jones
9:00.0,,,34-43,+3,B. Brown makes 3-pt jump shot from 23 ft (assist by P. Watson)
8:55.0,Utah full timeout,,34-43,,
8:42.0,K. Filipowski makes 2-pt layup from 2 ft (assist by O. Tshiebwe),+2,36-43,,
8:26.0,,,36-43,,J. Strawther misses 3-pt jump shot from 25 ft
8:23.0,Defensive rebound by K. Filipowski,,36-43,,
8:13.0,Turnover by K. Filipowski (bad pass; steal by C. Johnson),,36-43,,
8:13.0,B. Sensabaugh enters the game for O. Tshiebwe,,36-43,,
7:55.0,,,36-43,,P. Watson misses 2-pt jump shot from 10 ft
7:52.0,Defensive rebound by J. Konchar,,36-43,,
7:40.0,J. Konchar misses 2-pt layup from 3 ft,,36-43,,
7:39.0,Offensive rebound by J. Konchar,,36-43,,
7:38.0,J. Konchar makes 2-pt layup at rim,+2,38-43,,
7:27.0,,,38-43,,Offensive foul by P. Watson (drawn by E. Harkless)
7:27.0,,,38-43,,Turnover by P. Watson (offensive foul)
7:27.0,,,38-43,,C. Braun enters the game for C. Johnson
7:14.0,Shooting foul by P. Watson (drawn by K. Filipowski),,38-43,,
7:14.0,K. Filipowski makes free throw 1 of 2,+1,39-43,,
7:14.0,K. Filipowski misses free throw 2 of 2,,39-43,,
7:12.0,,,39-43,,Defensive rebound by P. Watson
6:56.0,,,39-45,+2,P. Watson makes 2-pt jump shot from 7 ft (assist by J. Strawther)
6:56.0,,,39-45,,Shooting foul by K. Filipowski (drawn by P. Watson)
6:56.0,,,39-46,+1,P. Watson makes free throw 1 of 1
6:48.0,E. Harkless misses 3-pt jump shot from 22 ft,,39-46,,
6:44.0,,,39-46,,Defensive rebound by J. Strawther
6:36.0,,,39-46,,Turnover by P. Watson (bad pass; steal by K. Chandler)
6:33.0,K. Chandler makes 2-pt layup from 2 ft,+2,41-46,,
6:33.0,,,41-46,,Denver full timeout
6:33.0,A. Bailey enters the game for J. Konchar,,41-46,,
6:33.0,,,41-46,,N. JokiÄ enters the game for S. Jones
6:33.0,,,41-46,,J. Murray enters the game for P. Watson
6:10.0,,,41-46,,J. Strawther misses 2-pt layup from 4 ft
6:09.0,,,41-46,,Offensive rebound by Team
6:09.0,,,41-46,,Turnover by Team (shot clock)
5:57.0,K. Filipowski misses 3-pt jump shot from 27 ft,,41-46,,
5:53.0,,,41-46,,Defensive rebound by B. Brown
5:44.0,,,41-46,,Turnover by N. JokiÄ (lost ball; steal by E. Harkless)
5:34.0,K. Chandler makes 3-pt jump shot from 23 ft,+3,44-46,,
5:10.0,,,44-46,,J. Murray misses 3-pt jump shot from 27 ft
5:06.0,,,44-46,,Offensive rebound by J. Strawther
5:05.0,,,44-46,,Personal foul by K. Filipowski (drawn by J. Strawther)
5:05.0,,,44-46,,A. Gordon enters the game for B. Brown
4:59.0,,,44-48,+2,A. Gordon makes 2-pt dunk from 1 ft (assist by N. JokiÄ)
4:42.0,B. Sensabaugh makes 3-pt jump shot from 24 ft (assist by K. Filipowski),+3,47-48,,
4:25.0,,,47-50,+2,N. JokiÄ makes 2-pt jump shot from 11 ft (assist by J. Strawther)
4:25.0,,,47-50,,Shooting foul by E. Harkless (drawn by N. JokiÄ)
4:25.0,,,47-50,,C. Johnson enters the game for J. Strawther
4:25.0,,,47-51,+1,N. JokiÄ makes free throw 1 of 1
4:11.0,A. Bailey misses 3-pt jump shot from 24 ft,,47-51,,
4:07.0,,,47-51,,Defensive rebound by A. Gordon
3:53.0,,,47-51,,C. Braun misses 3-pt jump shot from 23 ft
3:48.0,Defensive rebound by B. Sensabaugh,,47-51,,
3:46.0,Shooting foul by C. Johnson (drawn by K. Filipowski),,47-51,,
3:46.0,K. Filipowski misses free throw 1 of 2,,47-51,,
3:46.0,Offensive rebound by Team,,47-51,,
3:46.0,K. Filipowski makes free throw 2 of 2,+1,48-51,,
3:34.0,,,48-54,+3,N. JokiÄ makes 3-pt jump shot from 25 ft (assist by J. Murray)
3:25.0,K. Chandler makes 2-pt jump shot from 9 ft,+2,50-54,,
3:25.0,,,50-54,,Denver full timeout
3:25.0,C. Williams enters the game for E. Harkless,,50-54,,
3:10.0,,,50-56,+2,A. Gordon makes 2-pt hook shot from 7 ft (assist by J. Murray)
2:53.0,B. Sensabaugh makes 3-pt jump shot from 23 ft,+3,53-56,,
2:35.0,,,53-59,+3,C. Johnson makes 3-pt jump shot from 25 ft (assist by J. Murray)
2:12.0,B. Sensabaugh makes 3-pt jump shot from 23 ft (assist by C. Williams),+3,56-59,,
2:01.0,,,56-59,,Shooting foul by B. Sensabaugh (drawn by A. Gordon)
2:01.0,,,56-59,,A. Gordon misses free throw 1 of 2
2:01.0,,,56-59,,Offensive rebound by Team
2:01.0,J. Konchar enters the game for K. Chandler,,56-59,,
2:01.0,,,56-60,+1,A. Gordon makes free throw 2 of 2
1:49.0,Turnover by B. Sensabaugh (traveling),,56-60,,
1:41.0,,,56-60,,Turnover by A. Gordon (bad pass; steal by C. Williams)
1:36.0,Personal foul by A. Gordon (drawn by C. Williams),,56-60,,
1:24.0,Shooting foul by C. Braun (drawn by B. Sensabaugh),,56-60,,
1:24.0,B. Sensabaugh makes free throw 1 of 2,+1,57-60,,
1:24.0,E. Harkless enters the game for A. Bailey,,57-60,,
1:24.0,B. Sensabaugh makes free throw 2 of 2,+1,58-60,,
1:07.0,,,58-62,+2,J. Murray makes 2-pt jump shot from 14 ft
0:49.0,K. Filipowski makes 2-pt dunk from 1 ft (assist by C. Williams),+2,60-62,,
0:41.0,,,60-62,,J. Murray misses 3-pt jump shot from 27 ft
0:37.0,Defensive rebound by J. Konchar,,60-62,,
0:32.0,B. Sensabaugh misses 3-pt jump shot from 29 ft,,60-62,,
0:29.0,,,60-62,,Defensive rebound by N. JokiÄ
0:25.0,,,60-62,,C. Johnson misses 3-pt jump shot from 25 ft
0:21.0,Defensive rebound by K. Filipowski,,60-62,,
0:06.0,K. Filipowski makes 2-pt layup from 2 ft (assist by B. Sensabaugh),+2,62-62,,
0:01.0,,,62-62,,J. Murray misses 3-pt jump shot from 33 ft
0:00.0,Defensive rebound by K. Filipowski,,62-62,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Utah,,Score,,Denver
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:42.0,K. Filipowski makes 3-pt jump shot from 25 ft (assist by C. Williams),+3,65-62,,
11:33.0,,,65-62,,N. JokiÄ misses 2-pt layup from 5 ft
11:31.0,Defensive rebound by B. Sensabaugh,,65-62,,
11:26.0,C. Williams makes 2-pt layup from 2 ft (assist by B. Sensabaugh),+2,67-62,,
11:02.0,,,67-64,+2,N. JokiÄ makes 2-pt hook shot from 5 ft
10:50.0,A. Bailey makes 2-pt jump shot from 2 ft (assist by E. Harkless),+2,69-64,,
10:41.0,,,69-64,,A. Gordon misses 3-pt jump shot from 24 ft
10:37.0,,,69-64,,Offensive rebound by C. Johnson
10:34.0,,,69-64,,C. Johnson misses 3-pt jump shot from 25 ft
10:31.0,Defensive rebound by A. Bailey,,69-64,,
10:25.0,K. Filipowski makes 2-pt dunk from 1 ft (assist by C. Williams),+2,71-64,,
10:12.0,,,71-64,,Personal foul by C. Williams (drawn by A. Gordon)
10:09.0,,,71-66,+2,N. JokiÄ makes 2-pt layup from 1 ft (assist by J. Murray)
10:09.0,,,71-66,,Shooting foul by K. Filipowski (drawn by N. JokiÄ)
10:09.0,,,71-66,,N. JokiÄ misses free throw 1 of 1
10:08.0,Defensive rebound by K. Filipowski,,71-66,,
10:00.0,A. Bailey makes 2-pt layup from 1 ft (assist by C. Williams),+2,73-66,,
9:49.0,,,73-66,,Def 3 sec tech foul by Team
9:49.0,,,73-67,+1,J. Murray makes technical free throw
9:42.0,,,73-67,,Turnover by C. Johnson (bad pass)
9:32.0,A. Bailey misses 3-pt jump shot from 22 ft,,73-67,,
9:29.0,,,73-67,,Defensive rebound by N. JokiÄ
9:19.0,,,73-67,,Shooting foul by C. Williams (drawn by A. Gordon)
9:19.0,,,73-68,+1,A. Gordon makes free throw 1 of 2
9:19.0,,,73-69,+1,A. Gordon makes free throw 2 of 2
9:08.0,K. Filipowski misses 3-pt jump shot from 25 ft,,73-69,,
9:06.0,,,73-69,,Defensive rebound by N. JokiÄ
9:06.0,,,73-69,,Personal foul by A. Bailey (drawn by N. JokiÄ)
9:06.0,J. Konchar enters the game for A. Bailey,,73-69,,
