style,tip
top:42px;left:226px;,"3rd quarter, 11:26.0 remaining<br>Cody Williams made 2-pointer from 2 ft<br>Utah now leads 67-62"
top:49px;left:230px;,"3rd quarter, 10:50.0 remaining<br>Ace Bailey made 2-pointer from 2 ft<br>Utah now leads 69-64"
top:26px;left:235px;,"3rd quarter, 10:25.0 remaining<br>Kyle Filipowski made 2-pointer from 1 ft<br>Utah now leads 71-64"
top:42px;left:235px;,"3rd quarter, 10:00.0 remaining<br>Ace Bailey made 2-pointer from 1 ft<br>Utah now leads 73-66"
top:52px;left:19px;,"3rd quarter, 9:32.0 remaining<br>Ace Bailey missed 3-pointer from 22 ft<br>Utah leads 73-67"
top:218px;left:402px;,"3rd quarter, 9:08.0 remaining<br>Kyle Filipowski missed 3-pointer from 25 ft<br>Utah leads 73-69"
top:44px;left:235px;,"3rd quarter, 8:27.0 remaining<br>Kyle Filipowski made 2-pointer from 2 ft<br>Utah now leads 75-71"
top:37px;left:249px;,"3rd quarter, 8:12.0 remaining<br>Cody Williams made 2-pointer from 1 ft<br>Utah now leads 77-71"
top:31px;left:243px;,"3rd quarter, 7:40.0 remaining<br>Kyle Filipowski made 2-pointer from 0 ft<br>Utah now leads 79-71"
top:45px;left:259px;,"3rd quarter, 6:59.0 remaining<br>Cody Williams made 2-pointer from 2 ft<br>Utah now leads 81-73"
top:49px;left:483px;,"3rd quarter, 6:39.0 remaining<br>Elijah Harkless missed 3-pointer from 24 ft<br>Utah leads 81-73"
top:31px;left:240px;,"3rd quarter, 6:37.0 remaining<br>John Konchar made 2-pointer from 0 ft<br>Utah now leads 83-73"
top:88px;left:178px;,"3rd quarter, 6:11.0 remaining<br>Kennedy Chandler made 2-pointer from 8 ft<br>Utah now leads 85-73"
top:98px;left:204px;,"3rd quarter, 5:47.0 remaining<br>Kennedy Chandler missed 2-pointer from 8 ft<br>Utah leads 85-75"
top:49px;left:235px;,"3rd quarter, 5:31.0 remaining<br>Kennedy Chandler made 2-pointer from 2 ft<br>Utah now leads 87-75"
top:50px;left:469px;,"3rd quarter, 4:53.0 remaining<br>Kennedy Chandler missed 3-pointer from 23 ft<br>Utah leads 87-77"
top:42px;left:226px;,"3rd quarter, 3:57.0 remaining<br>John Konchar made 2-pointer from 2 ft<br>Utah now leads 91-82"
top:42px;left:222px;,"3rd quarter, 3:36.0 remaining<br>Cody Williams made 2-pointer from 2 ft<br>Utah now leads 93-82"
top:43px;left:252px;,"3rd quarter, 3:18.0 remaining<br>Cody Williams missed 2-pointer from 2 ft<br>Utah leads 93-82"
top:38px;left:248px;,"3rd quarter, 3:17.0 remaining<br>Oscar Tshiebwe made 2-pointer from 1 ft<br>Utah now leads 95-82"
top:59px;left:272px;,"3rd quarter, 2:16.0 remaining<br>Cody Williams missed 2-pointer from 4 ft<br>Utah leads 96-87"
top:43px;left:247px;,"3rd quarter, 1:55.0 remaining<br>Cody Williams made 2-pointer from 1 ft<br>Utah now leads 98-90"
top:242px;left:385px;,"3rd quarter, 1:19.0 remaining<br>Elijah Harkless missed 3-pointer from 26 ft<br>Utah leads 98-93"
top:39px;left:249px;,"3rd quarter, 1:05.0 remaining<br>Bez Mbeng missed 2-pointer from 1 ft<br>Utah leads 98-93"
top:42px;left:248px;,"3rd quarter, 1:03.0 remaining<br>John Konchar made 2-pointer from 1 ft<br>Utah now leads 100-93"
