Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,39:22,.720,.639,.556,.444,0.0,16.6,7.9,50.2,0.0,0.0,4.4,22.1,164,126,11.1
Nikola JokiÄ,38:36,.845,.875,.125,.500,10.2,31.1,20.1,51.8,1.2,0.0,26.4,26.6,136,122,13.5
Aaron Gordon,30:54,.581,.500,.333,.500,6.3,17.7,11.7,4.4,1.5,2.5,6.4,19.6,123,121,-3.5
Cameron Johnson,26:10,.545,.545,1.000,.000,3.7,12.5,7.9,0.0,1.7,0.0,8.3,17.7,103,123,-6.1
Christian Braun,21:41,.438,.438,.375,.000,9.0,0.0,4.8,0.0,0.0,3.6,0.0,14.3,107,126,-8.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tim Hardaway Jr.,28:20,.696,.625,1.000,.583,0.0,0.0,0.0,0.0,1.6,0.0,0.0,20.6,146,125,1.5
Peyton Watson,20:58,.309,.250,.200,.300,4.7,20.8,12.3,22.7,0.0,7.4,26.1,28.3,70,119,-15.6
Bruce Brown,15:12,.700,.700,.400,.000,6.4,14.4,10.2,8.9,0.0,0.0,0.0,12.7,153,127,0.9
Spencer Jones,13:39,.000,.000,1.000,.000,21.5,24.0,22.7,0.0,3.4,0.0,0.0,2.8,137,117,-5.8
Julian Strawther,5:08,.000,.000,.500,.000,19.1,21.3,20.1,41.6,0.0,0.0,0.0,15.1,93,125,-10.0
DaRon Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jonas ValanÄiÅ«nas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.619,.574,.505,.337,30.6,79.5,53.8,75.6,4.8,6.5,12.1,100.0,128.7,123.0,
