style,tip
top:48px;left:230px;,"2nd quarter, 2:16.0 remaining<br>Julius Randle missed 2-pointer from 2 ft<br>Minnesota trails 41-45"
top:182px;left:429px;,"2nd quarter, 2:10.0 remaining<br>Naz Reid missed 3-pointer from 24 ft<br>Minnesota trails 41-45"
top:59px;left:258px;,"2nd quarter, 1:24.0 remaining<br>Naz Reid missed 2-pointer from 3 ft<br>Minnesota trails 41-45"
top:211px;left:411px;,"2nd quarter, 1:07.0 remaining<br>Julius Randle missed 3-pointer from 25 ft<br>Minnesota trails 41-47"
top:258px;left:108px;,"2nd quarter, 1:02.0 remaining<br>Bones Hyland missed 3-pointer from 26 ft<br>Minnesota trails 41-47"
top:141px;left:467px;,"2nd quarter, 0:48.0 remaining<br>Jaylen Clark missed 3-pointer from 25 ft<br>Minnesota trails 41-47"
top:190px;left:215px;,"2nd quarter, 0:04.0 remaining<br>Kyle Anderson made 2-pointer from 16 ft<br>Minnesota now trails 44-49"
top:65px;left:473px;,"3rd quarter, 11:26.0 remaining<br>Julius Randle missed 3-pointer from 24 ft<br>Minnesota trails 44-49"
top:169px;left:32px;,"3rd quarter, 11:20.0 remaining<br>Mike Conley missed 3-pointer from 25 ft<br>Minnesota trails 44-49"
top:36px;left:252px;,"3rd quarter, 10:17.0 remaining<br>Terrence Shannon Jr. missed 2-pointer from 1 ft<br>Minnesota trails 45-51"
top:168px;left:32px;,"3rd quarter, 9:31.0 remaining<br>Donte DiVincenzo made 3-pointer from 25 ft<br>Minnesota now trails 48-56"
top:142px;left:458px;,"3rd quarter, 8:21.0 remaining<br>Donte DiVincenzo made 3-pointer from 25 ft<br>Minnesota now trails 51-58"
top:270px;left:359px;,"3rd quarter, 7:46.0 remaining<br>Donte DiVincenzo missed 3-pointer from 27 ft<br>Minnesota trails 51-58"
top:168px;left:445px;,"3rd quarter, 7:15.0 remaining<br>Mike Conley missed 3-pointer from 25 ft<br>Minnesota trails 51-60"
top:115px;left:253px;,"3rd quarter, 6:49.0 remaining<br>Julius Randle missed 2-pointer from 9 ft<br>Minnesota trails 51-62"
top:88px;left:244px;,"3rd quarter, 6:28.0 remaining<br>Naz Reid made 2-pointer from 6 ft<br>Minnesota now trails 53-62"
top:62px;left:266px;,"3rd quarter, 6:03.0 remaining<br>Rudy Gobert missed 2-pointer from 4 ft<br>Minnesota trails 53-64"
top:48px;left:266px;,"3rd quarter, 5:28.0 remaining<br>Jaylen Clark missed 2-pointer from 3 ft<br>Minnesota trails 53-64"
top:36px;left:237px;,"3rd quarter, 5:09.0 remaining<br>Naz Reid missed 2-pointer from 1 ft<br>Minnesota trails 53-66"
top:234px;left:57px;,"3rd quarter, 4:26.0 remaining<br>Bones Hyland missed 3-pointer from 27 ft<br>Minnesota trails 53-66"
top:55px;left:255px;,"3rd quarter, 4:00.0 remaining<br>Naz Reid missed 2-pointer from 3 ft<br>Minnesota trails 53-66"
top:48px;left:247px;,"3rd quarter, 3:59.0 remaining<br>Naz Reid made 2-pointer from 2 ft<br>Minnesota now trails 55-66"
top:86px;left:227px;,"3rd quarter, 1:30.0 remaining<br>Julius Randle missed 2-pointer from 6 ft<br>Minnesota trails 59-72"
top:48px;left:229px;,"3rd quarter, 0:46.0 remaining<br>Julius Randle missed 2-pointer from 2 ft<br>Minnesota trails 60-72"
top:211px;left:414px;,"3rd quarter, 0:34.0 remaining<br>Bones Hyland missed 3-pointer from 25 ft<br>Minnesota trails 60-72"
top:310px;left:177px;,"3rd quarter, 0:00.0 remaining<br>Naz Reid missed 3-pointer from 29 ft<br>Minnesota trails 60-74"
top:53px;left:232px;,"4th quarter, 10:48.0 remaining<br>Bones Hyland missed 2-pointer from 2 ft<br>Minnesota trails 62-79"
top:30px;left:240px;,"4th quarter, 10:46.0 remaining<br>Rudy Gobert made 2-pointer from 0 ft<br>Minnesota now trails 64-79"
top:288px;left:104px;,"4th quarter, 10:21.0 remaining<br>Donte DiVincenzo missed 3-pointer from 29 ft<br>Minnesota trails 64-79"
top:259px;left:95px;,"4th quarter, 9:44.0 remaining<br>Bones Hyland made 3-pointer from 27 ft<br>Minnesota now trails 67-81"
top:141px;left:16px;,"4th quarter, 9:22.0 remaining<br>Bones Hyland missed 3-pointer from 25 ft<br>Minnesota trails 67-81"
top:51px;left:242px;,"4th quarter, 8:53.0 remaining<br>Jaylen Clark made 2-pointer from 2 ft<br>Minnesota now trails 69-83"
top:253px;left:354px;,"4th quarter, 8:30.0 remaining<br>Naz Reid missed 3-pointer from 25 ft<br>Minnesota trails 69-83"
top:55px;left:228px;,"4th quarter, 8:06.0 remaining<br>Jaylen Clark missed 2-pointer from 3 ft<br>Minnesota trails 69-85"
top:46px;left:238px;,"4th quarter, 7:34.0 remaining<br>Rudy Gobert made 2-pointer from 2 ft<br>Minnesota now trails 71-87"
top:115px;left:466px;,"4th quarter, 7:15.0 remaining<br>Mike Conley missed 3-pointer from 24 ft<br>Minnesota trails 71-87"
top:225px;left:424px;,"4th quarter, 6:56.0 remaining<br>Bones Hyland missed 3-pointer from 27 ft<br>Minnesota trails 71-90"
top:33px;left:11px;,"4th quarter, 6:44.0 remaining<br>Bones Hyland missed 3-pointer from 23 ft<br>Minnesota trails 71-90"
top:41px;left:243px;,"4th quarter, 6:23.0 remaining<br>Donte DiVincenzo missed 2-pointer from 1 ft<br>Minnesota trails 71-90"
top:139px;left:11px;,"4th quarter, 5:05.0 remaining<br>Donte DiVincenzo made 3-pointer from 25 ft<br>Minnesota now trails 76-91"
top:249px;left:370px;,"4th quarter, 4:33.0 remaining<br>Donte DiVincenzo missed 3-pointer from 25 ft<br>Minnesota trails 76-93"
top:277px;left:305px;,"4th quarter, 3:56.0 remaining<br>Naz Reid missed 3-pointer from 26 ft<br>Minnesota trails 76-95"
top:48px;left:231px;,"4th quarter, 3:34.0 remaining<br>Terrence Shannon Jr. made 2-pointer from 2 ft<br>Minnesota now trails 78-97"
top:57px;left:265px;,"4th quarter, 2:52.0 remaining<br>Joan Beringer made 2-pointer from 4 ft<br>Minnesota now trails 81-99"
top:239px;left:76px;,"4th quarter, 2:22.0 remaining<br>Julian Phillips missed 3-pointer from 27 ft<br>Minnesota trails 81-102"
