1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Detroit,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Minnesota
12:00.0,Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession)
1:48.0,K. Huerter makes 2-pt layup from 2 ft (assist by P. Reed),+2,31-24,,
1:25.0,,,31-24,,N. Reid misses 2-pt jump shot from 1 ft (block by R. Holland)
1:24.0,Defensive rebound by K. Huerter,,31-24,,
1:03.0,K. Huerter misses 3-pt jump shot from 24 ft,,31-24,,
0:58.0,,,31-24,,Defensive rebound by J. Clark
0:51.0,,,31-24,,B. Hyland misses 3-pt jump shot from 29 ft
0:48.0,Defensive rebound by M. Sasser,,31-24,,
0:45.0,Detroit full timeout,,31-24,,
0:45.0,,,31-24,,R. Gobert enters the game for J. Randle
0:31.0,C. LeVert makes 2-pt jump shot from 12 ft (assist by M. Sasser),+2,33-24,,
0:06.0,,,33-24,,Turnover by J. Clark (bad pass; steal by C. LeVert)
0:01.0,Turnover by C. LeVert (bad pass; steal by N. Reid),,33-24,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Detroit,,Score,,Minnesota
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:45.0,,,33-24,,R. Gobert misses 2-pt hook shot from 7 ft
11:41.0,Defensive rebound by J. Duren,,33-24,,
11:29.0,J. Duren makes 2-pt layup from 2 ft (assist by J. Green),+2,35-24,,
11:18.0,,,35-24,,Turnover by N. Reid (lost ball; steal by J. Green)
11:06.0,Turnover by R. Holland (bad pass; steal by N. Reid),,35-24,,
10:57.0,,,35-24,,K. Anderson misses 2-pt jump shot from 8 ft
10:53.0,Defensive rebound by J. Green,,35-24,,
10:44.0,Turnover by K. Huerter (bad pass; steal by K. Anderson),,35-24,,
10:39.0,,,35-24,,N. Reid misses 2-pt jump shot from 3 ft
10:37.0,,,35-24,,Offensive rebound by R. Gobert
10:37.0,,,35-24,,Personal foul by C. LeVert (drawn by R. Gobert)
10:32.0,,,35-24,,Personal foul by R. Holland (drawn by D. DiVincenzo)
10:22.0,,,35-24,,N. Reid misses 3-pt jump shot from 26 ft
10:19.0,Defensive rebound by J. Green,,35-24,,
10:10.0,K. Huerter misses 2-pt jump shot from 12 ft,,35-24,,
10:07.0,Offensive rebound by R. Holland,,35-24,,
10:04.0,J. Green misses 3-pt jump shot from 26 ft,,35-24,,
10:02.0,,,35-24,,Defensive rebound by Team
9:49.0,,,35-24,,Turnover by B. Hyland (lost ball; steal by R. Holland)
9:42.0,K. Huerter misses 2-pt jump shot from 12 ft,,35-24,,
9:40.0,Offensive rebound by J. Duren,,35-24,,
9:40.0,Shooting foul by R. Gobert (drawn by J. Duren),,35-24,,
9:40.0,J. Duren makes free throw 1 of 2,+1,36-24,,
9:40.0,,,36-24,,T. Shannon enters the game for N. Reid
9:40.0,J. Duren makes free throw 2 of 2,+1,37-24,,
9:25.0,,,37-26,+2,R. Gobert makes 2-pt dunk from 2 ft (assist by K. Anderson)
9:11.0,Turnover by K. Huerter (traveling),,37-26,,
9:11.0,,,37-26,,M. Conley enters the game for B. Hyland
8:56.0,,,37-26,,D. DiVincenzo misses 3-pt jump shot from 28 ft
8:53.0,Defensive rebound by J. Duren,,37-26,,
8:43.0,R. Holland misses 3-pt jump shot from 23 ft,,37-26,,
8:41.0,,,37-26,,Defensive rebound by K. Anderson
8:29.0,,,37-28,+2,R. Gobert makes 2-pt layup from 2 ft (assist by T. Shannon)
8:29.0,,,37-28,,J. Randle enters the game for K. Anderson
8:08.0,C. LeVert makes 2-pt jump shot from 13 ft,+2,39-28,,
7:53.0,,,39-28,,M. Conley misses 3-pt jump shot from 25 ft
7:50.0,Defensive rebound by R. Holland,,39-28,,
7:45.0,Turnover by R. Holland (out of bounds lost ball),,39-28,,
7:32.0,,,39-28,,Def 3 sec tech foul by Team
7:32.0,,,39-29,+1,D. DiVincenzo makes technical free throw
7:27.0,,,39-29,,Offensive foul by R. Gobert (drawn by R. Holland)
7:27.0,,,39-29,,Turnover by R. Gobert (offensive foul)
7:18.0,R. Holland makes 2-pt layup from 2 ft (assist by J. Duren),+2,41-29,,
7:18.0,Shooting foul by T. Shannon (drawn by R. Holland),,41-29,,
7:18.0,D. Jenkins enters the game for C. LeVert,,41-29,,
7:18.0,R. Holland misses free throw 1 of 1,,41-29,,
7:16.0,,,41-29,,Defensive rebound by R. Gobert
7:05.0,,,41-31,+2,D. DiVincenzo makes 2-pt jump shot from 13 ft (assist by M. Conley)
6:47.0,R. Holland misses 3-pt jump shot from 23 ft,,41-31,,
6:44.0,,,41-31,,Defensive rebound by J. Randle
6:36.0,,,41-34,+3,D. DiVincenzo makes 3-pt jump shot from 24 ft (assist by J. Randle)
6:35.0,Detroit full timeout,,41-34,,
6:35.0,T. Harris enters the game for R. Holland,,41-34,,
6:35.0,D. Robinson enters the game for K. Huerter,,41-34,,
6:22.0,Shooting foul by M. Conley (drawn by D. Robinson),,41-34,,
6:22.0,D. Robinson makes free throw 1 of 3,+1,42-34,,
6:22.0,D. Robinson misses free throw 2 of 3,,42-34,,
6:22.0,Offensive rebound by Team,,42-34,,
6:22.0,A. Thompson enters the game for J. Green,,42-34,,
6:22.0,D. Robinson makes free throw 3 of 3,+1,43-34,,
6:03.0,,,43-37,+3,D. DiVincenzo makes 3-pt jump shot from 23 ft (assist by M. Conley)
5:40.0,Turnover by T. Harris (bad pass),,43-37,,
5:24.0,,,43-37,,D. DiVincenzo misses 3-pt jump shot from 26 ft
5:21.0,,,43-37,,Offensive rebound by T. Shannon
5:17.0,,,43-37,,Personal foul by A. Thompson (drawn by T. Shannon)
5:04.0,,,43-37,,J. Randle misses 2-pt jump shot from 19 ft
5:03.0,,,43-37,,Offensive rebound by Team
5:03.0,Loose ball foul by D. Robinson (drawn by T. Shannon),,43-37,,
4:56.0,,,43-37,,Turnover by J. Randle (bad pass; steal by A. Thompson)
4:39.0,D. Robinson misses 2-pt hook shot from 3 ft,,43-37,,
4:36.0,Offensive rebound by A. Thompson,,43-37,,
4:36.0,A. Thompson misses 2-pt layup at rim,,43-37,,
4:34.0,,,43-37,,Defensive rebound by R. Gobert
4:32.0,,,43-39,+2,D. DiVincenzo makes 2-pt layup from 1 ft (assist by J. Randle)
4:18.0,T. Harris misses 3-pt jump shot from 23 ft,,43-39,,
4:17.0,,,43-39,,Defensive rebound by Team
4:07.0,,,43-39,,T. Shannon misses 3-pt jump shot from 23 ft
4:06.0,,,43-39,,Offensive rebound by R. Gobert
4:06.0,,,43-39,,R. Gobert misses 2-pt layup from 1 ft (block by T. Harris)
4:05.0,Defensive rebound by D. Jenkins,,43-39,,
3:59.0,Personal foul by M. Conley (drawn by D. Jenkins),,43-39,,
3:52.0,D. Jenkins misses 2-pt layup from 4 ft,,43-39,,
3:50.0,,,43-39,,Defensive rebound by D. DiVincenzo
3:40.0,,,43-39,,D. DiVincenzo misses 3-pt jump shot from 25 ft
3:37.0,,,43-39,,Offensive rebound by J. Randle
3:34.0,,,43-39,,Turnover by J. Randle (bad pass; steal by T. Harris)
3:27.0,D. Robinson makes 2-pt jump shot from 5 ft (assist by T. Harris),+2,45-39,,
3:06.0,,,45-39,,D. DiVincenzo misses 3-pt jump shot from 24 ft
3:05.0,Defensive rebound by J. Duren,,45-39,,
2:58.0,D. Robinson misses 3-pt jump shot from 28 ft,,45-39,,
2:56.0,,,45-39,,Defensive rebound by R. Gobert
2:56.0,,,45-39,,Minnesota full timeout
2:56.0,P. Reed enters the game for J. Duren,,45-39,,
2:56.0,,,45-39,,B. Hyland enters the game for M. Conley
2:56.0,,,45-39,,N. Reid enters the game for R. Gobert
2:44.0,,,45-39,,J. Randle misses 2-pt layup from 2 ft
2:43.0,,,45-39,,Offensive rebound by J. Randle
2:41.0,,,45-41,+2,J. Randle makes 2-pt layup from 1 ft
2:26.0,D. Jenkins misses 3-pt jump shot from 25 ft,,45-41,,
2:22.0,,,45-41,,Defensive rebound by N. Reid
2:16.0,,,45-41,,J. Randle misses 2-pt layup from 2 ft (block by P. Reed)
2:15.0,,,45-41,,Offensive rebound by Team
2:15.0,,,45-41,,J. Clark enters the game for T. Shannon
2:10.0,,,45-41,,N. Reid misses 3-pt jump shot from 24 ft
2:07.0,Defensive rebound by A. Thompson,,45-41,,
2:03.0,Turnover by A. Thompson (bad pass),,45-41,,
2:03.0,,,45-41,,K. Anderson enters the game for D. DiVincenzo
1:41.0,,,45-41,,Turnover by N. Reid (lost ball; steal by P. Reed)
1:34.0,Turnover by D. Jenkins (bad pass),,45-41,,
1:24.0,,,45-41,,N. Reid misses 2-pt layup from 3 ft
1:23.0,Defensive rebound by P. Reed,,45-41,,
1:23.0,Personal foul by J. Clark (drawn by P. Reed),,45-41,,
1:23.0,P. Reed makes free throw 1 of 2,+1,46-41,,
1:23.0,P. Reed makes free throw 2 of 2,+1,47-41,,
1:07.0,,,47-41,,J. Randle misses 3-pt jump shot from 25 ft
1:04.0,,,47-41,,Offensive rebound by J. Clark
1:02.0,,,47-41,,B. Hyland misses 3-pt jump shot from 26 ft
0:58.0,Defensive rebound by P. Reed,,47-41,,
0:54.0,Turnover by P. Reed (bad pass; steal by B. Hyland),,47-41,,
0:48.0,,,47-41,,J. Clark misses 3-pt jump shot from 25 ft
0:45.0,,,47-41,,Offensive rebound by J. Clark
0:43.0,,,47-41,,Shooting foul by T. Harris (drawn by J. Clark)
0:43.0,,,47-42,+1,J. Clark makes free throw 1 of 2
0:43.0,,,47-42,,J. Clark misses free throw 2 of 2
0:41.0,Defensive rebound by D. Jenkins,,47-42,,
0:29.0,P. Reed misses 2-pt layup from 2 ft,,47-42,,
0:29.0,Offensive rebound by P. Reed,,47-42,,
0:29.0,P. Reed makes 2-pt jump shot from 7 ft,+2,49-42,,
0:04.0,,,49-44,+2,K. Anderson makes 2-pt jump shot from 16 ft
0:04.0,,,49-44,,Violation by Team (delay of game)
0:00.0,T. Harris misses 3-pt jump shot from 23 ft,,49-44,,
0:00.0,Offensive rebound by Team,,49-44,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Detroit,,Score,,Minnesota
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:43.0,,,49-44,,Turnover by D. DiVincenzo (bad pass; steal by A. Thompson)
11:40.0,Turnover by D. Jenkins (bad pass),,49-44,,
11:26.0,,,49-44,,J. Randle misses 3-pt jump shot from 24 ft
11:24.0,,,49-44,,Offensive rebound by R. Gobert
11:20.0,,,49-44,,M. Conley misses 3-pt jump shot from 25 ft
11:16.0,Defensive rebound by T. Harris,,49-44,,
10:56.0,D. Jenkins misses 2-pt jump shot from 7 ft,,49-44,,
10:53.0,,,49-44,,Defensive rebound by R. Gobert
10:48.0,,,49-44,,Shooting foul by D. Robinson (drawn by T. Shannon)
10:48.0,,,49-44,,T. Shannon misses free throw 1 of 2
10:48.0,,,49-44,,Offensive rebound by Team
10:48.0,,,49-45,+1,T. Shannon makes free throw 2 of 2
10:29.0,D. Jenkins misses 2-pt jump shot from 15 ft,,49-45,,
10:24.0,Offensive rebound by A. Thompson,,49-45,,
10:24.0,A. Thompson makes 2-pt dunk at rim,+2,51-45,,
10:17.0,,,51-45,,T. Shannon misses 2-pt layup from 1 ft
10:15.0,Defensive rebound by J. Duren,,51-45,,
10:11.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by T. Harris),+3,54-45,,
9:55.0,,,54-45,,Turnover by J. Randle (lost ball; steal by A. Thompson)
9:53.0,A. Thompson makes 2-pt layup from 3 ft,+2,56-45,,
9:53.0,,,56-45,,Minnesota full timeout
9:31.0,,,56-48,+3,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Randle)
9:04.0,Turnover by T. Harris (lost ball; steal by M. Conley),,56-48,,
8:58.0,,,56-48,,Shooting foul by D. Jenkins (drawn by R. Gobert)
8:58.0,,,56-48,,R. Gobert misses free throw 1 of 2
8:58.0,,,56-48,,Offensive rebound by Team
8:58.0,,,56-48,,J. Clark enters the game for T. Shannon
8:58.0,,,56-48,,R. Gobert misses free throw 2 of 2
8:56.0,Defensive rebound by A. Thompson,,56-48,,
8:39.0,A. Thompson makes 2-pt jump shot from 10 ft (assist by T. Harris),+2,58-48,,
8:21.0,,,58-51,+3,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by M. Conley)
8:01.0,J. Duren misses 2-pt layup from 2 ft,,58-51,,
7:58.0,,,58-51,,Defensive rebound by M. Conley
7:46.0,,,58-51,,D. DiVincenzo misses 3-pt jump shot from 27 ft
7:44.0,Defensive rebound by T. Harris,,58-51,,
7:33.0,T. Harris makes 2-pt layup from 4 ft,+2,60-51,,
7:15.0,,,60-51,,M. Conley misses 3-pt jump shot from 25 ft
7:11.0,Defensive rebound by D. Robinson,,60-51,,
7:09.0,J. Duren makes 2-pt dunk from 1 ft (assist by D. Jenkins),+2,62-51,,
6:49.0,,,62-51,,J. Randle misses 2-pt jump shot from 9 ft
6:46.0,Defensive rebound by J. Duren,,62-51,,
6:42.0,A. Thompson misses 2-pt layup from 2 ft (block by D. DiVincenzo),,62-51,,
6:41.0,,,62-51,,Defensive rebound by Team
6:41.0,,,62-51,,N. Reid enters the game for J. Randle
6:28.0,,,62-53,+2,N. Reid makes 2-pt jump shot from 6 ft (assist by D. DiVincenzo)
6:14.0,T. Harris makes 2-pt layup from 2 ft,+2,64-53,,
6:03.0,,,64-53,,R. Gobert misses 2-pt hook shot from 4 ft (block by J. Duren)
6:03.0,Defensive rebound by Team,,64-53,,
6:03.0,,,64-53,,B. Hyland enters the game for M. Conley
5:48.0,A. Thompson misses 2-pt jump shot from 9 ft,,64-53,,
5:46.0,,,64-53,,Defensive rebound by D. DiVincenzo
5:37.0,,,64-53,,Personal foul by A. Thompson (drawn by D. DiVincenzo)
5:28.0,,,64-53,,J. Clark misses 2-pt jump shot from 3 ft
5:25.0,Defensive rebound by D. Jenkins,,64-53,,
5:22.0,D. Jenkins makes 2-pt layup from 1 ft,+2,66-53,,
5:09.0,,,66-53,,N. Reid misses 2-pt layup from 1 ft (block by T. Harris)
5:08.0,Defensive rebound by Team,,66-53,,
5:08.0,K. Huerter enters the game for D. Robinson,,66-53,,
5:08.0,C. LeVert enters the game for A. Thompson,,66-53,,
5:08.0,,,66-53,,K. Anderson enters the game for J. Clark
4:50.0,K. Huerter misses 2-pt layup from 2 ft,,66-53,,
4:49.0,,,66-53,,Defensive rebound by Team
4:26.0,,,66-53,,B. Hyland misses 3-pt jump shot from 27 ft (block by T. Harris)
4:25.0,,,66-53,,Offensive rebound by Team
