1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Boston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Charlotte
12:00.0,Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession),Jump ball: N. Queta vs. M. DiabatÃ© (J. Walsh gains possession)
2:10.0,Defensive rebound by H. GonzÃ¡lez PeÃ±a,,21-16,,
1:51.0,P. Pritchard misses 3-pt jump shot from 26 ft,,21-16,,
1:48.0,,,21-16,,Defensive rebound by M. DiabatÃ©
1:41.0,,,21-19,+3,C. White makes 3-pt jump shot from 23 ft (assist by S. James)
1:22.0,R. Harper makes 2-pt layup from 3 ft (assist by L. Garza),+2,23-19,,
1:05.0,,,23-19,,Shooting foul by L. Garza (drawn by M. DiabatÃ©)
1:05.0,,,23-19,,L. McNeeley enters the game for J. Green
1:05.0,,,23-19,,M. DiabatÃ© misses free throw 1 of 2
1:05.0,,,23-19,,Offensive rebound by Team
1:05.0,,,23-19,,M. DiabatÃ© misses free throw 2 of 2
1:05.0,Defensive rebound by R. Harper,,23-19,,
0:57.0,R. Harper makes 2-pt layup from 4 ft,+2,25-19,,
0:33.0,,,25-19,,S. James misses 3-pt jump shot from 25 ft
0:30.0,,,25-19,,Offensive rebound by L. McNeeley
0:19.0,,,25-21,+2,C. White makes 2-pt jump shot from 18 ft
0:07.0,Personal foul by L. McNeeley (drawn by P. Pritchard),,25-21,,
0:07.0,S. Hauser enters the game for H. GonzÃ¡lez PeÃ±a,,25-21,,
0:07.0,,,25-21,,M. Bridges enters the game for K. Knueppel
0:07.0,,,25-21,,J. Green enters the game for L. McNeeley
0:00.0,Personal foul by S. James (drawn by P. Pritchard),,25-21,,
0:00.0,P. Pritchard makes free throw 1 of 2,+1,26-21,,
0:00.0,H. GonzÃ¡lez PeÃ±a enters the game for L. Garza,,26-21,,
0:00.0,P. Pritchard makes free throw 2 of 2,+1,27-21,,
0:00.0,,,27-21,,Team misses heave shot (block by R. Harper)
0:00.0,,,27-21,,Offensive rebound by Team
