style,tip
top:58px;left:213px;,"3rd quarter, 9:09.0 remaining<br>Neemias Queta missed 2-pointer from 4 ft<br>Boston leads 69-53"
top:208px;left:57px;,"3rd quarter, 9:04.0 remaining<br>Payton Pritchard made 3-pointer from 26 ft<br>Boston now leads 72-53"
top:296px;left:271px;,"3rd quarter, 8:24.0 remaining<br>Jordan Walsh missed 3-pointer from 27 ft<br>Boston leads 72-53"
top:174px;left:284px;,"3rd quarter, 7:43.0 remaining<br>Payton Pritchard missed 2-pointer from 15 ft<br>Boston leads 72-53"
top:80px;left:275px;,"3rd quarter, 7:38.0 remaining<br>Jordan Walsh missed 2-pointer from 6 ft<br>Boston leads 72-53"
top:267px;left:117px;,"3rd quarter, 7:09.0 remaining<br>Jayson Tatum missed 3-pointer from 27 ft<br>Boston leads 72-55"
top:179px;left:27px;,"3rd quarter, 6:42.0 remaining<br>Jayson Tatum made 3-pointer from 26 ft<br>Boston now leads 75-55"
top:44px;left:468px;,"3rd quarter, 6:00.0 remaining<br>Jordan Walsh missed 3-pointer from 23 ft<br>Boston leads 75-58"
top:154px;left:200px;,"3rd quarter, 5:31.0 remaining<br>Jayson Tatum made 2-pointer from 13 ft<br>Boston now leads 77-61"
top:246px;left:77px;,"3rd quarter, 5:02.0 remaining<br>Jayson Tatum missed 3-pointer from 27 ft<br>Boston leads 77-61"
top:78px;left:164px;,"3rd quarter, 4:37.0 remaining<br>Jayson Tatum made 2-pointer from 9 ft<br>Boston now leads 79-61"
top:54px;left:275px;,"3rd quarter, 3:53.0 remaining<br>Neemias Queta made 2-pointer from 4 ft<br>Boston now leads 81-63"
top:237px;left:62px;,"3rd quarter, 3:31.0 remaining<br>Sam Hauser missed 3-pointer from 27 ft<br>Boston leads 81-63"
top:54px;left:468px;,"3rd quarter, 3:10.0 remaining<br>Baylor Scheierman missed 3-pointer from 23 ft<br>Boston leads 81-63"
top:129px;left:322px;,"3rd quarter, 2:54.0 remaining<br>Baylor Scheierman made 2-pointer from 13 ft<br>Boston now leads 83-63"
top:52px;left:273px;,"3rd quarter, 2:12.0 remaining<br>Luka Garza made 2-pointer from 4 ft<br>Boston now leads 85-66"
top:98px;left:215px;,"3rd quarter, 1:37.0 remaining<br>Payton Pritchard made 2-pointer from 7 ft<br>Boston now leads 87-68"
top:292px;left:315px;,"3rd quarter, 1:06.0 remaining<br>Baylor Scheierman missed 3-pointer from 27 ft<br>Boston leads 87-70"
top:170px;left:93px;,"3rd quarter, 0:00.0 remaining<br>Payton Pritchard missed 2-pointer from 20 ft<br>Boston leads 89-75"
top:127px;left:364px;,"4th quarter, 11:38.0 remaining<br>Jayson Tatum missed 2-pointer from 16 ft<br>Boston leads 89-75"
top:54px;left:13px;,"4th quarter, 11:04.0 remaining<br>Hugo GonzÃ¡lez made 3-pointer from 23 ft<br>Boston now leads 92-77"
top:273px;left:120px;,"4th quarter, 10:32.0 remaining<br>Baylor Scheierman made 3-pointer from 27 ft<br>Boston now leads 95-80"
top:65px;left:211px;,"4th quarter, 9:56.0 remaining<br>Jayson Tatum missed 2-pointer from 5 ft<br>Boston leads 95-80"
top:193px;left:31px;,"4th quarter, 9:19.0 remaining<br>Jayson Tatum missed 3-pointer from 26 ft<br>Boston leads 95-80"
top:221px;left:54px;,"4th quarter, 8:47.0 remaining<br>Jayson Tatum missed 3-pointer from 27 ft<br>Boston leads 95-83"
top:90px;left:203px;,"4th quarter, 8:11.0 remaining<br>Neemias Queta made 2-pointer from 7 ft<br>Boston now leads 97-86"
top:64px;left:232px;,"4th quarter, 7:47.0 remaining<br>Neemias Queta made 2-pointer from 4 ft<br>Boston now leads 99-86"
top:93px;left:213px;,"4th quarter, 6:26.0 remaining<br>Jayson Tatum made 2-pointer from 7 ft<br>Boston now leads 103-90"
top:292px;left:257px;,"4th quarter, 5:57.0 remaining<br>Jayson Tatum made 3-pointer from 26 ft<br>Boston now leads 106-90"
top:133px;left:236px;,"4th quarter, 4:36.0 remaining<br>Payton Pritchard missed 2-pointer from 10 ft<br>Boston leads 107-92"
top:62px;left:278px;,"4th quarter, 3:52.0 remaining<br>Payton Pritchard made 2-pointer from 5 ft<br>Boston now leads 109-92"
top:60px;left:275px;,"4th quarter, 3:21.0 remaining<br>Payton Pritchard made 2-pointer from 5 ft<br>Boston now leads 111-93"
top:63px;left:192px;,"4th quarter, 2:39.0 remaining<br>Neemias Queta made 2-pointer from 6 ft<br>Boston now leads 113-95"
top:126px;left:238px;,"4th quarter, 1:42.0 remaining<br>Max Shulga missed 2-pointer from 10 ft<br>Boston leads 113-97"
top:68px;left:278px;,"4th quarter, 1:11.0 remaining<br>Baylor Scheierman missed 2-pointer from 5 ft<br>Boston leads 113-97"
top:65px;left:192px;,"4th quarter, 0:50.0 remaining<br>Hugo GonzÃ¡lez missed 2-pointer from 6 ft<br>Boston leads 113-97"
