Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kon Knueppel,31:53,.454,.423,.462,.231,3.7,12.9,7.9,10.6,0.0,0.0,12.3,23.8,91,130,-6.0
Brandon Miller,31:51,.500,.500,.692,.000,3.7,21.5,11.9,21.2,0.0,0.0,0.0,19.0,120,128,2.2
Miles Bridges,29:08,.651,.556,.111,.444,0.0,9.4,4.3,11.9,0.0,0.0,8.5,18.7,129,130,-1.0
LaMelo Ball,26:26,.478,.447,.632,.105,8.9,10.4,9.6,23.4,2.0,0.0,16.8,42.0,91,125,-3.1
Moussa Diabat̩,24:49,.694,1.000,.000,1.000,9.4,22.1,15.3,0.0,0.0,0.0,0.0,5.4,147,128,-3.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Sion James,22:23,.688,.688,.750,.000,0.0,12.3,5.6,31.3,0.0,0.0,0.0,16.6,154,130,8.8
Coby White,19:46,.463,.409,.455,.182,5.9,20.8,12.8,9.2,0.0,0.0,14.4,32.6,89,128,-6.9
Josh Green,17:58,.000,.000,1.000,.000,0.0,0.0,0.0,7.4,3.0,0.0,50.0,5.2,28,126,-7.4
Ryan Kalkbrenner,13:16,1.000,1.000,.000,.000,8.8,10.3,9.5,22.3,0.0,7.4,0.0,3.5,216,125,7.6
Liam McNeeley,10:54,.887,.833,.333,2.000,21.5,50.3,34.8,0.0,0.0,0.0,0.0,24.0,191,122,20.0
Pat Connaughton,3:52,,,,,0.0,35.5,16.3,0.0,0.0,0.0,,0.0,0,126,-5.1
Tre Mann,3:52,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,101,133,-5.4
Xavier Tillman Sr.,3:52,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.0,0,133,-30.7
Team Totals,240,.542,.506,.518,.229,24.4,77.1,48.7,52.8,2.2,2.0,11.6,100.0,110.5,127.3,
