date,home_team,away_team,winning_team,home_pts,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_fg2,home_fg2a,home_fg2_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_ortg,home_drtg,home_pace,home_ftr,home_3ptar,home_ts,home_trb_pct,home_ast_pct,home_stl_pct,home_blk_pct,home_efg_pct,home_tov_pct,home_orb_pct,home_ft_rate,home_ast_tov,home_ast_ratio,home_elo,away_pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_fg2,away_fg2a,away_fg2_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_ortg,away_drtg,away_pace,away_ftr,away_3ptar,away_ts,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_efg_pct,away_tov_pct,away_orb_pct,away_ft_rate,away_ast_tov,away_ast_ratio,away_elo
2000-11-02,Los Angeles Clippers,Vancouver Grizzlies,1,94.0,34.0,69.0,0.49,4.0,13.0,0.31,30.0,56.0,0.54,22.0,34.0,0.65,12.0,32.0,44.0,18.0,3.0,6.0,24.0,32.0,98.3,111.9,95.6,0.49,0.19,0.56,42.9,52.9,3.1,8.0,0.52,22.2,35.3,0.32,0.75,0.24,1500.0,94.0,39.0,90.0,0.43,4.0,14.0,0.29,35.0,76.0,0.46,12.0,26.0,0.46,14.0,37.0,51.0,28.0,12.0,6.0,11.0,21.0,97.3,91.1,96.6,0.29,0.16,0.46,50.5,71.8,12.4,9.8,0.46,9.8,26.9,0.13,2.55,0.36,1500.0
2000-11-03,Washington Wizards,New York Knicks,1,86.0,33.0,72.0,0.46,4.0,7.0,0.57,29.0,65.0,0.45,16.0,24.0,0.67,9.0,35.0,44.0,20.0,6.0,1.0,27.0,28.0,87.3,98.5,98.5,0.33,0.1,0.52,45.7,60.6,6.1,1.6,0.49,24.6,23.7,0.22,0.74,0.25,1479.75,72.0,25.0,70.0,0.36,3.0,11.0,0.27,22.0,59.0,0.37,19.0,24.0,0.79,14.0,23.0,37.0,14.0,6.0,4.0,22.0,30.0,84.6,118.7,85.1,0.34,0.16,0.45,50.0,56.0,7.1,6.9,0.38,21.5,32.6,0.27,0.64,0.23,1459.7
2000-11-03,Boston Celtics,Toronto Raptors,0,103.0,32.0,77.0,0.42,7.0,15.0,0.47,25.0,62.0,0.4,32.0,38.0,0.84,10.0,33.0,43.0,22.0,13.0,7.0,14.0,22.0,106.1,85.5,97.1,0.49,0.2,0.55,53.8,68.8,13.4,9.9,0.46,13.0,23.3,0.42,1.57,0.32,1500.0,95.0,35.0,93.0,0.38,5.0,17.0,0.29,30.0,76.0,0.39,20.0,31.0,0.64,20.0,28.0,48.0,27.0,7.0,7.0,15.0,21.0,97.5,106.8,97.4,0.33,0.18,0.44,48.4,77.1,7.2,8.6,0.4,12.3,37.0,0.22,1.8,0.35,1472.72
2000-11-03,Charlotte Hornets,Miami Heat,0,106.0,35.0,62.0,0.56,5.0,9.0,0.56,30.0,53.0,0.57,31.0,40.0,0.77,7.0,37.0,44.0,16.0,7.0,6.0,17.0,23.0,119.9,92.8,88.4,0.64,0.14,0.67,39.7,45.7,7.9,9.1,0.6,17.6,28.0,0.5,0.94,0.24,1538.14,105.0,38.0,76.0,0.5,8.0,17.0,0.47,30.0,59.0,0.51,21.0,26.0,0.81,6.0,32.0,38.0,22.0,12.0,6.0,21.0,31.0,103.1,77.6,101.8,0.34,0.22,0.6,54.8,57.9,11.8,8.8,0.55,19.4,16.2,0.28,1.05,0.27,1500.0
2000-11-03,Orlando Magic,Philadelphia 76ers,1,97.0,34.0,79.0,0.43,6.0,16.0,0.37,28.0,63.0,0.44,23.0,33.0,0.7,8.0,29.0,37.0,20.0,10.0,9.0,15.0,24.0,98.5,87.3,98.5,0.42,0.2,0.52,54.3,58.8,10.2,13.8,0.47,13.8,18.6,0.29,1.33,0.29,1520.25,101.0,38.0,66.0,0.58,3.0,8.0,0.37,35.0,58.0,0.6,22.0,30.0,0.73,8.0,29.0,37.0,27.0,10.0,5.0,14.0,24.0,118.7,84.6,85.1,0.46,0.12,0.64,50.0,71.1,11.8,8.5,0.6,15.0,25.8,0.33,1.93,0.34,1540.3
2000-11-03,Detroit Pistons,Sacramento Kings,1,104.0,44.0,93.0,0.47,3.0,12.0,0.25,41.0,81.0,0.51,13.0,18.0,0.72,11.0,34.0,45.0,21.0,7.0,6.0,12.0,27.0,106.8,97.5,97.4,0.19,0.13,0.52,51.6,47.7,7.2,7.9,0.49,10.6,28.2,0.14,1.75,0.27,1527.28,100.0,40.0,73.0,0.55,5.0,13.0,0.38,35.0,60.0,0.58,15.0,19.0,0.79,5.0,32.0,37.0,29.0,12.0,6.0,18.0,23.0,109.4,88.6,91.4,0.26,0.18,0.62,43.9,72.5,13.1,10.2,0.58,18.1,18.5,0.2,1.61,0.33,1535.5
2000-11-03,Chicago Bulls,New Jersey Nets,1,81.0,26.0,67.0,0.39,6.0,8.0,0.75,20.0,59.0,0.34,23.0,29.0,0.79,7.0,22.0,29.0,19.0,8.0,4.0,20.0,20.0,88.6,109.4,91.4,0.43,0.12,0.51,56.1,73.1,8.8,6.7,0.43,20.0,17.9,0.34,0.95,0.29,1500.0,82.0,31.0,85.0,0.36,3.0,10.0,0.3,28.0,75.0,0.37,17.0,26.0,0.65,12.0,35.0,47.0,24.0,9.0,8.0,15.0,31.0,84.0,88.0,97.7,0.31,0.12,0.42,52.5,77.4,9.2,11.3,0.38,13.5,22.6,0.2,1.6,0.34,1500.0
2000-11-04,Vancouver Grizzlies,Los Angeles Lakers,1,94.0,39.0,90.0,0.43,4.0,14.0,0.29,35.0,76.0,0.46,12.0,26.0,0.46,14.0,37.0,51.0,28.0,12.0,6.0,11.0,21.0,97.3,91.1,96.6,0.29,0.16,0.46,50.5,71.8,12.4,9.8,0.46,9.8,26.9,0.13,2.55,0.36,1515.86,96.0,36.0,63.0,0.57,5.0,11.0,0.46,31.0,52.0,0.6,19.0,30.0,0.63,8.0,31.0,39.0,28.0,5.0,8.0,20.0,18.0,111.8,100.2,85.9,0.48,0.18,0.63,45.1,77.8,5.8,10.8,0.61,20.8,29.6,0.3,1.4,0.33,1528.41
2000-11-04,Indiana Pacers,Chicago Bulls,0,85.0,36.0,80.0,0.45,4.0,17.0,0.24,32.0,63.0,0.51,9.0,13.0,0.69,9.0,26.0,35.0,19.0,5.0,4.0,17.0,32.0,93.1,107.4,91.3,0.16,0.21,0.5,51.4,52.8,5.5,7.1,0.48,16.5,22.0,0.11,1.12,0.26,1478.49,81.0,26.0,67.0,0.39,6.0,8.0,0.75,20.0,59.0,0.34,23.0,29.0,0.79,7.0,22.0,29.0,19.0,8.0,4.0,20.0,20.0,88.6,109.4,91.4,0.43,0.12,0.51,56.1,73.1,8.8,6.7,0.43,20.0,17.9,0.34,0.95,0.29,1464.5
2000-11-04,Toronto Raptors,Washington Wizards,0,95.61,35.82,91.57,0.39,5.0,16.18,0.31,30.82,75.39,0.41,18.98,28.35,0.68,19.18,27.18,46.37,26.18,7.61,6.59,15.2,22.02,99.74,108.49,95.97,0.31,0.18,0.46,49.09,73.41,8.0,8.23,0.42,12.77,37.22,0.21,1.73,0.34,1460.71,87.83,33.0,70.57,0.47,4.0,7.2,0.56,29.0,63.37,0.46,17.83,24.82,0.71,7.98,34.39,42.37,20.82,5.8,1.82,25.78,28.0,90.81,95.69,96.95,0.35,0.1,0.54,46.13,63.07,5.98,2.84,0.5,23.95,22.01,0.26,0.82,0.26,1518.21
2000-11-04,Atlanta Hawks,Orlando Magic,1,82.0,30.0,81.0,0.37,6.0,15.0,0.4,24.0,66.0,0.36,16.0,21.0,0.76,11.0,18.0,29.0,14.0,9.0,2.0,13.0,31.0,92.8,119.9,88.4,0.26,0.18,0.45,60.3,46.7,10.2,3.8,0.41,12.6,22.9,0.2,1.08,0.25,1461.86,93.33,33.39,79.0,0.42,4.98,14.98,0.32,28.41,64.02,0.44,21.57,31.98,0.67,9.43,29.41,38.83,17.55,9.39,7.98,17.85,24.61,94.24,90.52,99.17,0.4,0.19,0.5,52.44,52.07,9.53,12.37,0.45,15.9,21.31,0.27,1.12,0.26,1491.78
2000-11-04,Cleveland Cavaliers,Boston Celtics,0,86.0,32.0,78.0,0.41,2.0,7.0,0.29,30.0,71.0,0.42,20.0,32.0,0.62,11.0,41.0,52.0,16.0,5.0,8.0,19.0,27.0,88.0,84.0,97.7,0.41,0.09,0.47,47.5,50.0,5.1,10.7,0.42,17.1,23.9,0.26,0.84,0.24,1519.07,103.0,32.0,77.0,0.42,7.0,15.0,0.47,25.0,62.0,0.4,32.0,38.0,0.84,10.0,33.0,43.0,22.0,13.0,7.0,14.0,22.0,106.1,85.5,97.1,0.49,0.19,0.55,53.8,68.8,13.4,9.9,0.46,13.0,23.3,0.42,1.57,0.32,1526.82
2000-11-04,Miami Heat,Philadelphia 76ers,1,105.0,38.0,76.0,0.5,8.0,17.0,0.47,30.0,59.0,0.51,21.0,26.0,0.81,6.0,32.0,38.0,22.0,12.0,6.0,21.0,31.0,103.1,77.6,101.8,0.34,0.22,0.6,54.8,57.9,11.8,8.8,0.55,19.4,16.2,0.28,1.05,0.27,1528.47,101.61,38.61,69.87,0.56,3.0,8.61,0.35,35.61,61.26,0.58,21.39,29.59,0.72,9.83,28.39,38.22,25.37,10.2,6.02,14.0,23.8,117.97,89.47,86.18,0.43,0.12,0.62,49.63,66.04,11.88,9.56,0.58,14.51,29.0,0.31,1.81,0.32,1552.31
2000-11-04,Dallas Mavericks,Utah Jazz,1,97.0,35.0,88.0,0.4,9.0,25.0,0.36,26.0,63.0,0.41,18.0,27.0,0.67,20.0,32.0,52.0,22.0,9.0,9.0,18.0,26.0,101.8,97.6,95.3,0.31,0.28,0.49,49.5,62.9,9.4,14.1,0.45,15.3,37.0,0.2,1.22,0.29,1513.12,107.0,43.0,85.0,0.51,5.0,10.0,0.5,38.0,75.0,0.51,16.0,31.0,0.52,11.0,22.0,33.0,33.0,11.0,4.0,12.0,30.0,111.9,98.3,95.6,0.36,0.12,0.54,57.1,76.7,11.5,7.1,0.54,10.8,25.6,0.19,2.75,0.38,1521.51
2000-11-04,Minnesota Timberwolves,Sacramento Kings,0,106.0,43.0,88.0,0.49,6.0,11.0,0.55,37.0,77.0,0.48,14.0,16.0,0.88,13.0,31.0,44.0,29.0,7.0,1.0,16.0,25.0,110.7,102.3,95.8,0.18,0.12,0.56,46.3,67.4,7.3,1.5,0.52,14.4,32.5,0.16,1.81,0.33,1526.04,100.0,37.96,75.04,0.51,5.2,13.61,0.38,32.76,61.43,0.54,18.87,23.28,0.8,6.83,30.37,37.2,26.76,11.18,6.0,18.82,22.59,106.93,90.76,90.12,0.31,0.18,0.59,46.63,69.95,12.02,9.61,0.54,18.06,20.68,0.25,1.45,0.32,1526.11
