date,home_team,away_team,winning_team
2000-11-15,Milwaukee Bucks,Atlanta Hawks,0
2000-11-15,Minnesota Timberwolves,Golden State Warriors,0
2000-11-15,New Jersey Nets,Miami Heat,0
2000-11-15,Phoenix Suns,Dallas Mavericks,0
2000-11-15,Los Angeles Clippers,New York Knicks,0
2000-11-16,Toronto Raptors,Portland Trail Blazers,1
2000-11-16,Washington Wizards,San Antonio Spurs,1
2000-11-16,Sacramento Kings,Los Angeles Lakers,1
2000-11-16,Houston Rockets,Charlotte Hornets,0
2000-11-16,Denver Nuggets,Chicago Bulls,0
2000-11-16,Utah Jazz,Orlando Magic,0
2000-11-16,Vancouver Grizzlies,Los Angeles Clippers,1
2000-11-17,Indiana Pacers,Golden State Warriors,1
2000-11-17,Philadelphia 76ers,Miami Heat,0
2000-11-17,Boston Celtics,Atlanta Hawks,0
2000-11-17,Charlotte Hornets,Detroit Pistons,1
2000-11-17,Minnesota Timberwolves,San Antonio Spurs,0
2000-11-17,Milwaukee Bucks,Cleveland Cavaliers,0
2000-11-17,Phoenix Suns,New York Knicks,1
2000-11-17,Seattle SuperSonics,Dallas Mavericks,1
2000-11-18,Toronto Raptors,Milwaukee Bucks,0
2000-11-18,Washington Wizards,Boston Celtics,0
2000-11-18,Atlanta Hawks,Minnesota Timberwolves,1
2000-11-18,Miami Heat,Portland Trail Blazers,0
2000-11-18,New Jersey Nets,Indiana Pacers,0
2000-11-18,Houston Rockets,Phoenix Suns,0
2000-11-18,Denver Nuggets,Los Angeles Lakers,0
2000-11-18,Utah Jazz,Chicago Bulls,0
2000-11-18,Vancouver Grizzlies,Dallas Mavericks,1
2000-11-18,Los Angeles Clippers,Seattle SuperSonics,1
2000-11-19,Orlando Magic,Portland Trail Blazers,1
2000-11-19,Detroit Pistons,Charlotte Hornets,1
2000-11-19,New York Knicks,Golden State Warriors,0
2000-11-19,Los Angeles Lakers,Chicago Bulls,0
2000-11-20,Boston Celtics,Philadelphia 76ers,1
2000-11-20,Toronto Raptors,Charlotte Hornets,1
2000-11-20,Utah Jazz,Dallas Mavericks,1
2000-11-20,Vancouver Grizzlies,Denver Nuggets,1
2000-11-20,Los Angeles Clippers,New Jersey Nets,1
2000-11-21,Indiana Pacers,Houston Rockets,1
2000-11-21,Washington Wizards,Portland Trail Blazers,1
2000-11-21,Cleveland Cavaliers,Detroit Pistons,0
2000-11-21,Dallas Mavericks,Seattle SuperSonics,1
2000-11-21,Orlando Magic,New York Knicks,1
2000-11-21,Golden State Warriors,Chicago Bulls,0
2000-11-22,Boston Celtics,Houston Rockets,0
2000-11-22,Atlanta Hawks,New York Knicks,0
2000-11-22,Charlotte Hornets,Philadelphia 76ers,0
2000-11-22,Miami Heat,Cleveland Cavaliers,1
2000-11-22,Milwaukee Bucks,Portland Trail Blazers,1
2000-11-22,Minnesota Timberwolves,Vancouver Grizzlies,0
2000-11-22,San Antonio Spurs,Seattle SuperSonics,0
2000-11-22,Phoenix Suns,New Jersey Nets,0
2000-11-22,Utah Jazz,Denver Nuggets,0
2000-11-22,Los Angeles Lakers,Golden State Warriors,0
2000-11-22,Sacramento Kings,Chicago Bulls,0
2000-11-23,Indiana Pacers,Toronto Raptors,1
2000-11-24,Atlanta Hawks,Philadelphia 76ers,1
2000-11-24,Boston Celtics,Orlando Magic,0
2000-11-24,Cleveland Cavaliers,Miami Heat,0
2000-11-24,Detroit Pistons,Vancouver Grizzlies,0
2000-11-24,Indiana Pacers,Washington Wizards,0
2000-11-24,Milwaukee Bucks,Charlotte Hornets,1
2000-11-24,Denver Nuggets,San Antonio Spurs,0
2000-11-24,Phoenix Suns,Golden State Warriors,0
2000-11-24,Seattle SuperSonics,Los Angeles Clippers,0
2000-11-24,Utah Jazz,New Jersey Nets,0
2000-11-24,Los Angeles Lakers,Minnesota Timberwolves,0
2000-11-25,New York Knicks,Toronto Raptors,1
2000-11-25,Charlotte Hornets,Cleveland Cavaliers,0
2000-11-25,Miami Heat,Houston Rockets,1
2000-11-25,Orlando Magic,Atlanta Hawks,0
2000-11-25,Dallas Mavericks,Denver Nuggets,0
2000-11-25,Washington Wizards,Milwaukee Bucks,0
2000-11-25,San Antonio Spurs,Philadelphia 76ers,0
2000-11-25,Portland Trail Blazers,New Jersey Nets,0
2000-11-25,Golden State Warriors,Minnesota Timberwolves,0
2000-11-25,Los Angeles Clippers,Phoenix Suns,1
2000-11-25,Sacramento Kings,Seattle SuperSonics,0
2000-11-26,Boston Celtics,Vancouver Grizzlies,1
2000-11-26,Toronto Raptors,Chicago Bulls,0
2000-11-26,Detroit Pistons,Utah Jazz,1
2000-11-27,New York Knicks,Vancouver Grizzlies,0
2000-11-27,Orlando Magic,Milwaukee Bucks,1
2000-11-27,Los Angeles Clippers,Los Angeles Lakers,1
2000-11-28,Washington Wizards,Atlanta Hawks,1
2000-11-28,Cleveland Cavaliers,Boston Celtics,1
2000-11-28,Miami Heat,Milwaukee Bucks,1
2000-11-28,New Jersey Nets,Utah Jazz,1
2000-11-28,Dallas Mavericks,Toronto Raptors,0
2000-11-28,Chicago Bulls,Minnesota Timberwolves,1
2000-11-28,Houston Rockets,Sacramento Kings,1
2000-11-28,Portland Trail Blazers,Seattle SuperSonics,1
2000-11-28,Los Angeles Lakers,Indiana Pacers,0
2000-11-29,Philadelphia 76ers,Washington Wizards,0
2000-11-29,Charlotte Hornets,Toronto Raptors,0
