1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
4:22.0,,,17-19,+2,D. Jarreau makes 2-pt jump shot from 4 ft (assist by T. Burton)
4:14.0,Personal foul by A. Bal (drawn by L. Olbrich),,17-19,,
4:14.0,L. Olbrich misses free throw 1 of 2,,17-19,,
4:14.0,Offensive rebound by Team,,17-19,,
4:14.0,L. Olbrich misses free throw 2 of 2,,17-19,,
4:12.0,,,17-19,,Defensive rebound by T. Burton
4:03.0,,,17-19,,T. Burton misses 2-pt layup from 4 ft (block by L. Olbrich)
4:00.0,,,17-19,,Offensive rebound by Team
3:58.0,,,17-19,,W. Clayton misses 3-pt jump shot from 23 ft
3:55.0,,,17-19,,Offensive rebound by D. Jarreau
3:55.0,,,17-21,+2,D. Jarreau makes 2-pt layup from 3 ft
3:45.0,Offensive foul by T. Jones (drawn by D. Jarreau),,17-21,,
3:45.0,Turnover by T. Jones (offensive foul),,17-21,,
3:27.0,,,17-21,,A. Bal misses 3-pt jump shot from 23 ft
3:23.0,Defensive rebound by T. Jones,,17-21,,
3:22.0,T. Jones misses 2-pt layup from 2 ft (block by D. Jarreau),,17-21,,
3:19.0,Offensive rebound by P. Williams,,17-21,,
3:16.0,T. Jones misses 2-pt jump shot from 21 ft,,17-21,,
3:13.0,Offensive rebound by L. Olbrich,,17-21,,
3:07.0,R. Dillingham makes 2-pt layup from 1 ft (assist by L. Olbrich),+2,19-21,,
2:40.0,,,19-23,+2,W. Clayton makes 2-pt jump shot from 16 ft
2:39.0,Chicago full timeout,,19-23,,
2:28.0,C. Sexton misses 2-pt layup from 2 ft,,19-23,,
2:25.0,,,19-23,,Defensive rebound by T. Burton
2:21.0,,,19-23,,T. Burton misses 3-pt jump shot from 26 ft
2:19.0,Defensive rebound by Team,,19-23,,
1:58.0,C. Sexton makes 3-pt jump shot from 25 ft,+3,22-23,,
1:46.0,,,22-23,,Shooting foul by R. Dillingham (drawn by D. Jarreau)
1:46.0,,,22-24,+1,D. Jarreau makes free throw 1 of 2
1:46.0,M. Buzelis enters the game for L. Olbrich,,22-24,,
1:46.0,,,22-25,+1,D. Jarreau makes free throw 2 of 2
1:38.0,R. Dillingham misses 2-pt layup from 1 ft (block by D. Jarreau),,22-25,,
1:35.0,,,22-25,,Defensive rebound by J. Mashack
1:33.0,,,22-25,,T. Burton misses 2-pt dunk from 2 ft (block by M. Buzelis)
1:31.0,,,22-25,,Offensive rebound by W. Clayton
1:26.0,,,22-25,,J. Mashack misses 2-pt jump shot from 8 ft
1:22.0,Defensive rebound by P. Williams,,22-25,,
1:15.0,Shooting foul by D. Jarreau (drawn by C. Sexton),,22-25,,
1:15.0,C. Sexton misses free throw 1 of 2,,22-25,,
1:15.0,Offensive rebound by Team,,22-25,,
1:15.0,C. Sexton makes free throw 2 of 2,+1,23-25,,
1:09.0,,,23-25,,Personal foul by R. Dillingham (drawn by D. Jarreau)
1:09.0,,,23-25,,D. Jarreau misses free throw 1 of 2
1:09.0,,,23-25,,Offensive rebound by Team
1:09.0,,,23-26,+1,D. Jarreau makes free throw 2 of 2
0:58.0,C. Sexton makes 2-pt layup from 3 ft,+2,25-26,,
0:42.0,,,25-28,+2,J. Mashack makes 2-pt hook shot from 5 ft (assist by D. Jarreau)
0:36.0,C. Sexton makes 2-pt layup from 3 ft,+2,27-28,,
0:36.0,Shooting foul by D. Jarreau (drawn by C. Sexton),,27-28,,
0:36.0,J. Giddey enters the game for R. Dillingham,,27-28,,
0:36.0,C. Sexton makes free throw 1 of 1,+1,28-28,,
0:31.0,,,28-28,,Turnover by W. Clayton (lost ball; steal by T. Jones)
0:25.0,Turnover by M. Buzelis (lost ball; steal by D. Jarreau),,28-28,,
0:20.0,,,28-28,,A. Bal misses 3-pt jump shot from 25 ft
0:17.0,Defensive rebound by M. Buzelis,,28-28,,
0:04.0,T. Jones makes 2-pt layup from 2 ft,+2,30-28,,
0:00.0,,,30-28,,J. Mashack misses 3-pt jump shot from 32 ft
0:00.0,,,30-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Chicago,,Score,,Memphis
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:45.0,,,30-30,+2,C. Coward makes 2-pt jump shot from 4 ft
11:25.0,C. Sexton makes 3-pt jump shot from 23 ft (assist by M. Buzelis),+3,33-30,,
11:05.0,,,33-30,,C. Coward misses 2-pt jump shot from 4 ft (block by I. Okoro)
11:02.0,Defensive rebound by I. Okoro,,33-30,,
10:54.0,P. Williams misses 3-pt jump shot from 24 ft,,33-30,,
10:51.0,Offensive rebound by I. Okoro,,33-30,,
10:50.0,Turnover by I. Okoro (bad pass; steal by O. Prosper),,33-30,,
10:44.0,,,33-30,,C. Coward misses 3-pt jump shot from 26 ft
10:40.0,Defensive rebound by J. Giddey,,33-30,,
10:35.0,I. Okoro misses 3-pt jump shot from 23 ft,,33-30,,
10:31.0,,,33-30,,Defensive rebound by R. Rupert
10:18.0,,,33-32,+2,O. Prosper makes 2-pt layup from 4 ft (assist by G. Jackson)
10:02.0,C. Sexton misses 3-pt jump shot from 23 ft,,33-32,,
10:00.0,,,33-32,,Defensive rebound by C. Coward
9:56.0,,,33-32,,O. Prosper misses 2-pt layup from 3 ft (block by P. Williams)
9:53.0,,,33-32,,Offensive rebound by Team
9:53.0,L. Miller enters the game for P. Williams,,33-32,,
9:49.0,,,33-34,+2,C. Coward makes 2-pt jump shot from 19 ft (assist by J. Small)
9:34.0,M. Buzelis misses 3-pt jump shot from 25 ft,,33-34,,
9:32.0,,,33-34,,Defensive rebound by C. Coward
9:26.0,,,33-36,+2,C. Coward makes 2-pt layup from 3 ft
9:26.0,Chicago full timeout,,33-36,,
9:26.0,R. Dillingham enters the game for C. Sexton,,33-36,,
9:07.0,Turnover by R. Dillingham (bad pass; steal by R. Rupert),,33-36,,
