Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rayan Rupert,30:26,.700,.700,.300,.000,3.0,12.8,7.0,7.8,2.8,0.0,0.0,12.3,143,111,-0.1
Cedric Coward,24:13,.591,.579,.316,.158,11.2,32.1,19.8,26.3,7.0,0.0,12.9,36.0,110,99,10.0
GG Jackson II,21:14,.317,.214,.286,.286,4.3,18.3,10.0,15.7,0.0,0.0,11.3,31.2,72,117,-16.0
Olivier-Maxence Prosper,15:28,.711,.688,.375,.125,5.9,25.2,13.8,9.0,2.7,0.0,10.6,22.8,126,109,2.1
Javon Small,15:28,.600,.600,.600,.000,5.9,8.4,6.9,28.3,8.2,0.0,0.0,12.1,145,100,8.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Walter Clayton,29:53,.389,.389,.667,.000,3.0,8.7,5.4,21.3,2.8,0.0,35.7,17.5,71,113,-10.8
Jahmai Mashack,29:53,.683,.667,.083,.083,3.0,4.3,3.6,8.6,1.4,0.0,13.9,18.1,118,117,-3.1
Adama-Alpha Bal,27:34,.188,.188,.625,.000,0.0,9.4,3.9,10.8,3.1,0.0,0.0,10.8,61,112,-12.1
Tyler Burton,26:34,.551,.567,.467,.200,0.0,24.4,10.0,14.5,1.6,3.7,0.0,23.0,114,110,1.9
DeJon Jarreau,19:17,.761,.714,.000,.714,4.7,6.7,5.5,19.9,2.2,10.2,9.8,19.8,146,109,7.6
Cam Spencer,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jaylen Wells,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.546,.523,.355,.159,18.9,73.0,41.1,62.0,15.0,6.1,10.9,100.0,110.3,109.4,
