1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Brooklyn
12:00.0,Jump ball: M. Raynaud vs. N. Claxton (P. Achiuwa gains possession),Jump ball: M. Raynaud vs. N. Claxton (P. Achiuwa gains possession),Jump ball: M. Raynaud vs. N. Claxton (P. Achiuwa gains possession),Jump ball: M. Raynaud vs. N. Claxton (P. Achiuwa gains possession),Jump ball: M. Raynaud vs. N. Claxton (P. Achiuwa gains possession)
11:36.0,M. Raynaud makes 2-pt hook shot from 6 ft,+2,2-0,,
11:17.0,,,2-3,+3,N. Clowney makes 3-pt jump shot from 26 ft (assist by N. Claxton)
11:01.0,M. Raynaud misses 2-pt jump shot from 9 ft,,2-3,,
10:57.0,,,2-3,,Defensive rebound by D. Powell
10:52.0,,,2-6,+3,T. Mann makes 3-pt jump shot from 26 ft (assist by N. Traor̩)
10:39.0,Turnover by D. Carter (bad pass; steal by N. Traor̩),,2-6,,
10:34.0,,,2-6,,N. Traor̩ misses 3-pt jump shot from 23 ft
10:30.0,Defensive rebound by M. Raynaud,,2-6,,
10:29.0,Shooting foul by N. Clowney (drawn by P. Achiuwa),,2-6,,
10:29.0,P. Achiuwa misses free throw 1 of 2,,2-6,,
10:29.0,Offensive rebound by Team,,2-6,,
10:29.0,D. Jeffries enters the game for N. Clifford,,2-6,,
10:29.0,P. Achiuwa misses free throw 2 of 2,,2-6,,
10:27.0,,,2-6,,Defensive rebound by N. Clowney
10:11.0,,,2-9,+3,D. Powell makes 3-pt jump shot from 24 ft (assist by N. Traor̩)
9:52.0,Turnover by P. Achiuwa (lost ball; steal by N. Clowney),,2-9,,
9:47.0,,,2-9,,N. Clowney misses 2-pt dunk from 2 ft
9:45.0,Defensive rebound by D. Carter,,2-9,,
9:38.0,M. Raynaud makes 2-pt layup from 8 ft (assist by D. Plowden),+2,4-9,,
9:23.0,,,4-11,+2,N. Traor̩ makes 2-pt layup from 3 ft (assist by N. Claxton)
9:00.0,P. Achiuwa makes 2-pt layup from 3 ft (assist by D. Plowden),+2,6-11,,
8:47.0,,,6-11,,Personal foul by D. Jeffries (drawn by N. Claxton)
8:36.0,,,6-13,+2,N. Traor̩ makes 2-pt layup from 2 ft (assist by N. Clowney)
8:18.0,D. Carter misses 2-pt hook shot from 12 ft,,6-13,,
8:17.0,,,6-13,,Defensive rebound by Team
8:17.0,Loose ball foul by M. Raynaud (drawn by N. Claxton),,6-13,,
7:58.0,,,6-13,,N. Clowney misses 2-pt layup from 6 ft
7:56.0,Defensive rebound by M. Raynaud,,6-13,,
7:52.0,D. Carter misses 3-pt jump shot from 25 ft,,6-13,,
7:48.0,,,6-13,,Defensive rebound by N. Claxton
7:40.0,,,6-13,,N. Traor̩ misses 3-pt jump shot from 25 ft
7:40.0,Defensive rebound by P. Achiuwa,,6-13,,
7:27.0,D. Jeffries misses 3-pt jump shot from 25 ft,,6-13,,
7:22.0,,,6-13,,Defensive rebound by N. Claxton
7:15.0,,,6-13,,Shooting foul by D. Plowden (drawn by N. Clowney)
7:15.0,,,6-14,+1,N. Clowney makes free throw 1 of 2
7:15.0,,,6-15,+1,N. Clowney makes free throw 2 of 2
6:50.0,D. Jeffries makes 2-pt jump shot from 6 ft (assist by D. Carter),+2,8-15,,
6:37.0,,,8-17,+2,N. Claxton makes 2-pt layup from 2 ft (assist by N. Traor̩)
6:27.0,Turnover by D. Plowden (out of bounds lost ball),,8-17,,
6:27.0,,,8-17,,Brooklyn full timeout
6:27.0,N. Clifford enters the game for P. Achiuwa,,8-17,,
6:27.0,K. Hayes enters the game for D. Carter,,8-17,,
6:27.0,D. McDermott enters the game for D. Plowden,,8-17,,
6:02.0,,,8-17,,N. Clowney misses 2-pt jump shot from 19 ft
5:59.0,Defensive rebound by D. McDermott,,8-17,,
5:44.0,M. Raynaud misses 2-pt jump shot from 11 ft,,8-17,,
5:41.0,Offensive rebound by D. Jeffries,,8-17,,
5:29.0,N. Clifford misses 3-pt jump shot from 26 ft,,8-17,,
5:28.0,,,8-17,,Defensive rebound by Team
5:28.0,,,8-17,,T. Etienne enters the game for N. Clowney
5:28.0,,,8-17,,B. Saraf enters the game for T. Mann
5:28.0,,,8-17,,M. Smith enters the game for D. Powell
5:12.0,,,8-17,,Turnover by B. Saraf (bad pass; steal by K. Hayes)
5:07.0,Personal foul by N. Traor̩ (drawn by M. Raynaud),,8-17,,
5:07.0,,,8-17,,O. Agbaji enters the game for N. Claxton
5:07.0,,,8-17,,E. Liddell enters the game for N. Traor̩
