1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Philadelphia,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Charlotte
12:00.0,Jump ball: J. Embiid vs. M. Diabat̩ (L. Ball gains possession),Jump ball: J. Embiid vs. M. Diabat̩ (L. Ball gains possession),Jump ball: J. Embiid vs. M. Diabat̩ (L. Ball gains possession),Jump ball: J. Embiid vs. M. Diabat̩ (L. Ball gains possession),Jump ball: J. Embiid vs. M. Diabat̩ (L. Ball gains possession)
11:34.0,,,0-0,,B. Miller misses 3-pt jump shot from 27 ft
11:30.0,,,0-0,,Offensive rebound by M. Diabat̩
11:29.0,,,0-2,+2,M. Diabat̩ makes 2-pt layup from 3 ft
11:15.0,V. Edgecombe misses 2-pt jump shot from 14 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by K. Knueppel
11:07.0,,,0-5,+3,L. Ball makes 3-pt jump shot from 27 ft (assist by M. Diabat̩)
10:53.0,J. Embiid misses 2-pt jump shot from 14 ft,,0-5,,
10:51.0,,,0-5,,Defensive rebound by M. Bridges
10:40.0,,,0-5,,Turnover by K. Knueppel (lost ball; steal by P. George)
10:37.0,Shooting foul by B. Miller (drawn by D. Barlow),,0-5,,
10:37.0,D. Barlow misses free throw 1 of 2,,0-5,,
10:37.0,Offensive rebound by Team,,0-5,,
10:37.0,D. Barlow makes free throw 2 of 2,+1,1-5,,
10:27.0,,,1-5,,L. Ball misses 2-pt jump shot from 8 ft
10:24.0,Defensive rebound by P. George,,1-5,,
10:14.0,P. George makes 3-pt jump shot from 25 ft,+3,4-5,,
9:52.0,,,4-5,,B. Miller misses 2-pt layup from 7 ft
9:47.0,,,4-5,,Offensive rebound by B. Miller
9:43.0,,,4-5,,L. Ball misses 3-pt jump shot from 29 ft
9:38.0,,,4-5,,Offensive rebound by B. Miller
9:36.0,,,4-8,+3,K. Knueppel makes 3-pt jump shot from 23 ft (assist by L. Ball)
9:22.0,Shooting foul by M. Diabat̩ (drawn by J. Embiid),,4-8,,
9:22.0,J. Embiid makes free throw 1 of 2,+1,5-8,,
9:22.0,J. Embiid makes free throw 2 of 2,+1,6-8,,
9:04.0,,,6-8,,L. Ball misses 2-pt layup from 3 ft
9:01.0,Defensive rebound by Team,,6-8,,
9:01.0,,,6-8,,Loose ball foul by M. Diabat̩ (drawn by J. Embiid)
9:01.0,,,6-8,,R. Kalkbrenner enters the game for M. Diabat̩
8:53.0,J. Embiid misses 2-pt jump shot from 7 ft,,6-8,,
8:50.0,Offensive rebound by V. Edgecombe,,6-8,,
8:41.0,P. George misses 2-pt jump shot from 14 ft,,6-8,,
8:39.0,,,6-8,,Defensive rebound by Team
8:39.0,Loose ball foul by V. Edgecombe (drawn by L. Ball),,6-8,,
8:25.0,,,6-10,+2,B. Miller makes 2-pt jump shot from 9 ft
8:02.0,J. Embiid makes 2-pt layup from 3 ft (assist by T. Maxey),+2,8-10,,
7:44.0,,,8-12,+2,R. Kalkbrenner makes 2-pt dunk from 3 ft (assist by M. Bridges)
7:35.0,Turnover by V. Edgecombe (lost ball; steal by L. Ball),,8-12,,
7:22.0,,,8-12,,L. Ball misses 2-pt jump shot from 13 ft
7:18.0,Defensive rebound by J. Embiid,,8-12,,
7:18.0,Personal foul by L. Ball (drawn by J. Embiid),,8-12,,
7:18.0,Philadelphia full timeout,,8-12,,
7:18.0,Instant Replay (Challenge: Ruling Stands),,8-12,,
7:18.0,Technical foul by J. Embiid,,8-12,,
7:18.0,,,8-13,+1,L. Ball makes technical free throw
7:01.0,J. Embiid misses 2-pt jump shot from 11 ft,,8-13,,
7:00.0,,,8-13,,Defensive rebound by Team
6:47.0,,,8-13,,Personal foul by T. Maxey (drawn by B. Miller)
6:38.0,,,8-13,,L. Ball misses 2-pt layup from 6 ft (block by T. Maxey)
6:38.0,Defensive rebound by Team,,8-13,,
6:29.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by V. Edgecombe),+3,11-13,,
6:10.0,,,11-15,+2,M. Bridges makes 2-pt hook shot from 7 ft (assist by L. Ball)
5:48.0,V. Edgecombe misses 3-pt jump shot from 25 ft,,11-15,,
5:44.0,,,11-15,,Defensive rebound by K. Knueppel
5:37.0,,,11-15,,L. Ball misses 2-pt jump shot from 8 ft
5:31.0,Defensive rebound by T. Maxey,,11-15,,
5:30.0,T. Maxey makes 2-pt layup from 3 ft,+2,13-15,,
5:10.0,,,13-15,,K. Knueppel misses 3-pt jump shot from 24 ft
5:08.0,,,13-15,,Offensive rebound by R. Kalkbrenner
5:08.0,,,13-15,,Personal foul by V. Edgecombe (drawn by R. Kalkbrenner)
5:08.0,Q. Grimes enters the game for V. Edgecombe,,13-15,,
5:08.0,K. Oubre enters the game for P. George,,13-15,,
5:08.0,,,13-15,,J. Green enters the game for K. Knueppel
5:03.0,,,13-15,,B. Miller misses 3-pt jump shot from 27 ft
4:59.0,Defensive rebound by J. Embiid,,13-15,,
4:48.0,J. Embiid makes 2-pt jump shot from 15 ft (assist by Q. Grimes),+2,15-15,,
4:31.0,,,15-15,,Shooting foul by D. Barlow (drawn by B. Miller)
4:31.0,,,15-16,+1,B. Miller makes free throw 1 of 2
4:31.0,,,15-16,,C. White enters the game for L. Ball
4:31.0,,,15-16,,G. Williams enters the game for M. Bridges
4:31.0,,,15-17,+1,B. Miller makes free throw 2 of 2
4:15.0,J. Embiid misses 3-pt jump shot from 25 ft,,15-17,,
4:11.0,,,15-17,,Defensive rebound by G. Williams
3:56.0,,,15-19,+2,B. Miller makes 2-pt layup from 4 ft
3:42.0,Shooting foul by R. Kalkbrenner (drawn by J. Embiid),,15-19,,
3:42.0,J. Embiid misses free throw 1 of 2,,15-19,,
3:42.0,Offensive rebound by Team,,15-19,,
3:42.0,P. George enters the game for D. Barlow,,15-19,,
3:42.0,C. Payne enters the game for T. Maxey,,15-19,,
3:42.0,J. Embiid makes free throw 2 of 2,+1,16-19,,
3:27.0,,,16-22,+3,B. Miller makes 3-pt jump shot from 26 ft
3:27.0,,,16-22,,Shooting foul by C. Payne (drawn by B. Miller)
3:27.0,,,16-23,+1,B. Miller makes free throw 1 of 1
3:11.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by Q. Grimes),+3,19-23,,
3:11.0,,,19-23,,Loose ball foul by B. Miller (drawn by J. Embiid)
3:11.0,J. Embiid makes free throw 1 of 1,+1,20-23,,
2:50.0,,,20-26,+3,B. Miller makes 3-pt jump shot from 27 ft
2:21.0,J. Embiid misses 2-pt jump shot from 19 ft,,20-26,,
2:19.0,,,20-26,,Defensive rebound by C. White
2:09.0,,,20-28,+2,C. White makes 2-pt layup from 4 ft
1:58.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by P. George),+3,23-28,,
1:36.0,,,23-30,+2,C. White makes 2-pt jump shot from 6 ft
1:23.0,Turnover by K. Oubre (traveling),,23-30,,
1:23.0,,,23-30,,Charlotte full timeout
1:23.0,A. Bona enters the game for J. Embiid,,23-30,,
1:23.0,T. Maxey enters the game for C. Payne,,23-30,,
1:09.0,,,23-33,+3,B. Miller makes 3-pt jump shot from 27 ft (assist by C. White)
0:46.0,K. Oubre misses 3-pt jump shot from 26 ft,,23-33,,
0:45.0,Offensive rebound by P. George,,23-33,,
0:45.0,Turnover by P. George (bad pass; steal by J. Green),,23-33,,
0:38.0,,,23-36,+3,C. White makes 3-pt jump shot from 26 ft (assist by J. Green)
0:23.0,P. George misses 3-pt jump shot from 24 ft,,23-36,,
0:19.0,,,23-36,,Defensive rebound by C. White
0:06.0,,,23-36,,Turnover by J. Green (bad pass; steal by P. George)
0:01.0,Shooting foul by B. Miller (drawn by T. Maxey),,23-36,,
0:01.0,T. Maxey makes free throw 1 of 2,+1,24-36,,
0:01.0,,,24-36,,S. James enters the game for B. Miller
0:01.0,T. Maxey makes free throw 2 of 2,+1,25-36,,
0:00.0,,,25-36,,Team misses heave shot
0:00.0,,,25-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Philadelphia,,Score,,Charlotte
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:45.0,Q. Grimes makes 3-pt jump shot from 23 ft (assist by T. Maxey),+3,28-36,,
11:34.0,,,28-39,+3,L. Ball makes 3-pt jump shot from 27 ft
11:23.0,Turnover by T. Maxey (bad pass),,28-39,,
11:15.0,,,28-39,,L. Ball misses 3-pt jump shot from 30 ft
11:12.0,Defensive rebound by Q. Grimes,,28-39,,
11:07.0,T. Maxey makes 2-pt jump shot from 9 ft,+2,30-39,,
10:58.0,,,30-39,,Turnover by G. Williams (lost ball; steal by P. George)
10:54.0,Shooting foul by C. White (drawn by Q. Grimes),,30-39,,
10:54.0,Q. Grimes makes free throw 1 of 2,+1,31-39,,
10:54.0,,,31-39,,K. Knueppel enters the game for C. White
10:54.0,Q. Grimes makes free throw 2 of 2,+1,32-39,,
10:46.0,,,32-39,,Personal foul by A. Bona (drawn by L. Ball)
10:32.0,,,32-42,+3,G. Williams makes 3-pt jump shot from 23 ft (assist by S. James)
10:14.0,P. George misses 3-pt jump shot from 25 ft,,32-42,,
