style,tip
top:258px;left:102px;,"3rd quarter, 11:39.0 remaining<br>Paul George made 3-pointer from 27 ft<br>Philadelphia now trails 67-69"
top:233px;left:75px;,"3rd quarter, 11:21.0 remaining<br>Paul George missed 3-pointer from 26 ft<br>Philadelphia trails 67-69"
top:30px;left:240px;,"3rd quarter, 11:17.0 remaining<br>Dominick Barlow made 2-pointer from 0 ft<br>Philadelphia now tied 69-69"
top:294px;left:288px;,"3rd quarter, 10:56.0 remaining<br>Joel Embiid missed 3-pointer from 27 ft<br>Philadelphia trails 69-71"
top:188px;left:289px;,"3rd quarter, 10:24.0 remaining<br>Joel Embiid missed 2-pointer from 17 ft<br>Philadelphia trails 69-73"
top:242px;left:228px;,"3rd quarter, 9:51.0 remaining<br>Paul George missed 2-pointer from 21 ft<br>Philadelphia trails 69-74"
top:78px;left:206px;,"3rd quarter, 9:25.0 remaining<br>Tyrese Maxey missed 2-pointer from 6 ft<br>Philadelphia trails 69-77"
top:128px;left:249px;,"3rd quarter, 8:56.0 remaining<br>VJ Edgecombe made 2-pointer from 10 ft<br>Philadelphia now trails 71-80"
top:280px;left:134px;,"3rd quarter, 8:16.0 remaining<br>Joel Embiid missed 3-pointer from 27 ft<br>Philadelphia trails 71-82"
top:151px;left:217px;,"3rd quarter, 7:27.0 remaining<br>Paul George made 2-pointer from 12 ft<br>Philadelphia now trails 73-86"
top:80px;left:180px;,"3rd quarter, 7:06.0 remaining<br>Paul George missed 2-pointer from 8 ft<br>Philadelphia trails 73-86"
top:237px;left:67px;,"3rd quarter, 6:54.0 remaining<br>Tyrese Maxey missed 3-pointer from 27 ft<br>Philadelphia trails 73-86"
top:198px;left:52px;,"3rd quarter, 6:20.0 remaining<br>Paul George made 3-pointer from 25 ft<br>Philadelphia now trails 76-88"
top:62px;left:217px;,"3rd quarter, 5:52.0 remaining<br>VJ Edgecombe made 2-pointer from 4 ft<br>Philadelphia now trails 78-88"
top:53px;left:10px;,"3rd quarter, 5:22.0 remaining<br>VJ Edgecombe made 3-pointer from 23 ft<br>Philadelphia now trails 81-88"
top:44px;left:254px;,"3rd quarter, 4:43.0 remaining<br>Quentin Grimes missed 2-pointer from 2 ft<br>Philadelphia trails 81-88"
top:101px;left:223px;,"3rd quarter, 4:29.0 remaining<br>VJ Edgecombe missed 2-pointer from 7 ft<br>Philadelphia trails 81-88"
top:243px;left:69px;,"3rd quarter, 3:55.0 remaining<br>Paul George missed 3-pointer from 27 ft<br>Philadelphia trails 81-88"
