style,tip
top:220px;left:432px;,"1st quarter, 11:34.0 remaining<br>Brandon Miller missed 3-pointer from 27 ft<br>Charlotte tied 0-0"
top:55px;left:218px;,"1st quarter, 11:29.0 remaining<br>Moussa Diabat̩ made 2-pointer from 3 ft<br>Charlotte now leads 2-0"
top:182px;left:458px;,"1st quarter, 11:07.0 remaining<br>LaMelo Ball made 3-pointer from 27 ft<br>Charlotte now leads 5-0"
top:103px;left:261px;,"1st quarter, 10:27.0 remaining<br>LaMelo Ball missed 2-pointer from 8 ft<br>Charlotte leads 5-1"
top:84px;left:198px;,"1st quarter, 9:52.0 remaining<br>Brandon Miller missed 2-pointer from 7 ft<br>Charlotte leads 5-4"
top:316px;left:244px;,"1st quarter, 9:43.0 remaining<br>LaMelo Ball missed 3-pointer from 29 ft<br>Charlotte leads 5-4"
top:62px;left:468px;,"1st quarter, 9:36.0 remaining<br>Kon Knueppel made 3-pointer from 23 ft<br>Charlotte now leads 8-4"
top:57px;left:234px;,"1st quarter, 9:04.0 remaining<br>LaMelo Ball missed 2-pointer from 3 ft<br>Charlotte leads 8-6"
top:121px;left:266px;,"1st quarter, 8:25.0 remaining<br>Brandon Miller made 2-pointer from 9 ft<br>Charlotte now leads 10-6"
top:46px;left:261px;,"1st quarter, 7:44.0 remaining<br>Ryan Kalkbrenner made 2-pointer from 3 ft<br>Charlotte now leads 12-8"
top:151px;left:205px;,"1st quarter, 7:22.0 remaining<br>LaMelo Ball missed 2-pointer from 13 ft<br>Charlotte leads 12-8"
top:68px;left:283px;,"1st quarter, 6:38.0 remaining<br>LaMelo Ball missed 2-pointer from 6 ft<br>Charlotte leads 13-8"
top:95px;left:212px;,"1st quarter, 6:10.0 remaining<br>Miles Bridges made 2-pointer from 7 ft<br>Charlotte now leads 15-11"
top:105px;left:254px;,"1st quarter, 5:37.0 remaining<br>LaMelo Ball missed 2-pointer from 8 ft<br>Charlotte leads 15-11"
top:103px;left:468px;,"1st quarter, 5:10.0 remaining<br>Kon Knueppel missed 3-pointer from 24 ft<br>Charlotte leads 15-13"
top:206px;left:445px;,"1st quarter, 5:03.0 remaining<br>Brandon Miller missed 3-pointer from 27 ft<br>Charlotte leads 15-13"
top:58px;left:270px;,"1st quarter, 3:56.0 remaining<br>Brandon Miller made 2-pointer from 4 ft<br>Charlotte now leads 19-15"
top:282px;left:166px;,"1st quarter, 3:27.0 remaining<br>Brandon Miller made 3-pointer from 26 ft<br>Charlotte now leads 22-16"
top:296px;left:185px;,"1st quarter, 2:50.0 remaining<br>Brandon Miller made 3-pointer from 27 ft<br>Charlotte now leads 26-20"
top:58px;left:275px;,"1st quarter, 2:09.0 remaining<br>Coby White made 2-pointer from 4 ft<br>Charlotte now leads 28-20"
top:58px;left:293px;,"1st quarter, 1:36.0 remaining<br>Coby White made 2-pointer from 6 ft<br>Charlotte now leads 30-23"
top:296px;left:278px;,"1st quarter, 1:09.0 remaining<br>Brandon Miller made 3-pointer from 27 ft<br>Charlotte now leads 33-23"
top:221px;left:57px;,"1st quarter, 0:38.0 remaining<br>Coby White made 3-pointer from 26 ft<br>Charlotte now leads 36-23"
top:290px;left:177px;,"2nd quarter, 11:34.0 remaining<br>LaMelo Ball made 3-pointer from 27 ft<br>Charlotte now leads 39-28"
top:311px;left:125px;,"2nd quarter, 11:15.0 remaining<br>LaMelo Ball missed 3-pointer from 30 ft<br>Charlotte leads 39-28"
top:26px;left:473px;,"2nd quarter, 10:32.0 remaining<br>Grant Williams made 3-pointer from 23 ft<br>Charlotte now leads 42-32"
top:184px;left:39px;,"2nd quarter, 9:43.0 remaining<br>Grant Williams made 3-pointer from 25 ft<br>Charlotte now leads 46-34"
top:42px;left:98px;,"2nd quarter, 8:52.0 remaining<br>Kon Knueppel missed 2-pointer from 14 ft<br>Charlotte leads 48-39"
top:30px;left:240px;,"2nd quarter, 8:50.0 remaining<br>Miles Bridges made 2-pointer from 0 ft<br>Charlotte now leads 50-39"
top:57px;left:15px;,"2nd quarter, 8:07.0 remaining<br>Sion James missed 3-pointer from 23 ft<br>Charlotte leads 50-39"
top:55px;left:268px;,"2nd quarter, 7:38.0 remaining<br>Miles Bridges made 2-pointer from 4 ft<br>Charlotte now leads 52-41"
top:174px;left:198px;,"2nd quarter, 6:55.0 remaining<br>Coby White made 2-pointer from 15 ft<br>Charlotte now leads 54-41"
top:101px;left:472px;,"2nd quarter, 6:18.0 remaining<br>LaMelo Ball missed 3-pointer from 24 ft<br>Charlotte leads 54-44"
top:124px;left:180px;,"2nd quarter, 6:13.0 remaining<br>Moussa Diabat̩ missed 2-pointer from 11 ft<br>Charlotte leads 54-44"
