Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donovan Mitchell,30:38,.255,.100,.300,.400,3.8,9.4,6.9,18.6,5.7,0.0,14.5,17.9,80,110,-6.6
James Harden,29:30,.604,.455,.545,.636,0.0,16.3,8.9,50.1,3.0,0.0,6.6,20.3,148,115,10.9
Evan Mobley,29:14,.724,.700,.133,.133,0.0,32.8,18.0,13.8,1.5,0.0,0.0,21.6,146,113,7.7
Sam Merrill,26:44,.506,.444,.778,.222,0.0,10.8,5.9,15.4,0.0,0.0,0.0,14.7,121,123,-3.4
Jarrett Allen,18:15,.827,.800,.000,.200,12.8,42.1,28.9,0.0,0.0,5.8,0.0,23.7,168,111,10.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keon Ellis,24:30,.919,1.000,.600,.200,0.0,0.0,0.0,8.9,1.8,0.0,0.0,8.8,174,122,2.6
Max Strus,22:49,.974,1.000,.786,.143,5.1,29.5,18.5,6.8,0.0,0.0,6.3,27.7,156,118,20.5
Dennis Schr̦der,19:55,.481,.429,.143,.429,0.0,0.0,0.0,26.9,2.2,0.0,0.0,16.6,125,121,-1.1
Thomas Bryant,14:02,.550,.550,.400,.000,25.0,6.8,15.0,0.0,0.0,0.0,16.7,34.0,99,124,-12.5
Tyrese Proctor,5:41,.798,.500,.500,2.000,0.0,16.9,9.3,0.0,0.0,0.0,21.0,33.3,130,121,-8.0
Nae'Qwan Tomlin,5:41,,,,,0.0,0.0,0.0,16.2,0.0,0.0,,0.0,237,126,-1.0
Riley Minix,4:39,1.000,1.000,.667,.000,0.0,0.0,0.0,32.9,0.0,0.0,25.0,34.2,122,126,16.7
Larry Nance Jr.,4:11,1.064,1.500,1.000,2.000,0.0,22.9,12.6,28.3,0.0,0.0,34.7,27.4,121,120,15.1
Olivier Sarr,4:11,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,123,126,-13.7
Team Totals,240,.673,.634,.423,.320,17.1,78.0,50.5,73.1,8.2,2.2,8.3,100.0,136.5,117.2,
