1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Miami,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Cleveland
12:00.0,Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession)
3:44.0,,,16-27,,T. Bryant enters the game for J. Harden
3:44.0,,,16-27,,D. Mitchell enters the game for S. Merrill
3:44.0,,,16-27,,D. SchrÃ¶der enters the game for E. Mobley
3:28.0,,,16-29,+2,T. Bryant makes 2-pt jump shot from 6 ft (assist by D. SchrÃ¶der)
3:15.0,P. Larsson misses 3-pt jump shot from 25 ft,,16-29,,
3:15.0,Offensive rebound by Team,,16-29,,
3:15.0,,,16-29,,Loose ball foul by K. Ellis (drawn by K. JakuÄionis)
3:04.0,P. Larsson makes 2-pt jump shot from 6 ft (assist by T. Herro),+2,18-29,,
2:57.0,,,18-32,+3,M. Strus makes 3-pt jump shot from 27 ft (assist by D. SchrÃ¶der)
2:43.0,T. Herro misses 2-pt jump shot from 16 ft,,18-32,,
2:37.0,Offensive rebound by K. JakuÄionis,,18-32,,
2:37.0,K. JakuÄionis makes 2-pt layup at rim,+2,20-32,,
2:29.0,,,20-32,,Turnover by M. Strus (bad pass; steal by K. Ware)
2:25.0,J. Jaquez makes 2-pt layup from 1 ft (assist by P. Larsson),+2,22-32,,
1:58.0,,,22-32,,D. SchrÃ¶der misses 2-pt jump shot from 7 ft
1:56.0,,,22-32,,Offensive rebound by T. Bryant
1:56.0,,,22-34,+2,T. Bryant makes 2-pt dunk at rim
1:39.0,Turnover by J. Jaquez (bad pass; steal by D. Mitchell),,22-34,,
1:32.0,,,22-34,,D. Mitchell misses 2-pt layup from 2 ft
1:30.0,Defensive rebound by K. Ware,,22-34,,
1:24.0,T. Herro misses 3-pt jump shot from 26 ft,,22-34,,
1:22.0,,,22-34,,Defensive rebound by M. Strus
1:16.0,,,22-37,+3,M. Strus makes 3-pt jump shot from 25 ft
1:03.0,K. Ware makes 3-pt jump shot from 28 ft (assist by P. Larsson),+3,25-37,,
0:48.0,,,25-37,,M. Strus misses 3-pt jump shot from 29 ft
0:46.0,,,25-37,,Offensive rebound by T. Bryant
0:36.0,,,25-40,+3,K. Ellis makes 3-pt jump shot from 25 ft (assist by D. Mitchell)
0:36.0,,,25-40,,Shooting foul by K. JakuÄionis (drawn by K. Ellis)
0:36.0,,,25-40,,K. Ellis misses free throw 1 of 1
0:33.0,Defensive rebound by K. Ware,,25-40,,
0:13.0,J. Jaquez makes 2-pt jump shot from 11 ft (assist by K. JakuÄionis),+2,27-40,,
0:00.0,,,27-40,,T. Bryant misses 3-pt jump shot from 25 ft
0:00.0,,,27-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Miami,,Score,,Cleveland
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:44.0,T. Herro makes 2-pt layup at rim (assist by P. Larsson),+2,29-40,,
11:31.0,,,29-42,+2,D. SchrÃ¶der makes 2-pt jump shot from 14 ft
11:16.0,K. Ware makes 3-pt jump shot from 23 ft (assist by J. Jaquez),+3,32-42,,
11:03.0,,,32-42,,Turnover by T. Bryant (step out of bounds)
10:43.0,J. Jaquez misses 2-pt jump shot from 8 ft,,32-42,,
10:40.0,,,32-42,,Defensive rebound by D. Mitchell
10:33.0,,,32-42,,T. Bryant misses 3-pt jump shot from 23 ft
10:30.0,Defensive rebound by B. Adebayo,,32-42,,
10:20.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Jaquez),+2,34-42,,
10:02.0,,,34-42,,D. SchrÃ¶der misses 3-pt jump shot from 26 ft
9:59.0,Defensive rebound by B. Adebayo,,34-42,,
9:55.0,Turnover by B. Adebayo (lost ball; steal by D. SchrÃ¶der),,34-42,,
9:48.0,,,34-44,+2,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell)
9:36.0,B. Adebayo misses 3-pt jump shot from 27 ft,,34-44,,
9:31.0,Offensive rebound by K. Ware,,34-44,,
9:27.0,Turnover by B. Adebayo (bad pass),,34-44,,
9:27.0,,,34-44,,J. Harden enters the game for T. Bryant
9:27.0,,,34-44,,S. Merrill enters the game for K. Ellis
9:12.0,,,34-44,,S. Merrill misses 3-pt jump shot from 26 ft
9:09.0,Defensive rebound by B. Adebayo,,34-44,,
9:03.0,J. Jaquez misses 3-pt jump shot from 25 ft,,34-44,,
9:03.0,,,34-44,,Defensive rebound by E. Mobley
8:58.0,,,34-46,+2,D. SchrÃ¶der makes 2-pt jump shot from 6 ft (assist by J. Harden)
8:58.0,,,34-46,,Shooting foul by J. Jaquez (drawn by D. SchrÃ¶der)
8:58.0,,,34-47,+1,D. SchrÃ¶der makes free throw 1 of 1
8:45.0,Turnover by J. Jaquez (bad pass; steal by D. Mitchell),,34-47,,
8:37.0,,,34-50,+3,S. Merrill makes 3-pt jump shot from 27 ft (assist by D. Mitchell)
8:36.0,Miami full timeout,,34-50,,
8:36.0,S. Fontecchio enters the game for J. Jaquez,,34-50,,
8:36.0,A. Wiggins enters the game for K. Ware,,34-50,,
8:36.0,,,34-50,,M. Strus enters the game for D. SchrÃ¶der
8:20.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Herro),+2,36-50,,
8:07.0,,,36-52,+2,J. Harden makes 2-pt jump shot from 12 ft
8:01.0,Turnover by P. Larsson (bad pass; steal by D. Mitchell),,36-52,,
7:54.0,,,36-55,+3,J. Harden makes 3-pt jump shot from 26 ft (assist by E. Mobley)
7:44.0,B. Adebayo misses 3-pt jump shot from 27 ft,,36-55,,
7:41.0,,,36-55,,Defensive rebound by S. Merrill
7:31.0,,,36-55,,S. Merrill misses 3-pt jump shot from 26 ft
7:30.0,Defensive rebound by Team,,36-55,,
7:30.0,,,36-55,,Loose ball foul by M. Strus (drawn by B. Adebayo)
7:30.0,D. Mitchell enters the game for T. Herro,,36-55,,
7:30.0,N. Powell enters the game for P. Larsson,,36-55,,
7:30.0,,,36-55,,K. Ellis enters the game for D. Mitchell
7:16.0,A. Wiggins misses 2-pt layup from 3 ft,,36-55,,
7:13.0,,,36-55,,Defensive rebound by E. Mobley
7:11.0,,,36-55,,Personal foul by N. Powell (drawn by S. Merrill)
6:55.0,,,36-55,,J. Harden misses 2-pt layup from 2 ft
6:54.0,Defensive rebound by N. Powell,,36-55,,
6:50.0,S. Fontecchio misses 3-pt jump shot from 25 ft,,36-55,,
6:47.0,,,36-55,,Defensive rebound by M. Strus
6:31.0,,,36-55,,J. Harden misses 2-pt layup from 1 ft
6:29.0,Defensive rebound by B. Adebayo,,36-55,,
6:23.0,N. Powell misses 3-pt jump shot from 27 ft,,36-55,,
6:19.0,,,36-55,,Defensive rebound by E. Mobley
6:10.0,,,36-55,,E. Mobley misses 2-pt jump shot from 8 ft (block by B. Adebayo)
6:10.0,,,36-55,,Offensive rebound by Team
6:10.0,,,36-55,,J. Allen enters the game for E. Mobley
6:10.0,,,36-55,,Away from play foul by A. Wiggins (drawn by M. Strus)
6:10.0,,,36-55,,Instant Replay (Request: Ruling Stands)
6:10.0,,,36-56,+1,J. Harden makes free throw 1 of 1
6:01.0,,,36-56,,J. Allen misses 2-pt jump shot from 12 ft
5:59.0,Defensive rebound by B. Adebayo,,36-56,,
5:54.0,Turnover by D. Mitchell (lost ball; steal by K. Ellis),,36-56,,
5:48.0,,,36-58,+2,M. Strus makes 2-pt layup at rim (assist by K. Ellis)
5:33.0,B. Adebayo misses 2-pt jump shot from 8 ft,,36-58,,
5:31.0,Offensive rebound by D. Mitchell,,36-58,,
