style,tip
top:165px;left:257px;,"3rd quarter, 11:40.0 remaining<br>Jamal Shead missed 2-pointer from 14 ft<br>Toronto leads 70-43"
top:29px;left:241px;,"3rd quarter, 11:24.0 remaining<br>RJ Barrett made 2-pointer from 0 ft<br>Toronto now leads 72-43"
top:123px;left:269px;,"3rd quarter, 10:22.0 remaining<br>Jakob Poeltl made 2-pointer from 10 ft<br>Toronto now leads 74-45"
top:38px;left:241px;,"3rd quarter, 10:04.0 remaining<br>Jakob Poeltl made 2-pointer from 1 ft<br>Toronto now leads 76-45"
top:31px;left:236px;,"3rd quarter, 9:53.0 remaining<br>Ja'Kobe Walter made 2-pointer from 0 ft<br>Toronto now leads 78-45"
top:28px;left:242px;,"3rd quarter, 9:11.0 remaining<br>Jakob Poeltl made 2-pointer from 0 ft<br>Toronto now leads 80-47"
top:146px;left:241px;,"3rd quarter, 8:46.0 remaining<br>RJ Barrett made 2-pointer from 12 ft<br>Toronto now leads 82-49"
top:238px;left:350px;,"3rd quarter, 8:20.0 remaining<br>Scottie Barnes missed 2-pointer from 23 ft<br>Toronto leads 82-49"
top:33px;left:227px;,"3rd quarter, 7:52.0 remaining<br>Gradey Dick missed 2-pointer from 1 ft<br>Toronto leads 82-49"
top:229px;left:405px;,"3rd quarter, 6:34.0 remaining<br>Gradey Dick made 3-pointer from 26 ft<br>Toronto now leads 87-57"
top:198px;left:199px;,"3rd quarter, 6:06.0 remaining<br>Scottie Barnes missed 2-pointer from 17 ft<br>Toronto leads 87-57"
top:36px;left:471px;,"3rd quarter, 5:36.0 remaining<br>A.J. Lawson missed 3-pointer from 23 ft<br>Toronto leads 87-57"
top:141px;left:295px;,"3rd quarter, 5:19.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 12 ft<br>Toronto now leads 89-57"
top:36px;left:1px;,"3rd quarter, 4:35.0 remaining<br>Sandro Mamukelashvili missed 3-pointer from 24 ft<br>Toronto leads 89-57"
top:134px;left:248px;,"3rd quarter, 4:06.0 remaining<br>Jamal Shead made 2-pointer from 10 ft<br>Toronto now leads 91-57"
top:36px;left:236px;,"3rd quarter, 3:42.0 remaining<br>A.J. Lawson made 2-pointer from 1 ft<br>Toronto now leads 93-57"
top:83px;left:20px;,"3rd quarter, 3:12.0 remaining<br>A.J. Lawson made 3-pointer from 23 ft<br>Toronto now leads 96-60"
top:44px;left:273px;,"3rd quarter, 2:45.0 remaining<br>RJ Barrett missed 2-pointer from 4 ft<br>Toronto leads 96-62"
top:31px;left:240px;,"3rd quarter, 2:45.0 remaining<br>Scottie Barnes made 2-pointer from 0 ft<br>Toronto now leads 98-62"
top:34px;left:235px;,"3rd quarter, 2:10.0 remaining<br>Scottie Barnes made 2-pointer from 1 ft<br>Toronto now leads 101-64"
top:24px;left:242px;,"3rd quarter, 1:47.0 remaining<br>Alijah Martin made 2-pointer from 1 ft<br>Toronto now leads 103-64"
top:38px;left:267px;,"3rd quarter, 1:30.0 remaining<br>RJ Barrett made 2-pointer from 3 ft<br>Toronto now leads 105-66"
top:83px;left:217px;,"3rd quarter, 1:10.0 remaining<br>Scottie Barnes made 2-pointer from 6 ft<br>Toronto now leads 108-68"
top:117px;left:238px;,"3rd quarter, 0:39.0 remaining<br>RJ Barrett made 2-pointer from 9 ft<br>Toronto now leads 110-68"
top:37px;left:240px;,"3rd quarter, 0:13.0 remaining<br>Alijah Martin missed 2-pointer from 1 ft<br>Toronto leads 111-68"
top:31px;left:240px;,"3rd quarter, 0:11.0 remaining<br>Alijah Martin made 2-pointer from 0 ft<br>Toronto now leads 113-68"
top:255px;left:108px;,"4th quarter, 11:24.0 remaining<br>Ja'Kobe Walter made 3-pointer from 26 ft<br>Toronto now leads 116-68"
top:39px;left:15px;,"4th quarter, 10:57.0 remaining<br>Ja'Kobe Walter made 3-pointer from 23 ft<br>Toronto now leads 119-68"
top:27px;left:244px;,"4th quarter, 10:38.0 remaining<br>Jamal Shead made 2-pointer from 1 ft<br>Toronto now leads 121-68"
