1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Toronto
12:00.0,Jump ball: W. Carter vs. J. Poeltl (J. Suggs gains possession),Jump ball: W. Carter vs. J. Poeltl (J. Suggs gains possession),Jump ball: W. Carter vs. J. Poeltl (J. Suggs gains possession),Jump ball: W. Carter vs. J. Poeltl (J. Suggs gains possession),Jump ball: W. Carter vs. J. Poeltl (J. Suggs gains possession)
11:43.0,D. Bane makes 2-pt layup from 1 ft (assist by W. Carter),+2,2-0,,
11:22.0,,,2-0,,R. Barrett misses 3-pt jump shot from 24 ft
11:19.0,Defensive rebound by D. Bane,,2-0,,
11:11.0,J. Suggs misses 3-pt jump shot from 23 ft,,2-0,,
11:08.0,Offensive rebound by D. Bane,,2-0,,
11:01.0,P. Banchero misses 2-pt layup from 1 ft,,2-0,,
11:01.0,Offensive rebound by Team,,2-0,,
10:55.0,P. Banchero misses 2-pt layup from 3 ft,,2-0,,
10:51.0,,,2-0,,Defensive rebound by J. Poeltl
10:40.0,,,2-0,,J. Walter misses 3-pt jump shot from 23 ft
10:38.0,Defensive rebound by W. Carter,,2-0,,
10:28.0,J. Suggs misses 2-pt jump shot from 11 ft,,2-0,,
10:26.0,,,2-0,,Defensive rebound by Team
10:20.0,,,2-0,,R. Barrett misses 3-pt jump shot from 26 ft
10:18.0,Defensive rebound by Team,,2-0,,
10:01.0,J. Suggs makes 2-pt jump shot from 11 ft,+2,4-0,,
9:50.0,,,4-2,+2,R. Barrett makes 2-pt layup from 2 ft (assist by S. Barnes)
9:34.0,Turnover by D. Bane (bad pass),,4-2,,
9:17.0,,,4-2,,J. Poeltl misses 2-pt jump shot from 6 ft
9:15.0,Defensive rebound by J. Suggs,,4-2,,
9:07.0,T. Da Silva misses 3-pt jump shot from 25 ft,,4-2,,
9:04.0,Offensive rebound by W. Carter,,4-2,,
9:01.0,J. Suggs makes 3-pt jump shot from 25 ft (assist by P. Banchero),+3,7-2,,
8:37.0,,,7-4,+2,J. Shead makes 2-pt jump shot from 11 ft
8:29.0,J. Suggs makes 2-pt jump shot from 11 ft,+2,9-4,,
8:29.0,Shooting foul by R. Barrett (drawn by J. Suggs),,9-4,,
8:29.0,,,9-4,,G. Dick enters the game for J. Shead
8:29.0,J. Suggs makes free throw 1 of 1,+1,10-4,,
8:11.0,,,10-6,+2,R. Barrett makes 2-pt jump shot from 10 ft (assist by S. Barnes)
8:03.0,D. Bane makes 3-pt jump shot from 24 ft (assist by J. Suggs),+3,13-6,,
8:02.0,,,13-6,,Toronto full timeout
7:52.0,,,13-8,+2,J. Poeltl makes 2-pt layup from 1 ft (assist by S. Barnes)
7:35.0,Turnover by D. Bane (bad pass; steal by S. Barnes),,13-8,,
7:28.0,,,13-8,,Turnover by G. Dick (lost ball; steal by J. Suggs)
7:25.0,Turnover by D. Bane (out of bounds lost ball),,13-8,,
7:14.0,,,13-8,,G. Dick misses 2-pt jump shot from 7 ft
7:14.0,Defensive rebound by Team,,13-8,,
6:51.0,P. Banchero makes 2-pt jump shot from 12 ft,+2,15-8,,
6:38.0,,,15-11,+3,S. Barnes makes 3-pt jump shot from 26 ft (assist by J. Poeltl)
6:25.0,J. Suggs makes 3-pt jump shot from 25 ft,+3,18-11,,
6:11.0,,,18-14,+3,S. Barnes makes 3-pt jump shot from 27 ft
6:00.0,J. Suggs misses 3-pt jump shot from 26 ft,,18-14,,
5:57.0,,,18-14,,Defensive rebound by J. Poeltl
5:44.0,,,18-14,,Turnover by S. Barnes (traveling)
5:44.0,J. Carter enters the game for D. Bane,,18-14,,
5:44.0,J. Howard enters the game for J. Suggs,,18-14,,
5:44.0,,,18-14,,S. Mamukelashvili enters the game for S. Barnes
5:44.0,,,18-14,,J. Shead enters the game for J. Walter
5:30.0,P. Banchero makes 2-pt jump shot from 1 ft,+2,20-14,,
5:17.0,,,20-14,,Shooting foul by J. Carter (drawn by J. Shead)
5:17.0,,,20-15,+1,J. Shead makes free throw 1 of 2
5:17.0,G. Bitadze enters the game for W. Carter,,20-15,,
5:17.0,,,20-16,+1,J. Shead makes free throw 2 of 2
5:06.0,Turnover by G. Bitadze (bad pass; steal by S. Mamukelashvili),,20-16,,
5:03.0,,,20-18,+2,S. Mamukelashvili makes 2-pt layup from 2 ft
4:48.0,Turnover by P. Banchero (lost ball; steal by R. Barrett),,20-18,,
4:45.0,,,20-18,,Shooting foul by T. Da Silva (drawn by R. Barrett)
4:45.0,,,20-19,+1,R. Barrett makes free throw 1 of 2
4:45.0,,,20-20,+1,R. Barrett makes free throw 2 of 2
4:21.0,P. Banchero misses 3-pt jump shot from 23 ft,,20-20,,
4:21.0,Offensive rebound by Team,,20-20,,
4:21.0,,,20-20,,Loose ball foul by J. Poeltl (drawn by G. Bitadze)
4:21.0,,,20-20,,A. Lawson enters the game for R. Barrett
4:13.0,G. Bitadze misses 2-pt layup from 4 ft,,20-20,,
4:11.0,,,20-20,,Defensive rebound by S. Mamukelashvili
4:04.0,,,20-23,+3,S. Mamukelashvili makes 3-pt jump shot from 29 ft (assist by J. Shead)
4:03.0,Orlando full timeout,,20-23,,
4:03.0,J. Cain enters the game for T. Da Silva,,20-23,,
3:45.0,P. Banchero misses 2-pt layup from 1 ft,,20-23,,
3:45.0,Offensive rebound by Team,,20-23,,
3:45.0,Turnover by P. Banchero (traveling),,20-23,,
3:31.0,,,20-23,,Shooting foul by P. Banchero (drawn by J. Shead)
3:31.0,,,20-24,+1,J. Shead makes free throw 1 of 2
3:31.0,,,20-24,,S. Barnes enters the game for J. Poeltl
3:31.0,,,20-25,+1,J. Shead makes free throw 2 of 2
3:17.0,J. Carter misses 3-pt jump shot from 26 ft,,20-25,,
3:14.0,,,20-25,,Defensive rebound by S. Barnes
3:09.0,,,20-28,+3,S. Mamukelashvili makes 3-pt jump shot from 27 ft (assist by A. Lawson)
2:50.0,Turnover by J. Cain (lost ball; steal by A. Lawson),,20-28,,
2:45.0,,,20-30,+2,S. Barnes makes 2-pt dunk from 1 ft (assist by G. Dick)
2:31.0,J. Carter misses 2-pt jump shot from 18 ft,,20-30,,
2:28.0,,,20-30,,Defensive rebound by A. Lawson
2:23.0,,,20-32,+2,S. Barnes makes 2-pt dunk from 1 ft (assist by J. Shead)
2:23.0,Orlando full timeout,,20-32,,
2:23.0,D. Bane enters the game for P. Banchero,,20-32,,
2:23.0,W. Carter enters the game for G. Bitadze,,20-32,,
2:23.0,N. Penda enters the game for J. Carter,,20-32,,
2:23.0,J. Suggs enters the game for J. Howard,,20-32,,
2:23.0,,,20-32,,J. Walter enters the game for G. Dick
2:15.0,Turnover by J. Cain (lost ball; steal by S. Barnes),,20-32,,
2:13.0,,,20-32,,Turnover by S. Barnes (bad pass; steal by N. Penda)
2:03.0,Turnover by J. Cain (lost ball; steal by J. Shead),,20-32,,
1:57.0,,,20-35,+3,A. Lawson makes 3-pt jump shot from 24 ft (assist by S. Barnes)
1:44.0,Personal foul by A. Lawson (drawn by W. Carter),,20-35,,
1:44.0,,,20-35,,A. Martin enters the game for J. Shead
1:36.0,N. Penda misses 3-pt jump shot from 26 ft,,20-35,,
1:32.0,,,20-35,,Defensive rebound by S. Mamukelashvili
1:31.0,,,20-35,,Turnover by S. Mamukelashvili (bad pass)
1:21.0,W. Carter misses 3-pt jump shot from 26 ft,,20-35,,
1:17.0,,,20-35,,Defensive rebound by J. Walter
