Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,28:22,.710,.714,.143,.357,5.0,14.7,10.6,65.5,4.8,0.0,11.0,26.9,149,81,23.2
Ja'Kobe Walter,28:07,.688,.688,.625,.000,15.1,11.1,12.8,0.0,1.6,0.0,11.1,13.4,127,89,-1.1
RJ Barrett,26:28,.685,.571,.286,.571,0.0,11.8,6.8,13.8,5.1,0.0,5.4,29.3,138,81,4.5
Jakob Poeltl,25:03,.698,.714,.000,.286,5.6,25.0,16.8,12.9,1.8,4.4,0.0,13.2,152,83,3.4
Jamal Shead,23:22,.888,.800,.000,.800,0.0,8.9,5.1,44.9,5.8,0.0,0.0,12.1,200,81,16.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gradey Dick,23:14,.500,.500,.182,.000,0.0,13.5,7.7,4.7,0.0,0.0,15.4,23.4,83,92,-13.1
Sandro Mamukelashvili,21:19,.707,.692,.308,.077,0.0,19.6,11.3,0.0,6.4,0.0,18.2,32.3,101,76,1.5
A.J. Lawson,19:14,1.000,1.000,.857,.000,0.0,10.9,6.2,12.0,7.1,0.0,0.0,15.2,183,77,17.0
Alijah Martin,12:57,.508,.500,.571,.286,21.8,16.1,18.5,8.6,3.5,8.4,0.0,25.5,121,79,4.4
Trayce Jackson-Davis,10:38,.667,.667,.000,.000,0.0,9.8,5.6,20.1,4.3,10.3,25.0,15.7,111,78,5.5
Jonathan Mogbo,10:38,.500,.500,.500,.000,0.0,58.9,33.9,27.4,4.3,0.0,0.0,7.9,147,70,12.1
Markelle Fultz,7:21,.000,.000,.000,.000,0.0,14.2,8.2,12.1,0.0,0.0,0.0,11.4,37,92,-16.3
Garrett Temple,3:17,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0,96,-21.6
Brandon Ingram,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Collin Murray-Boyles,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.670,.644,.309,.234,20.6,80.4,55.0,75.9,18.9,6.8,9.6,100.0,131.2,82.1,
