Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 29 2013,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,Box Score,,"18,165",2:17
Tue Oct 29 2013,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,Box Score,,"19,964",2:32
Tue Oct 29 2013,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,Box Score,,"18,997",2:27
Wed Oct 30 2013,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,Box Score,,"20,562",2:23
Wed Oct 30 2013,7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,Box Score,,"20,155",2:22
Wed Oct 30 2013,7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,Box Score,,"19,523",2:14
Wed Oct 30 2013,7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,Box Score,,"19,258",2:26
Wed Oct 30 2013,7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,Box Score,,"19,812",2:23
Wed Oct 30 2013,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,Box Score,,"17,803",2:27
Wed Oct 30 2013,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,,Box Score,OT,"17,988",2:36
Wed Oct 30 2013,8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,Box Score,,"18,083",2:09
Wed Oct 30 2013,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,Box Score,,"18,581",2:07
Wed Oct 30 2013,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,Box Score,,"19,834",2:14
Wed Oct 30 2013,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,Box Score,,"19,911",2:25
Wed Oct 30 2013,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,Box Score,,"17,208",2:07
Wed Oct 30 2013,10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,Box Score,,"17,317",2:26
Wed Oct 30 2013,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,Box Score,,"19,596",2:10
Thu Oct 31 2013,8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,Box Score,,"22,022",2:33
Thu Oct 31 2013,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,Box Score,,"19,060",2:48
Fri Nov 01 2013,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,Box Score,,"18,017",2:23
Fri Nov 01 2013,7:00p,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,Box Score,,"18,846",2:13
Fri Nov 01 2013,7:00p,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,Box Score,,"17,160",2:06
Fri Nov 01 2013,7:30p,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,Box Score,,"18,118",2:12
Fri Nov 01 2013,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,Box Score,,"18,624",2:23
Fri Nov 01 2013,8:00p,Miami Heat,100,Brooklyn Nets,101,Box Score,,Box Score,,"17,732",2:54
Fri Nov 01 2013,8:00p,Dallas Mavericks,105,Houston Rockets,113,Box Score,,Box Score,,"18,142",2:32
Fri Nov 01 2013,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,,Box Score,OT,"18,119",2:48
Fri Nov 01 2013,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,Box Score,,"17,433",2:14
Fri Nov 01 2013,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,Box Score,,"19,155",2:09
Fri Nov 01 2013,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,Box Score,,"14,662",2:20
Fri Nov 01 2013,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,Box Score,,"17,317",2:30
Fri Nov 01 2013,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,Box Score,,"18,997",2:27
Sat Nov 02 2013,7:00p,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,Box Score,,"16,242",2:10
Sat Nov 02 2013,7:30p,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,Box Score,,"15,782",2:05
Sat Nov 02 2013,8:00p,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,Box Score,,"15,232",2:11
Sat Nov 02 2013,8:30p,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,Box Score,,"20,262",2:23
Sat Nov 02 2013,8:30p,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,Box Score,,"16,046",2:18
Sat Nov 02 2013,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,Box Score,,"19,498",2:20
Sat Nov 02 2013,10:00p,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,Box Score,,"20,028",2:09
