Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 28 2008,8:00p,Cleveland Cavaliers,85,Boston Celtics,90,Box Score,,Box Score,,"18,624",2:45
Tue Oct 28 2008,8:30p,Milwaukee Bucks,95,Chicago Bulls,108,Box Score,,Box Score,,"21,762",2:21
Tue Oct 28 2008,10:30p,Portland Trail Blazers,76,Los Angeles Lakers,96,Box Score,,Box Score,,"18,997",2:19
Wed Oct 29 2008,6:00p,Toronto Raptors,95,Philadelphia 76ers,84,Box Score,,Box Score,,"15,750",2:12
Wed Oct 29 2008,7:00p,New Jersey Nets,95,Washington Wizards,85,Box Score,,Box Score,,"20,173",2:19
Wed Oct 29 2008,7:00p,Atlanta Hawks,99,Orlando Magic,85,Box Score,,Box Score,,"17,461",2:25
Wed Oct 29 2008,7:30p,Miami Heat,115,New York Knicks,120,Box Score,,Box Score,,"19,763",2:25
Wed Oct 29 2008,8:00p,Phoenix Suns,103,San Antonio Spurs,98,Box Score,,Box Score,,"18,797",2:28
Wed Oct 29 2008,8:00p,Milwaukee Bucks,98,Oklahoma City Thunder,87,Box Score,,Box Score,,"19,136",2:17
Wed Oct 29 2008,8:00p,Sacramento Kings,96,Minnesota Timberwolves,98,Box Score,,Box Score,,"17,820",2:16
Wed Oct 29 2008,8:00p,Indiana Pacers,94,Detroit Pistons,100,Box Score,,Box Score,,"22,076",2:23
Wed Oct 29 2008,8:30p,Memphis Grizzlies,71,Houston Rockets,82,Box Score,,Box Score,,"18,196",2:16
Wed Oct 29 2008,9:00p,Denver Nuggets,94,Utah Jazz,98,Box Score,,Box Score,,"19,911",2:21
Wed Oct 29 2008,10:30p,Los Angeles Lakers,117,Los Angeles Clippers,79,Box Score,,Box Score,,"19,060",2:27
Wed Oct 29 2008,10:30p,New Orleans Hornets,108,Golden State Warriors,103,Box Score,,Box Score,,"19,128",2:24
Thu Oct 30 2008,7:00p,Charlotte Bobcats,79,Cleveland Cavaliers,96,Box Score,,Box Score,,"20,562",2:21
Thu Oct 30 2008,8:00p,Houston Rockets,112,Dallas Mavericks,102,Box Score,,Box Score,,"20,066",2:37
Thu Oct 30 2008,10:30p,New Orleans Hornets,108,Phoenix Suns,95,Box Score,,Box Score,,"18,422",2:25
Fri Oct 31 2008,7:00p,New York Knicks,87,Philadelphia 76ers,116,Box Score,,Box Score,,"11,717",2:02
Fri Oct 31 2008,7:00p,Golden State Warriors,108,Toronto Raptors,112,Box Score,,Box Score,OT,"19,800",2:34
Fri Oct 31 2008,7:30p,Sacramento Kings,77,Miami Heat,103,Box Score,,Box Score,,"19,600",2:20
Fri Oct 31 2008,8:00p,Chicago Bulls,80,Boston Celtics,96,Box Score,,Box Score,,"18,624",2:35
Fri Oct 31 2008,8:00p,Orlando Magic,84,Memphis Grizzlies,86,Box Score,,Box Score,,"16,139",2:34
Fri Oct 31 2008,10:30p,Denver Nuggets,113,Los Angeles Clippers,103,Box Score,,Box Score,OT,"11,418",2:40
Fri Oct 31 2008,10:30p,San Antonio Spurs,99,Portland Trail Blazers,100,Box Score,,Box Score,,"20,516",2:31
Sat Nov 01 2008,7:00p,Philadelphia 76ers,88,Atlanta Hawks,95,Box Score,,Box Score,,"19,651",2:18
Sat Nov 01 2008,7:00p,Miami Heat,87,Charlotte Bobcats,100,Box Score,,Box Score,,"19,238",2:26
Sat Nov 01 2008,7:00p,Boston Celtics,79,Indiana Pacers,95,Box Score,,Box Score,,"18,165",2:22
Sat Nov 01 2008,7:00p,Sacramento Kings,103,Orlando Magic,121,Box Score,,Box Score,,"16,704",2:16
Sat Nov 01 2008,7:30p,Washington Wizards,109,Detroit Pistons,117,Box Score,,Box Score,,"22,076",2:22
Sat Nov 01 2008,7:30p,Golden State Warriors,105,New Jersey Nets,97,Box Score,,Box Score,,"17,390",2:36
Sat Nov 01 2008,8:00p,Dallas Mavericks,95,Minnesota Timberwolves,85,Box Score,,Box Score,,"16,893",2:11
Sat Nov 01 2008,8:00p,Cleveland Cavaliers,92,New Orleans Hornets,104,Box Score,,Box Score,,"18,150",2:18
Sat Nov 01 2008,8:30p,Memphis Grizzlies,86,Chicago Bulls,96,Box Score,,Box Score,,"21,785",2:20
Sat Nov 01 2008,8:30p,Oklahoma City Thunder,77,Houston Rockets,89,Box Score,,Box Score,,"16,996",2:06
Sat Nov 01 2008,8:30p,Toronto Raptors,91,Milwaukee Bucks,87,Box Score,,Box Score,,"17,036",2:18
Sat Nov 01 2008,9:00p,Los Angeles Lakers,104,Denver Nuggets,97,Box Score,,Box Score,,"19,651",2:24
Sat Nov 01 2008,9:00p,Los Angeles Clippers,79,Utah Jazz,101,Box Score,,Box Score,,"19,602",2:13
Sat Nov 01 2008,10:00p,Portland Trail Blazers,96,Phoenix Suns,107,Box Score,,Box Score,,"18,422",2:15
Sun Nov 02 2008,6:00p,Milwaukee Bucks,94,New York Knicks,86,Box Score,,Box Score,,"18,190",2:14
Sun Nov 02 2008,7:00p,Minnesota Timberwolves,85,Oklahoma City Thunder,88,Box Score,,Box Score,,"18,163",1:57
Mon Nov 03 2008,7:00p,Detroit Pistons,101,Charlotte Bobcats,83,Box Score,,Box Score,,"11,023",2:12
Mon Nov 03 2008,7:00p,Chicago Bulls,93,Orlando Magic,96,Box Score,,Box Score,,"15,606",2:27
Mon Nov 03 2008,7:00p,Sacramento Kings,91,Philadelphia 76ers,125,Box Score,,Box Score,,"10,100",2:12
Mon Nov 03 2008,8:00p,Golden State Warriors,79,Memphis Grizzlies,90,Box Score,,Box Score,,"10,121",2:08
Mon Nov 03 2008,8:30p,Cleveland Cavaliers,100,Dallas Mavericks,81,Box Score,,Box Score,,"19,923",2:16
Mon Nov 03 2008,10:30p,Utah Jazz,89,Los Angeles Clippers,73,Box Score,,Box Score,,"12,712",2:08
Tue Nov 04 2008,7:30p,Phoenix Suns,114,New Jersey Nets,86,Box Score,,Box Score,,"15,230",2:19
Tue Nov 04 2008,8:30p,Boston Celtics,103,Houston Rockets,99,Box Score,,Box Score,,"18,291",2:27
Tue Nov 04 2008,8:30p,Dallas Mavericks,98,San Antonio Spurs,81,Box Score,,Box Score,,"17,398",2:00
Wed Nov 05 2008,7:00p,Phoenix Suns,113,Indiana Pacers,103,Box Score,,Box Score,,"11,660",2:17
Wed Nov 05 2008,7:00p,Detroit Pistons,100,Toronto Raptors,93,Box Score,,Box Score,,"18,602",2:11
Wed Nov 05 2008,7:30p,Philadelphia 76ers,83,Miami Heat,106,Box Score,,Box Score,,"15,103",2:17
Wed Nov 05 2008,7:30p,Charlotte Bobcats,98,New York Knicks,101,Box Score,,Box Score,,"17,977",2:15
Wed Nov 05 2008,8:00p,Chicago Bulls,93,Cleveland Cavaliers,107,Box Score,,Box Score,,"20,562",2:31
Wed Nov 05 2008,8:00p,Washington Wizards,104,Milwaukee Bucks,112,Box Score,,Box Score,OT,"13,895",2:34
Wed Nov 05 2008,8:00p,San Antonio Spurs,129,Minnesota Timberwolves,125,Box Score,,Box Score,2OT,"11,112",3:02
Wed Nov 05 2008,8:00p,Atlanta Hawks,87,New Orleans Hornets,79,Box Score,,Box Score,,"16,030",2:06
Wed Nov 05 2008,8:00p,Boston Celtics,96,Oklahoma City Thunder,83,Box Score,,Box Score,,"19,136",2:24
Wed Nov 05 2008,9:00p,Portland Trail Blazers,96,Utah Jazz,103,Box Score,,Box Score,,"19,911",2:16
Wed Nov 05 2008,10:00p,Memphis Grizzlies,95,Sacramento Kings,100,Box Score,,Box Score,,"13,685",2:32
Wed Nov 05 2008,10:30p,Denver Nuggets,101,Golden State Warriors,111,Box Score,,Box Score,,"18,194",2:33
Wed Nov 05 2008,10:30p,Los Angeles Clippers,88,Los Angeles Lakers,106,Box Score,,Box Score,,"18,997",2:24
Thu Nov 06 2008,8:00p,Philadelphia 76ers,88,Orlando Magic,98,Box Score,,Box Score,,"16,407",2:26
Thu Nov 06 2008,10:30p,Houston Rockets,99,Portland Trail Blazers,101,Box Score,,Box Score,OT,"20,611",2:53
Fri Nov 07 2008,7:00p,New Orleans Hornets,89,Charlotte Bobcats,92,Box Score,,Box Score,,"13,435",2:15
Fri Nov 07 2008,7:00p,New York Knicks,114,Washington Wizards,108,Box Score,,Box Score,,"20,173",2:06
Fri Nov 07 2008,7:30p,Toronto Raptors,92,Atlanta Hawks,110,Box Score,,Box Score,,"18,290",2:12
Fri Nov 07 2008,7:30p,Milwaukee Bucks,89,Boston Celtics,101,Box Score,,Box Score,,"18,624",2:17
Fri Nov 07 2008,7:30p,Indiana Pacers,107,Cleveland Cavaliers,111,Box Score,,Box Score,,"20,562",2:20
Fri Nov 07 2008,7:30p,Detroit Pistons,96,New Jersey Nets,103,Box Score,,Box Score,,"17,767",2:22
Fri Nov 07 2008,8:00p,Miami Heat,99,San Antonio Spurs,83,Box Score,,Box Score,,"17,387",2:23
Fri Nov 07 2008,8:30p,Phoenix Suns,83,Chicago Bulls,100,Box Score,,Box Score,,"21,967",2:13
Fri Nov 07 2008,9:00p,Oklahoma City Thunder,97,Utah Jazz,104,Box Score,,Box Score,,"19,911",2:16
Fri Nov 07 2008,10:00p,Minnesota Timberwolves,109,Sacramento Kings,121,Box Score,,Box Score,,"10,592",2:23
Fri Nov 07 2008,10:30p,Dallas Mavericks,105,Denver Nuggets,108,Box Score,,Box Score,,"19,175",2:39
Fri Nov 07 2008,10:30p,Memphis Grizzlies,109,Golden State Warriors,104,Box Score,,Box Score,,"18,744",2:33
Fri Nov 07 2008,10:30p,Houston Rockets,92,Los Angeles Clippers,83,Box Score,,Box Score,,"14,670",2:08
Sat Nov 08 2008,7:00p,New Jersey Nets,80,Indiana Pacers,98,Box Score,,Box Score,,"14,355",2:13
Sat Nov 08 2008,7:00p,Washington Wizards,81,Orlando Magic,106,Box Score,,Box Score,,"16,911",2:12
Sat Nov 08 2008,8:00p,Miami Heat,89,New Orleans Hornets,100,Box Score,,Box Score,,"17,701",2:21
Sat Nov 08 2008,8:30p,Cleveland Cavaliers,106,Chicago Bulls,97,Box Score,,Box Score,,"21,965",2:24
Sat Nov 08 2008,8:30p,Phoenix Suns,104,Milwaukee Bucks,96,Box Score,,Box Score,,"17,935",2:21
Sat Nov 08 2008,10:00p,Minnesota Timberwolves,93,Portland Trail Blazers,97,Box Score,,Box Score,,"20,599",2:17
Sun Nov 09 2008,1:00p,Toronto Raptors,89,Charlotte Bobcats,79,Box Score,,Box Score,,"12,111",2:11
Sun Nov 09 2008,3:00p,Utah Jazz,99,New York Knicks,107,Box Score,,Box Score,,"19,344",2:05
Sun Nov 09 2008,3:30p,Dallas Mavericks,92,Los Angeles Clippers,103,Box Score,,Box Score,,"14,249",2:15
Sun Nov 09 2008,6:00p,Boston Celtics,88,Detroit Pistons,76,Box Score,,Box Score,,"22,076",2:23
Sun Nov 09 2008,7:00p,Atlanta Hawks,89,Oklahoma City Thunder,85,Box Score,,Box Score,,"18,231",2:26
Sun Nov 09 2008,8:00p,Memphis Grizzlies,90,Denver Nuggets,100,Box Score,,Box Score,,"14,359",2:34
Sun Nov 09 2008,9:00p,Golden State Warriors,98,Sacramento Kings,115,Box Score,,Box Score,,"12,090",2:18
Sun Nov 09 2008,9:30p,Houston Rockets,82,Los Angeles Lakers,111,Box Score,,Box Score,,"18,997",2:07
Mon Nov 10 2008,7:00p,Oklahoma City Thunder,99,Indiana Pacers,107,Box Score,,Box Score,,"10,165",2:14
Mon Nov 10 2008,7:00p,Portland Trail Blazers,106,Orlando Magic,99,Box Score,,Box Score,,"14,210",2:34
Mon Nov 10 2008,7:30p,Toronto Raptors,87,Boston Celtics,94,Box Score,,Box Score,,"18,624",2:20
Mon Nov 10 2008,7:30p,New Jersey Nets,94,Miami Heat,99,Box Score,,Box Score,,"15,028",2:24
Mon Nov 10 2008,9:00p,Memphis Grizzlies,102,Phoenix Suns,107,Box Score,,Box Score,,"18,422",2:24
Tue Nov 11 2008,7:00p,Denver Nuggets,88,Charlotte Bobcats,80,Box Score,,Box Score,,"10,753",2:17
Tue Nov 11 2008,7:00p,Milwaukee Bucks,93,Cleveland Cavaliers,99,Box Score,,Box Score,,"19,842",2:21
Tue Nov 11 2008,7:00p,Utah Jazz,93,Philadelphia 76ers,80,Box Score,,Box Score,,"12,839",2:11
Tue Nov 11 2008,8:30p,Atlanta Hawks,113,Chicago Bulls,108,Box Score,,Box Score,,"21,738",2:18
Tue Nov 11 2008,8:30p,Los Angeles Lakers,106,Dallas Mavericks,99,Box Score,,Box Score,,"20,391",2:21
Tue Nov 11 2008,8:30p,New York Knicks,80,San Antonio Spurs,92,Box Score,,Box Score,,"16,569",2:12
Tue Nov 11 2008,10:00p,Detroit Pistons,100,Sacramento Kings,92,Box Score,,Box Score,,"11,423",2:19
Tue Nov 11 2008,10:30p,Minnesota Timberwolves,110,Golden State Warriors,113,Box Score,,Box Score,OT,"17,422",2:40
Wed Nov 12 2008,7:00p,Philadelphia 76ers,106,Toronto Raptors,96,Box Score,,Box Score,,"18,093",2:13
Wed Nov 12 2008,7:30p,Atlanta Hawks,102,Boston Celtics,103,Box Score,,Box Score,,"18,624",2:39
Wed Nov 12 2008,7:30p,Indiana Pacers,98,New Jersey Nets,87,Box Score,,Box Score,,"13,551",2:16
Wed Nov 12 2008,8:00p,New York Knicks,132,Memphis Grizzlies,103,Box Score,,Box Score,,"10,129",1:56
Wed Nov 12 2008,8:00p,Portland Trail Blazers,104,Miami Heat,96,Box Score,,Box Score,,"15,021",2:29
Wed Nov 12 2008,8:00p,San Antonio Spurs,78,Milwaukee Bucks,82,Box Score,,Box Score,,"14,036",2:08
Wed Nov 12 2008,8:00p,Los Angeles Lakers,93,New Orleans Hornets,86,Box Score,,Box Score,,"18,239",2:15
Wed Nov 12 2008,8:00p,Orlando Magic,109,Oklahoma City Thunder,92,Box Score,,Box Score,,"18,185",2:18
