Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,Box Score,,"17,341",2:20
Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,Box Score,,"18,997",2:33
Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,Box Score,,"15,521",2:20
Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,Box Score,,"20,088",2:09
Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,Box Score,,Box Score,2OT,"19,812",2:54
Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,Box Score,,"19,800",2:15
Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,Box Score,,"15,975",2:07
Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,Box Score,,"16,079",2:12
Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,Box Score,,"12,845",2:04
Wed Oct 20 2021,8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,Box Score,,"16,697",2:13
Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,Box Score,,"18,306",2:04
Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,Box Score,,"17,467",2:18
Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,Box Score,,"16,074",2:09
Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,Box Score,,"17,162",2:08
Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,Box Score,,"19,600",2:21
Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,Box Score,,"18,064",2:28
Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,Box Score,,"18,846",2:06
Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,,Box Score,OT,"15,407",2:32
Fri Oct 22 2021,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,Box Score,,"17,116",2:05
Fri Oct 22 2021,7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,Box Score,,"19,156",2:05
Fri Oct 22 2021,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,Box Score,,"20,367",2:21
Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,Box Score,,"15,674",2:02
Fri Oct 22 2021,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,Box Score,,"20,995",2:04
Fri Oct 22 2021,9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,Box Score,,"19,520",2:07
Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,Box Score,,"18,997",2:25
Fri Oct 22 2021,10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,Box Score,,"17,583",2:18
Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,Box Score,,"16,846",2:14
Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,,Box Score,OT,"17,147",2:32
Sat Oct 23 2021,7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,Box Score,,"19,800",2:13
Sat Oct 23 2021,8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,Box Score,,"18,888",2:11
Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,Box Score,,"15,343",2:20
Sat Oct 23 2021,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,Box Score,,"14,353",2:09
Sat Oct 23 2021,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,Box Score,,"18,558",1:59
Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,Box Score,,"16,748",2:13
Sun Oct 24 2021,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,Box Score,,"17,732",2:02
Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,Box Score,,"16,069",2:14
Sun Oct 24 2021,7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,Box Score,,"16,273",2:23
Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,Box Score,,"14,256",2:06
Sun Oct 24 2021,9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,Box Score,,"13,876",2:17
Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,Box Score,,"18,997",2:24
Mon Oct 25 2021,7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,,Box Score,OT,"17,238",2:29
Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,Box Score,,"10,339",2:23
Mon Oct 25 2021,7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,Box Score,,"19,800",2:16
Mon Oct 25 2021,7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,Box Score,,"19,600",2:12
Mon Oct 25 2021,7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,Box Score,,"14,487",2:06
Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,Box Score,,"14,209",2:04
Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,Box Score,,"14,435",2:14
Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,Box Score,,"14,221",2:06
Mon Oct 25 2021,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,Box Score,,"15,672",2:10
Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,Box Score,,"15,218",2:16
Tue Oct 26 2021,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,Box Score,,0,2:11
Tue Oct 26 2021,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,,Box Score,OT,"18,354",2:26
Tue Oct 26 2021,8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,Box Score,,"19,337",2:11
Tue Oct 26 2021,10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,Box Score,,"18,306",2:28
Wed Oct 27 2021,7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,Box Score,,"14,082",2:11
Wed Oct 27 2021,7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,Box Score,,"19,156",2:18
Wed Oct 27 2021,7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,Box Score,,"17,732",2:13
Wed Oct 27 2021,7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,Box Score,,"19,800",2:14
Wed Oct 27 2021,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,Box Score,,"15,541",2:16
Wed Oct 27 2021,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,Box Score,,"17,341",2:14
Wed Oct 27 2021,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,Box Score,,"15,783",2:25
Wed Oct 27 2021,10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,Box Score,,"14,678",2:09
Wed Oct 27 2021,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,Box Score,,"16,241",2:19
Wed Oct 27 2021,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,Box Score,,"13,276",2:05
Thu Oct 28 2021,7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,Box Score,,"13,653",2:16
