Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 26 2010,7:30p,Miami Heat,80,Boston Celtics,88,Box Score,,Box Score,,"18,624",2:37
Tue Oct 26 2010,10:00p,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,Box Score,,"20,603",2:15
Tue Oct 26 2010,10:30p,Houston Rockets,110,Los Angeles Lakers,112,Box Score,,Box Score,,"18,997",2:35
Wed Oct 27 2010,7:00p,Boston Celtics,87,Cleveland Cavaliers,95,Box Score,,Box Score,,"20,562",2:28
Wed Oct 27 2010,7:00p,New York Knicks,98,Toronto Raptors,93,Box Score,,Box Score,,"18,722",2:19
Wed Oct 27 2010,7:00p,Miami Heat,97,Philadelphia 76ers,87,Box Score,,Box Score,,"20,389",2:14
Wed Oct 27 2010,7:00p,Detroit Pistons,98,New Jersey Nets,101,Box Score,,Box Score,,"15,178",2:21
Wed Oct 27 2010,8:00p,Chicago Bulls,95,Oklahoma City Thunder,106,Box Score,,Box Score,,"18,203",2:40
Wed Oct 27 2010,8:00p,Milwaukee Bucks,91,New Orleans Hornets,95,Box Score,,Box Score,,"15,039",2:19
Wed Oct 27 2010,8:00p,Sacramento Kings,117,Minnesota Timberwolves,116,Box Score,,Box Score,,"17,067",2:33
Wed Oct 27 2010,8:00p,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,Box Score,,"17,519",2:18
Wed Oct 27 2010,8:30p,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,Box Score,,"18,581",2:19
Wed Oct 27 2010,8:30p,Charlotte Bobcats,86,Dallas Mavericks,101,Box Score,,Box Score,,"19,440",2:13
Wed Oct 27 2010,9:00p,Utah Jazz,88,Denver Nuggets,110,Box Score,,Box Score,,"19,155",2:26
Wed Oct 27 2010,10:30p,Portland Trail Blazers,98,Los Angeles Clippers,88,Box Score,,Box Score,,"18,382",2:39
Wed Oct 27 2010,10:30p,Houston Rockets,128,Golden State Warriors,132,Box Score,,Box Score,,"18,428",2:25
Thu Oct 28 2010,8:00p,Washington Wizards,83,Orlando Magic,112,Box Score,,Box Score,,"18,918",2:32
Thu Oct 28 2010,10:30p,Phoenix Suns,110,Utah Jazz,94,Box Score,,Box Score,,"19,911",2:42
Fri Oct 29 2010,7:00p,Indiana Pacers,104,Charlotte Bobcats,101,Box Score,,Box Score,,"18,351",2:25
Fri Oct 29 2010,7:00p,Cleveland Cavaliers,81,Toronto Raptors,101,Box Score,,Box Score,,"15,711",2:10
Fri Oct 29 2010,7:00p,Atlanta Hawks,104,Philadelphia 76ers,101,Box Score,,Box Score,,"10,960",2:29
Fri Oct 29 2010,7:00p,Sacramento Kings,100,New Jersey Nets,106,Box Score,,Box Score,,"13,482",2:35
Fri Oct 29 2010,7:30p,New York Knicks,101,Boston Celtics,105,Box Score,,Box Score,,"18,624",2:21
Fri Oct 29 2010,8:00p,Oklahoma City Thunder,105,Detroit Pistons,104,Box Score,,Box Score,,"22,076",2:29
Fri Oct 29 2010,8:00p,Denver Nuggets,95,New Orleans Hornets,101,Box Score,,Box Score,,"12,474",2:20
Fri Oct 29 2010,8:00p,Orlando Magic,70,Miami Heat,96,Box Score,,Box Score,,"19,600",2:34
Fri Oct 29 2010,8:00p,Milwaukee Bucks,85,Minnesota Timberwolves,96,Box Score,,Box Score,,"17,197",2:15
