Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 30 2012,7:00p,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,Box Score,,"20,562",2:09
Tue Oct 30 2012,8:00p,Boston Celtics,107,Miami Heat,120,Box Score,,Box Score,,"20,296",2:30
Tue Oct 30 2012,10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,Box Score,,"18,997",2:26
Wed Oct 31 2012,7:00p,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,Box Score,,"19,101",2:08
Wed Oct 31 2012,7:00p,Indiana Pacers,90,Toronto Raptors,88,Box Score,,Box Score,,"19,800",2:22
Wed Oct 31 2012,7:30p,Houston Rockets,105,Detroit Pistons,96,Box Score,,Box Score,,"16,646",2:25
Wed Oct 31 2012,8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,Box Score,,"21,313",2:28
Wed Oct 31 2012,8:00p,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,Box Score,,"15,358",2:11
Wed Oct 31 2012,9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,Box Score,,"17,634",2:22
Wed Oct 31 2012,10:00p,Golden State Warriors,87,Phoenix Suns,85,Box Score,,Box Score,,"15,678",2:20
Wed Oct 31 2012,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,Box Score,,"19,060",2:35
Wed Oct 31 2012,10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,Box Score,,"20,401",2:23
Thu Nov 01 2012,9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,Box Score,,"18,581",2:26
Fri Nov 02 2012,7:00p,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,Box Score,,"19,124",2:18
Fri Nov 02 2012,7:00p,Denver Nuggets,89,Orlando Magic,102,Box Score,,Box Score,,"18,846",2:10
Fri Nov 02 2012,7:30p,Houston Rockets,109,Atlanta Hawks,102,Box Score,,Box Score,,"18,238",2:14
Fri Nov 02 2012,7:30p,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,Box Score,,"18,624",1:59
Fri Nov 02 2012,7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,Box Score,,"20,562",2:13
Fri Nov 02 2012,8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,Box Score,,"19,356",2:17
Fri Nov 02 2012,8:00p,Utah Jazz,86,New Orleans Hornets,88,Box Score,,Box Score,,"14,147",2:11
Fri Nov 02 2012,8:00p,Miami Heat,84,New York Knicks,104,Box Score,,Box Score,,"19,033",2:19
Fri Nov 02 2012,8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,Box Score,,"18,203",2:13
Fri Nov 02 2012,10:00p,Detroit Pistons,89,Phoenix Suns,92,Box Score,,Box Score,,"15,107",2:18
Fri Nov 02 2012,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,Box Score,,"19,596",2:22
Fri Nov 02 2012,10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,Box Score,,"18,997",2:34
Sat Nov 03 2012,7:00p,Sacramento Kings,98,Indiana Pacers,106,Box Score,,Box Score,2OT,"18,165",2:56
Sat Nov 03 2012,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,Box Score,,"20,308",2:10
Sat Nov 03 2012,7:30p,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,Box Score,,"17,732",2:26
Sat Nov 03 2012,7:30p,Denver Nuggets,116,Miami Heat,119,Box Score,,Box Score,,"20,104",2:20
Sat Nov 03 2012,8:00p,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,Box Score,,"21,758",2:21
Sat Nov 03 2012,8:00p,Portland Trail Blazers,95,Houston Rockets,85,Box Score,,Box Score,OT,"18,140",2:19
Sat Nov 03 2012,8:30p,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,Box Score,,"19,490",2:08
Sat Nov 03 2012,8:30p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,Box Score,,"17,086",2:15
Sat Nov 03 2012,8:30p,Utah Jazz,100,San Antonio Spurs,110,Box Score,,Box Score,,"18,581",2:08
Sat Nov 03 2012,10:30p,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,Box Score,,"19,060",2:44
Sun Nov 04 2012,12:00p,Philadelphia 76ers,84,New York Knicks,100,Box Score,,Box Score,,"19,033",2:05
Sun Nov 04 2012,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,Box Score,,"17,022",2:15
Sun Nov 04 2012,6:00p,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,Box Score,,"16,754",2:06
Sun Nov 04 2012,7:00p,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,Box Score,,"18,203",2:09
Sun Nov 04 2012,9:30p,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,Box Score,,"18,997",2:16
Mon Nov 05 2012,7:00p,New York Knicks,110,Philadelphia 76ers,88,Box Score,,Box Score,,"15,783",2:15
Mon Nov 05 2012,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,Box Score,,"14,017",2:47
Mon Nov 05 2012,7:30p,Phoenix Suns,99,Miami Heat,124,Box Score,,Box Score,,"19,600",2:08
Mon Nov 05 2012,8:00p,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,Box Score,,"17,401",2:14
Mon Nov 05 2012,8:30p,Portland Trail Blazers,91,Dallas Mavericks,114,Box Score,,Box Score,,"19,521",2:05
Mon Nov 05 2012,8:30p,Indiana Pacers,79,San Antonio Spurs,101,Box Score,,Box Score,,"17,158",2:02
Mon Nov 05 2012,10:00p,Golden State Warriors,92,Sacramento Kings,94,Box Score,,Box Score,,"17,317",2:16
Mon Nov 05 2012,10:30p,Cleveland Cavaliers,108,Los Angeles Clippers,101,Box Score,,Box Score,,"19,060",2:14
Tue Nov 06 2012,8:00p,Orlando Magic,93,Chicago Bulls,99,Box Score,,Box Score,,"21,216",2:11
Tue Nov 06 2012,8:00p,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,Box Score,,"18,203",2:15
Tue Nov 06 2012,9:00p,Detroit Pistons,97,Denver Nuggets,109,Box Score,,Box Score,,"19,155",2:17
Wed Nov 07 2012,7:00p,Phoenix Suns,117,Charlotte Bobcats,110,Box Score,,Box Score,,"13,905",2:16
Wed Nov 07 2012,7:30p,Indiana Pacers,86,Atlanta Hawks,89,Box Score,,Box Score,,"10,684",2:08
Wed Nov 07 2012,7:30p,Washington Wizards,94,Boston Celtics,100,Box Score,,Box Score,OT,"18,624",2:34
