Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 28 2014,8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,Box Score,,"17,097",2:12
Tue Oct 28 2014,8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,Box Score,,"19,615",2:20
Tue Oct 28 2014,10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,Box Score,,"18,997",2:46
Wed Oct 29 2014,7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,,Box Score,OT,"19,439",2:34
Wed Oct 29 2014,7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,Box Score,,"18,165",2:24
Wed Oct 29 2014,7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,Box Score,,"19,800",2:24
Wed Oct 29 2014,7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,Box Score,,"19,744",2:14
Wed Oct 29 2014,7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,Box Score,,"18,624",2:13
Wed Oct 29 2014,8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,Box Score,,"19,812",2:12
Wed Oct 29 2014,8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,Box Score,,"17,731",2:16
Wed Oct 29 2014,9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,Box Score,,"17,136",2:20
Wed Oct 29 2014,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,Box Score,,"19,911",2:03
Wed Oct 29 2014,10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,Box Score,,"17,523",2:10
Wed Oct 29 2014,10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,Box Score,,"17,317",2:27
Wed Oct 29 2014,10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,Box Score,,"19,441",2:21
Thu Oct 30 2014,7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,Box Score,,"18,846",2:21
Thu Oct 30 2014,8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,Box Score,,"20,562",2:29
Thu Oct 30 2014,8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,Box Score,,"18,296",2:11
Thu Oct 30 2014,8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,Box Score,,"19,697",2:06
Thu Oct 30 2014,10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,Box Score,,"19,060",2:47
