Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 25 2016,7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,Box Score,,"20,562",2:19
Tue Oct 25 2016,10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,Box Score,,"19,446",2:12
Tue Oct 25 2016,10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,Box Score,,"19,596",2:18
Wed Oct 26 2016,7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,,Box Score,OT,"17,923",2:47
Wed Oct 26 2016,7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,Box Score,,"19,298",2:19
Wed Oct 26 2016,7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,Box Score,,"19,800",2:10
Wed Oct 26 2016,7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,Box Score,,"18,624",2:21
Wed Oct 26 2016,8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,Box Score,,"18,717",2:18
Wed Oct 26 2016,8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,Box Score,,"15,869",2:31
Wed Oct 26 2016,8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,Box Score,,"18,119",2:30
Wed Oct 26 2016,8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,Box Score,,"20,487",2:32
Wed Oct 26 2016,10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,Box Score,,"18,055",2:20
Wed Oct 26 2016,10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,Box Score,,"18,997",2:27
Thu Oct 27 2016,7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,Box Score,,"19,049",2:16
Thu Oct 27 2016,8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,Box Score,,"21,501",2:31
Thu Oct 27 2016,10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,Box Score,,"19,500",2:47
