Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 24 2023,7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Box Score,,Box Score,,"19,842",2:17
Tue Oct 24 2023,10:00p,Phoenix Suns,108,Golden State Warriors,104,Box Score,,Box Score,,"18,064",2:33
Wed Oct 25 2023,7:00p,Houston Rockets,86,Orlando Magic,116,Box Score,,Box Score,,"18,846",2:14
Wed Oct 25 2023,7:00p,Boston Celtics,108,New York Knicks,104,Box Score,,Box Score,,"19,812",2:39
Wed Oct 25 2023,7:00p,Washington Wizards,120,Indiana Pacers,143,Box Score,,Box Score,,"16,004",2:07
Wed Oct 25 2023,7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Box Score,,Box Score,,"16,129",2:22
Wed Oct 25 2023,7:30p,Detroit Pistons,102,Miami Heat,103,Box Score,,Box Score,,"19,695",2:14
Wed Oct 25 2023,7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Box Score,,Box Score,,"19,800",2:10
Wed Oct 25 2023,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Box Score,,Box Score,,"17,931",2:18
Wed Oct 25 2023,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,Box Score,,Box Score,,"17,798",2:20
Wed Oct 25 2023,8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,Box Score,,Box Score,,"21,369",2:05
Wed Oct 25 2023,9:00p,Sacramento Kings,130,Utah Jazz,114,Box Score,,Box Score,,"18,206",2:18
Wed Oct 25 2023,9:30p,Dallas Mavericks,126,San Antonio Spurs,119,Box Score,,Box Score,,"18,947",2:20
Wed Oct 25 2023,10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Box Score,,Box Score,,"19,370",2:09
Thu Oct 26 2023,7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Box Score,,Box Score,,"17,783",2:40
Thu Oct 26 2023,10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Box Score,,Box Score,,"18,997",2:26
Fri Oct 27 2023,7:00p,Denver Nuggets,108,Memphis Grizzlies,104,Box Score,,Box Score,,"16,617",2:20
Fri Oct 27 2023,7:00p,Detroit Pistons,111,Charlotte Hornets,99,Box Score,,Box Score,,"15,855",2:24
Fri Oct 27 2023,7:30p,New York Knicks,126,Atlanta Hawks,120,Box Score,,Box Score,,"17,692",2:11
Fri Oct 27 2023,7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105,Box Score,,Box Score,,"19,432",2:27
Fri Oct 27 2023,7:30p,Miami Heat,111,Boston Celtics,119,Box Score,,Box Score,,"19,156",2:20
Fri Oct 27 2023,8:00p,Toronto Raptors,103,Chicago Bulls,104,Box Score,,Box Score,OT,"19,555",2:45
Fri Oct 27 2023,8:00p,Houston Rockets,122,San Antonio Spurs,126,Box Score,,Box Score,OT,"18,354",2:38
Fri Oct 27 2023,8:30p,Brooklyn Nets,120,Dallas Mavericks,125,Box Score,,Box Score,,"20,238",2:14
Fri Oct 27 2023,9:30p,Los Angeles Clippers,118,Utah Jazz,120,Box Score,,Box Score,,"18,206",2:15
Fri Oct 27 2023,10:00p,Orlando Magic,102,Portland Trail Blazers,97,Box Score,,Box Score,,"19,464",2:19
Fri Oct 27 2023,10:00p,Golden State Warriors,122,Sacramento Kings,114,Box Score,,Box Score,,"18,250",2:22
Sat Oct 28 2023,7:00p,Chicago Bulls,102,Detroit Pistons,118,Box Score,,Box Score,,"20,062",2:10
Sat Oct 28 2023,7:00p,Memphis Grizzlies,106,Washington Wizards,113,Box Score,,Box Score,,"16,191",2:16
Sat Oct 28 2023,7:00p,New York Knicks,87,New Orleans Pelicans,96,Box Score,,Box Score,,"16,331",2:08
Sat Oct 28 2023,7:30p,Indiana Pacers,125,Cleveland Cavaliers,113,Box Score,,Box Score,,"19,432",2:10
Sat Oct 28 2023,7:30p,Philadelphia 76ers,114,Toronto Raptors,107,Box Score,,Box Score,,"19,800",2:10
Sat Oct 28 2023,8:00p,Miami Heat,90,Minnesota Timberwolves,106,Box Score,,Box Score,,"18,024",2:05
Sat Oct 28 2023,10:00p,Utah Jazz,104,Phoenix Suns,126,Box Score,,Box Score,,"17,071",2:13
Sun Oct 29 2023,3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,Box Score,,Box Score,,"18,203",2:00
Sun Oct 29 2023,7:00p,Golden State Warriors,106,Houston Rockets,95,Box Score,,Box Score,,"18,055",2:17
Sun Oct 29 2023,7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,Box Score,,Box Score,,"17,341",2:15
Sun Oct 29 2023,7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,Box Score,,Box Score,,"19,768",2:13
Sun Oct 29 2023,9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,Box Score,,Box Score,,"19,370",2:06
Sun Oct 29 2023,9:00p,Los Angeles Lakers,127,Sacramento Kings,132,Box Score,,Box Score,OT,"18,198",2:38
Mon Oct 30 2023,7:00p,Chicago Bulls,112,Indiana Pacers,105,Box Score,,Box Score,,"15,021",2:26
Mon Oct 30 2023,7:00p,Boston Celtics,126,Washington Wizards,107,Box Score,,Box Score,,"17,898",2:06
Mon Oct 30 2023,7:00p,Brooklyn Nets,133,Charlotte Hornets,121,Box Score,,Box Score,,"14,491",2:12
Mon Oct 30 2023,7:30p,Portland Trail Blazers,99,Toronto Raptors,91,Box Score,,Box Score,,"19,266",2:03
Mon Oct 30 2023,7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,Box Score,,Box Score,,"15,504",2:05
Mon Oct 30 2023,8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,Box Score,,Box Score,,"15,031",2:14
Mon Oct 30 2023,8:00p,Miami Heat,114,Milwaukee Bucks,122,Box Score,,Box Score,,"17,341",2:24
Mon Oct 30 2023,8:00p,Golden State Warriors,130,New Orleans Pelicans,102,Box Score,,Box Score,,"17,286",2:08
Mon Oct 30 2023,8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,Box Score,,Box Score,,"16,127",2:18
Mon Oct 30 2023,9:00p,Utah Jazz,102,Denver Nuggets,110,Box Score,,Box Score,,"19,671",2:11
Mon Oct 30 2023,10:30p,Orlando Magic,103,Los Angeles Lakers,106,Box Score,,Box Score,,"18,997",2:18
Tue Oct 31 2023,7:30p,New York Knicks,109,Cleveland Cavaliers,91,Box Score,,Box Score,,"19,432",2:14
Tue Oct 31 2023,10:00p,San Antonio Spurs,115,Phoenix Suns,114,Box Score,,Box Score,,"17,071",2:28
Tue Oct 31 2023,10:30p,Orlando Magic,102,Los Angeles Clippers,118,Box Score,,Box Score,,"14,014",2:17
