Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Tue Oct 27 2015,8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,Box Score,,"21,957",2:22
Tue Oct 27 2015,8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,Box Score,,"19,187",2:10
Tue Oct 27 2015,10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,Box Score,,"19,596",2:24
Wed Oct 28 2015,7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,Box Score,,"18,846",2:21
Wed Oct 28 2015,7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,Box Score,,"18,624",2:13
Wed Oct 28 2015,7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,Box Score,,"17,732",2:12
Wed Oct 28 2015,7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,Box Score,,"18,434",2:18
Wed Oct 28 2015,7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,Box Score,,"19,800",2:34
Wed Oct 28 2015,7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,Box Score,,"19,724",2:19
Wed Oct 28 2015,8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,Box Score,,"18,717",2:20
Wed Oct 28 2015,8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,Box Score,,"18,203",2:19
Wed Oct 28 2015,8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,Box Score,,"18,119",2:07
Wed Oct 28 2015,8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,Box Score,,"18,240",2:12
Wed Oct 28 2015,10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,Box Score,,"18,055",2:21
Wed Oct 28 2015,10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,Box Score,,"19,393",2:06
Wed Oct 28 2015,10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,Box Score,,"17,458",2:19
Wed Oct 28 2015,10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,Box Score,,"18,997",2:35
Thu Oct 29 2015,7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,Box Score,,"18,165",2:18
Thu Oct 29 2015,8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,Box Score,,"19,812",2:21
Thu Oct 29 2015,10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,Box Score,,"19,218",2:23
