Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Box Score,OT,Attend.,LOG,Arena,Notes
Sun Dec 25 2011,12:00p,Boston Celtics,104,New York Knicks,106,Box Score,,Box Score,,"19,763",2:47
Sun Dec 25 2011,2:30p,Miami Heat,105,Dallas Mavericks,94,Box Score,,Box Score,,"20,421",2:44
Sun Dec 25 2011,5:00p,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,,Box Score,,"18,997",2:34
Sun Dec 25 2011,8:00p,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,,Box Score,,"18,203",2:26
Sun Dec 25 2011,10:30p,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,,Box Score,,"19,596",2:33
Mon Dec 26 2011,7:00p,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,,Box Score,,"20,562",2:07
Mon Dec 26 2011,7:00p,New Jersey Nets,90,Washington Wizards,84,Box Score,,Box Score,,"17,102",2:19
Mon Dec 26 2011,7:00p,Houston Rockets,95,Orlando Magic,104,Box Score,,Box Score,,"18,846",2:04
Mon Dec 26 2011,7:00p,Detroit Pistons,79,Indiana Pacers,91,Box Score,,Box Score,,"18,165",2:12
Mon Dec 26 2011,7:00p,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,,Box Score,,"17,173",2:19
Mon Dec 26 2011,8:00p,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,,Box Score,,"19,406",2:19
Mon Dec 26 2011,8:30p,Denver Nuggets,115,Dallas Mavericks,93,Box Score,,Box Score,,"20,408",2:13
Mon Dec 26 2011,8:30p,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,,Box Score,,"18,581",2:15
Mon Dec 26 2011,9:00p,New Orleans Hornets,85,Phoenix Suns,84,Box Score,,Box Score,,"17,776",2:19
Mon Dec 26 2011,10:00p,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,,Box Score,,"20,509",2:21
Mon Dec 26 2011,10:00p,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,,Box Score,,"17,317",2:19
Mon Dec 26 2011,10:30p,Chicago Bulls,91,Golden State Warriors,99,Box Score,,Box Score,,"19,596",2:18
Tue Dec 27 2011,7:30p,Atlanta Hawks,106,New Jersey Nets,70,Box Score,,Box Score,,"18,711",2:06
Tue Dec 27 2011,8:00p,Boston Celtics,107,Miami Heat,115,Box Score,,Box Score,,"20,166",2:44
Tue Dec 27 2011,8:30p,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,,Box Score,,"17,352",2:16
Tue Dec 27 2011,10:00p,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,,Box Score,,"20,350",2:15
Tue Dec 27 2011,10:30p,Utah Jazz,71,Los Angeles Lakers,96,Box Score,,Box Score,,"18,997",2:24
Wed Dec 28 2011,6:00p,Indiana Pacers,90,Toronto Raptors,85,Box Score,,Box Score,,"19,800",2:17
Wed Dec 28 2011,7:00p,Miami Heat,96,Charlotte Bobcats,95,Box Score,,Box Score,,"19,614",2:16
Wed Dec 28 2011,7:30p,Washington Wizards,83,Atlanta Hawks,101,Box Score,,Box Score,,"17,750",2:14
Wed Dec 28 2011,7:30p,Cleveland Cavaliers,105,Detroit Pistons,89,Box Score,,Box Score,,"22,076",2:21
Wed Dec 28 2011,8:00p,Boston Celtics,78,New Orleans Hornets,97,Box Score,,Box Score,,"17,802",2:17
Wed Dec 28 2011,8:00p,Oklahoma City Thunder,98,Memphis Grizzlies,95,Box Score,,Box Score,,"18,119",2:33
Wed Dec 28 2011,8:30p,Los Angeles Clippers,90,San Antonio Spurs,115,Box Score,,Box Score,,"18,581",2:14
Wed Dec 28 2011,9:00p,Philadelphia 76ers,103,Phoenix Suns,83,Box Score,,Box Score,,"16,360",2:04
Wed Dec 28 2011,9:00p,Utah Jazz,100,Denver Nuggets,117,Box Score,,Box Score,,"19,155",2:04
Wed Dec 28 2011,10:30p,New York Knicks,78,Golden State Warriors,92,Box Score,,Box Score,,"19,596",2:16
