date,home_id,away_id,opening_total,spread,ml_home,ml_away,season_id,implied_prob_home,implied_prob_away
2008-01-09,LAC,ORL,188.5,3.5,165,-195,2007-08,0.37735849056603776,0.6610169491525424
2008-01-10,SAS,DET,181.5,3.5,-155,135,2007-08,0.6078431372549019,0.425531914893617
2008-01-10,SAC,MEM,203.5,4.5,-145,125,2007-08,0.5918367346938775,0.4444444444444444
2008-01-10,UTA,PHX,224.0,3.0,-375,315,2007-08,0.7894736842105263,0.24096385542168675
2008-01-11,PHI,CHI,188.5,2.0,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2008-01-11,CLE,CHA,186.5,8.5,-375,315,2007-08,0.7894736842105263,0.24096385542168675
2008-01-09,DAL,DET,190.5,3.0,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2007-12-29,UTA,BOS,193.0,3.0,195,-235,2007-08,0.3389830508474576,0.7014925373134329
2008-01-08,MIN,MIA,191.5,1.5,-125,105,2007-08,0.5555555555555556,0.4878048780487805
2008-01-08,PHI,MIL,189.0,6.0,-290,240,2007-08,0.7435897435897436,0.29411764705882354
2008-01-05,DET,BOS,181.5,2.5,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2008-01-05,HOU,NYK,185.5,9.5,-500,400,2007-08,0.8333333333333334,0.2
2008-01-05,CHI,SAC,191.5,7.5,-340,280,2007-08,0.7727272727272727,0.2631578947368421
2008-01-05,PHX,NOP,206.0,7.5,-420,330,2007-08,0.8076923076923077,0.23255813953488372
2008-01-05,POR,UTA,201.0,3.0,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2008-01-06,WAS,OKC,205.0,8.5,-400,330,2007-08,0.8,0.23255813953488372
2008-01-06,TOR,CLE,185.5,3.5,-190,160,2007-08,0.6551724137931034,0.38461538461538464
2008-01-06,MIN,DAL,193.0,9.0,335,-405,2007-08,0.22988505747126436,0.801980198019802
2008-01-08,MEM,LAL,215.0,5.0,250,-300,2007-08,0.2857142857142857,0.75
2008-01-06,LAC,SAS,184.0,6.5,250,-300,2007-08,0.2857142857142857,0.75
2008-01-06,CHA,MIL,191.0,7.5,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2008-01-06,DEN,PHI,205.0,9.0,-410,340,2007-08,0.803921568627451,0.22727272727272727
2008-01-06,LAL,IND,215.0,8.5,-425,355,2007-08,0.8095238095238095,0.21978021978021978
2008-01-07,PHX,DEN,226.0,7.0,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2008-01-07,GSW,SAS,205.5,2.0,-125,105,2007-08,0.5555555555555556,0.4878048780487805
2008-01-08,CHA,BKN,194.5,1.5,105,-125,2007-08,0.4878048780487805,0.5555555555555556
2008-01-08,CLE,OKC,192.0,9.0,-505,405,2007-08,0.8347107438016529,0.19801980198019803
2008-01-08,WAS,HOU,189.0,2.0,-155,135,2007-08,0.6078431372549019,0.425531914893617
2008-01-06,MEM,MIA,200.0,6.0,-230,190,2007-08,0.696969696969697,0.3448275862068966
2007-12-29,MIL,BKN,190.5,2.5,-150,130,2007-08,0.6,0.43478260869565216
2007-12-29,HOU,TOR,182.5,2.5,-140,120,2007-08,0.5833333333333334,0.45454545454545453
2007-12-29,NOP,CLE,186.0,3.5,-215,185,2007-08,0.6825396825396826,0.3508771929824561
2007-12-19,POR,TOR,186.0,2.0,-145,125,2007-08,0.5918367346938775,0.4444444444444444
2007-12-19,OKC,NOP,191.5,3.0,125,-145,2007-08,0.4444444444444444,0.5918367346938775
2007-12-20,MIA,BKN,189.0,4.0,-125,105,2007-08,0.5555555555555556,0.4878048780487805
2007-12-20,CLE,LAL,205.5,1.0,115,-135,2007-08,0.46511627906976744,0.574468085106383
2007-12-20,DEN,HOU,199.0,5.5,-360,300,2007-08,0.782608695652174,0.25
2007-12-21,CHA,NYK,190.0,5.0,-255,215,2007-08,0.7183098591549296,0.31746031746031744
2007-12-21,PHI,LAL,199.5,3.0,125,-145,2007-08,0.4444444444444444,0.5918367346938775
2007-12-21,ORL,UTA,210.0,3.5,-190,160,2007-08,0.6551724137931034,0.38461538461538464
2007-12-19,DAL,PHX,216.0,3.5,-155,135,2007-08,0.6078431372549019,0.425531914893617
2007-12-21,BOS,CHI,180.0,10.0,-550,450,2007-08,0.8461538461538461,0.18181818181818182
2007-12-21,MIN,IND,204.0,5.5,195,-235,2007-08,0.3389830508474576,0.7014925373134329
2007-12-21,DET,MEM,204.5,9.5,-560,460,2007-08,0.8484848484848485,0.17857142857142858
2007-12-21,DAL,LAC,194.5,12.0,-1000,700,2007-08,0.9090909090909091,0.125
2007-12-21,POR,DEN,205.0,2.0,-200,170,2007-08,0.6666666666666666,0.37037037037037035
2007-12-21,OKC,TOR,196.0,5.0,180,-210,2007-08,0.35714285714285715,0.6774193548387096
2007-12-22,IND,WAS,206.5,5.5,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2007-12-22,BKN,GSW,210.0,2.0,115,-135,2007-08,0.46511627906976744,0.574468085106383
2007-12-22,MIA,UTA,202.0,0.0,100,-120,2007-08,0.5,0.5454545454545454
2007-12-21,WAS,ATL,192.0,5.5,-195,165,2007-08,0.6610169491525424,0.37735849056603776
2007-12-22,NOP,MIN,184.0,11.0,-1100,750,2007-08,0.9166666666666666,0.11764705882352941
2007-12-19,HOU,ORL,191.0,4.0,-165,145,2007-08,0.6226415094339622,0.40816326530612246
2007-12-19,MIN,GSW,210.0,7.5,260,-310,2007-08,0.2777777777777778,0.7560975609756098
2007-12-17,ATL,UTA,191.5,3.5,145,-165,2007-08,0.40816326530612246,0.6226415094339622
2007-12-17,CLE,MIL,192.5,7.0,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2007-12-17,NYK,IND,203.0,2.5,125,-145,2007-08,0.4444444444444444,0.5918367346938775
2007-12-17,MIA,MIN,193.5,9.5,-425,355,2007-08,0.8095238095238095,0.21978021978021978
2007-12-17,MEM,GSW,224.5,3.5,160,-190,2007-08,0.38461538461538464,0.6551724137931034
2007-12-17,SAS,PHX,205.0,2.5,-125,105,2007-08,0.5555555555555556,0.4878048780487805
2007-12-17,DAL,ORL,203.0,6.0,-240,200,2007-08,0.7058823529411765,0.3333333333333333
2007-12-17,POR,NOP,186.0,2.0,110,-130,2007-08,0.47619047619047616,0.5652173913043478
2007-12-19,MIL,SAC,194.5,6.0,-275,235,2007-08,0.7333333333333333,0.29850746268656714
2007-12-18,BKN,SAC,189.0,5.0,-240,200,2007-08,0.7058823529411765,0.3333333333333333
2007-12-18,LAC,TOR,187.0,4.5,180,-220,2007-08,0.35714285714285715,0.6875
2007-12-19,CHA,UTA,197.5,6.0,180,-210,2007-08,0.35714285714285715,0.6774193548387096
2007-12-19,IND,PHI,201.5,6.0,-230,190,2007-08,0.696969696969697,0.3448275862068966
2007-12-19,ATL,MIA,187.5,1.5,-130,110,2007-08,0.5652173913043478,0.47619047619047616
2007-12-19,WAS,CHI,191.5,4.5,-230,190,2007-08,0.696969696969697,0.3448275862068966
2007-12-19,BOS,DET,180.0,6.0,-250,210,2007-08,0.7142857142857143,0.3225806451612903
2007-12-19,NYK,CLE,194.5,3.5,130,-150,2007-08,0.43478260869565216,0.6
2007-12-19,MEM,SAS,200.0,6.5,260,-310,2007-08,0.2777777777777778,0.7560975609756098
2007-12-18,CHI,LAL,202.0,2.5,-125,105,2007-08,0.5555555555555556,0.4878048780487805
2008-01-11,ATL,WAS,193.0,3.0,-140,120,2007-08,0.5833333333333334,0.45454545454545453
2007-12-22,MEM,PHI,200.5,4.5,-175,155,2007-08,0.6363636363636364,0.39215686274509803
2007-12-22,SAS,LAC,189.0,15.0,-3000,1500,2007-08,0.967741935483871,0.0625
2007-12-27,LAC,PHX,208.5,7.5,330,-420,2007-08,0.23255813953488372,0.8076923076923077
2007-12-27,OKC,BOS,193.0,8.5,460,-620,2007-08,0.17857142857142858,0.8611111111111112
2007-12-28,CHA,NOP,190.0,3.5,140,-160,2007-08,0.4166666666666667,0.6153846153846154
2007-12-28,MIA,ORL,199.0,3.0,160,-190,2007-08,0.38461538461538464,0.6551724137931034
2007-12-28,BKN,WAS,188.5,4.5,-190,160,2007-08,0.6551724137931034,0.38461538461538464
2007-12-28,MEM,HOU,193.5,1.0,-110,-110,2007-08,0.5238095238095238,0.5238095238095238
2007-12-28,DET,IND,201.0,9.0,-550,450,2007-08,0.8461538461538461,0.18181818181818182
2007-12-28,CHI,MIL,191.5,6.0,-250,210,2007-08,0.7142857142857143,0.3225806451612903
2007-12-27,DAL,CLE,194.5,6.5,-320,260,2007-08,0.7619047619047619,0.2777777777777778
2007-12-28,SAS,TOR,186.0,7.0,-300,250,2007-08,0.75,0.2857142857142857
2007-12-28,POR,MIN,187.5,10.0,-435,365,2007-08,0.8130841121495327,0.21505376344086022
2007-12-28,SAC,PHI,192.5,4.0,-155,135,2007-08,0.6078431372549019,0.425531914893617
2007-12-28,LAL,UTA,211.0,4.0,-230,190,2007-08,0.696969696969697,0.3448275862068966
2007-12-28,GSW,DEN,227.5,4.0,-210,180,2007-08,0.6774193548387096,0.35714285714285715
2007-12-29,DAL,ATL,190.0,8.5,-375,315,2007-08,0.7894736842105263,0.24096385542168675
2007-12-29,WAS,MIA,194.5,8.0,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2007-12-29,IND,DET,199.0,4.5,160,-190,2007-08,0.38461538461538464,0.6551724137931034
2007-12-29,ORL,CHA,199.0,9.5,-425,355,2007-08,0.8095238095238095,0.21978021978021978
2007-12-28,PHX,LAC,211.0,13.5,-1800,1100,2007-08,0.9473684210526315,0.08333333333333333
2007-12-22,CHI,HOU,180.5,0.0,105,-125,2007-08,0.4878048780487805,0.5555555555555556
2007-12-26,GSW,MIN,208.0,12.5,-1000,700,2007-08,0.9090909090909091,0.125
2007-12-26,UTA,DAL,204.0,2.0,-170,150,2007-08,0.6296296296296297,0.4
2007-12-22,MIL,CHA,187.5,6.5,-270,230,2007-08,0.7297297297297297,0.30303030303030304
2007-12-22,PHX,TOR,208.0,10.0,-650,525,2007-08,0.8666666666666667,0.16
2007-12-23,NYK,LAL,206.0,7.0,270,-320,2007-08,0.2702702702702703,0.7619047619047619
2007-12-23,CLE,GSW,209.5,1.0,-165,145,2007-08,0.6226415094339622,0.40816326530612246
2007-12-23,DET,HOU,183.0,7.5,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2007-12-23,BOS,ORL,192.5,8.5,-560,460,2007-08,0.8484848484848485,0.17857142857142858
2007-12-23,SAC,DEN,208.0,3.0,-170,150,2007-08,0.6296296296296297,0.4
2007-12-24,CLE,MIA,194.0,4.5,-210,180,2007-08,0.6774193548387096,0.35714285714285715
2007-12-26,SAC,BOS,187.5,6.0,290,-350,2007-08,0.2564102564102564,0.7777777777777778
2007-12-24,LAL,PHX,220.5,2.0,115,-135,2007-08,0.46511627906976744,0.574468085106383
2007-12-26,PHI,MIA,191.5,1.5,-155,135,2007-08,0.6078431372549019,0.425531914893617
2007-12-26,ATL,IND,199.5,2.0,-150,130,2007-08,0.6,0.43478260869565216
2007-12-26,CHA,WAS,188.0,4.5,-230,190,2007-08,0.696969696969697,0.3448275862068966
2007-12-26,ORL,NYK,200.5,10.5,-725,575,2007-08,0.8787878787878788,0.14814814814814814
