1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Dallas,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Portland
12:00.0,Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession)
2:25.0,B. Williams misses free throw 1 of 2,,26-19,,
2:25.0,Offensive rebound by Team,,26-19,,
2:25.0,,,26-19,,J. Holiday enters the game for D. Avdija
2:25.0,B. Williams makes free throw 2 of 2,+1,27-19,,
2:08.0,,,27-19,,J. Holiday misses 2-pt jump shot from 7 ft (block by B. Williams)
2:06.0,Defensive rebound by M. Bagley,,27-19,,
1:55.0,M. Bagley misses 2-pt jump shot from 2 ft (block by R. Williams),,27-19,,
1:55.0,Offensive rebound by Team,,27-19,,
1:53.0,K. Thompson misses 3-pt jump shot from 23 ft,,27-19,,
1:50.0,,,27-19,,Defensive rebound by J. Holiday
1:40.0,,,27-22,+3,J. Holiday makes 3-pt jump shot from 26 ft (assist by T. Camara)
1:25.0,M. Bagley makes 3-pt jump shot from 22 ft (assist by B. Williams),+3,30-22,,
1:12.0,,,30-22,,S. Henderson misses 3-pt jump shot from 26 ft
1:10.0,Defensive rebound by K. Thompson,,30-22,,
0:56.0,M. Bagley makes 2-pt dunk from 1 ft (assist by K. Thompson),+2,32-22,,
0:32.0,,,32-22,,J. Holiday misses 2-pt hook shot from 3 ft
0:32.0,,,32-22,,Offensive rebound by Team
0:32.0,,,32-22,,Turnover by Team (shot clock)
0:22.0,Personal foul by S. Henderson (drawn by B. Williams),,32-22,,
0:10.0,B. Williams misses 3-pt jump shot from 26 ft,,32-22,,
0:08.0,,,32-22,,Defensive rebound by T. Camara
0:01.0,,,32-22,,T. Camara misses 3-pt jump shot from 25 ft
0:01.0,,,32-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Dallas,,Score,,Portland
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:47.0,,,32-24,+2,J. Holiday makes 2-pt jump shot from 15 ft
11:30.0,Def 3 sec tech foul by Team,,32-24,,
11:30.0,K. Thompson makes technical free throw,+1,33-24,,
11:25.0,Turnover by K. Thompson (bad pass),,33-24,,
11:17.0,,,33-26,+2,J. Holiday makes 2-pt jump shot from 8 ft
11:05.0,K. Thompson misses 3-pt jump shot from 25 ft,,33-26,,
11:02.0,,,33-26,,Defensive rebound by R. Williams
10:56.0,,,33-26,,Turnover by K. Murray (bad pass; steal by C. Flagg)
10:50.0,K. Thompson misses 3-pt jump shot from 23 ft,,33-26,,
10:47.0,,,33-26,,Defensive rebound by J. Holiday
10:39.0,,,33-26,,J. Holiday misses 3-pt jump shot from 27 ft
10:39.0,Defensive rebound by R. Nembhard,,33-26,,
10:38.0,Turnover by R. Nembhard (lost ball; steal by J. Holiday),,33-26,,
10:23.0,,,33-26,,Turnover by K. Murray (out of bounds lost ball)
10:07.0,R. Nembhard misses 2-pt jump shot from 13 ft,,33-26,,
10:05.0,,,33-26,,Defensive rebound by R. Williams
9:46.0,,,33-28,+2,J. Grant makes 2-pt jump shot from 7 ft
9:39.0,Personal foul by J. Grant (drawn by C. Flagg),,33-28,,
9:30.0,C. Flagg misses 3-pt jump shot from 25 ft,,33-28,,
9:28.0,,,33-28,,Defensive rebound by Team
9:17.0,,,33-28,,S. Henderson misses 2-pt layup from 2 ft
9:16.0,,,33-28,,Offensive rebound by R. Williams
9:15.0,,,33-28,,R. Williams misses 2-pt layup from 3 ft
9:15.0,Defensive rebound by D. Powell,,33-28,,
9:10.0,C. Flagg makes 2-pt layup from 3 ft (assist by M. Christie),+2,35-28,,
9:02.0,,,35-28,,Turnover by J. Holiday (bad pass; steal by D. Powell)
8:54.0,C. Flagg makes 2-pt jump shot from 18 ft,+2,37-28,,
8:54.0,Shooting foul by K. Murray (drawn by C. Flagg),,37-28,,
8:54.0,,,37-28,,D. Avdija enters the game for S. Henderson
8:54.0,C. Flagg makes free throw 1 of 1,+1,38-28,,
8:38.0,,,38-30,+2,J. Grant makes 2-pt layup from 1 ft
8:20.0,C. Flagg makes 2-pt jump shot from 15 ft,+2,40-30,,
8:03.0,,,40-30,,J. Holiday misses 2-pt layup from 4 ft (block by K. Thompson)
8:01.0,Defensive rebound by D. Powell,,40-30,,
7:59.0,Turnover by M. Christie (step out of bounds),,40-30,,
7:59.0,N. Marshall enters the game for M. Christie,,40-30,,
7:59.0,P. Washington enters the game for K. Thompson,,40-30,,
7:59.0,,,40-30,,S. Cissoko enters the game for K. Murray
7:46.0,,,40-30,,Turnover by D. Avdija (lost ball; steal by N. Marshall)
7:34.0,C. Flagg misses 2-pt dunk from 1 ft (block by J. Grant),,40-30,,
7:31.0,Offensive rebound by D. Powell,,40-30,,
7:29.0,P. Washington makes 3-pt jump shot from 25 ft (assist by D. Powell),+3,43-30,,
7:29.0,,,43-30,,Portland full timeout
7:29.0,,,43-30,,T. Camara enters the game for J. Holiday
7:29.0,,,43-30,,D. Clingan enters the game for R. Williams
7:20.0,,,43-30,,Shooting foul by D. Powell (drawn by J. Grant)
7:20.0,,,43-31,+1,J. Grant makes free throw 1 of 2
7:20.0,,,43-32,+1,J. Grant makes free throw 2 of 2
7:10.0,Personal foul by S. Cissoko (drawn by N. Marshall),,43-32,,
6:59.0,N. Marshall makes 2-pt jump shot from 10 ft,+2,45-32,,
6:41.0,,,45-32,,D. Clingan misses 2-pt layup from 1 ft
6:38.0,Defensive rebound by P. Washington,,45-32,,
6:29.0,N. Marshall makes 2-pt jump shot from 8 ft (assist by R. Nembhard),+2,47-32,,
6:15.0,,,47-34,+2,D. Avdija makes 2-pt jump shot from 8 ft
5:55.0,Shooting foul by T. Camara (drawn by C. Flagg),,47-34,,
5:55.0,C. Flagg makes free throw 1 of 3,+1,48-34,,
5:55.0,C. Flagg makes free throw 2 of 3,+1,49-34,,
5:55.0,M. Bagley enters the game for R. Nembhard,,49-34,,
5:55.0,B. Williams enters the game for D. Powell,,49-34,,
5:55.0,C. Flagg makes free throw 3 of 3,+1,50-34,,
5:38.0,,,50-34,,Shooting foul by M. Bagley (drawn by J. Grant)
5:38.0,,,50-35,+1,J. Grant makes free throw 1 of 2
5:38.0,A. Johnson enters the game for C. Flagg,,50-35,,
5:38.0,,,50-36,+1,J. Grant makes free throw 2 of 2
5:27.0,Shooting foul by D. Clingan (drawn by M. Bagley),,50-36,,
5:27.0,M. Bagley misses free throw 1 of 2,,50-36,,
5:27.0,Offensive rebound by Team,,50-36,,
5:27.0,M. Bagley misses free throw 2 of 2,,50-36,,
5:23.0,,,50-36,,Defensive rebound by T. Camara
5:13.0,,,50-36,,D. Clingan misses 2-pt layup from 12 ft
5:11.0,Defensive rebound by M. Bagley,,50-36,,
5:07.0,N. Marshall misses 2-pt jump shot from 5 ft (block by D. Avdija),,50-36,,
5:06.0,,,50-36,,Defensive rebound by D. Avdija
4:55.0,,,50-36,,T. Camara misses 3-pt jump shot from 28 ft
4:54.0,,,50-36,,Offensive rebound by D. Clingan
4:54.0,,,50-36,,Shooting foul by M. Bagley (drawn by D. Clingan)
4:54.0,,,50-36,,D. Clingan misses free throw 1 of 2
4:54.0,,,50-36,,Offensive rebound by Team
4:54.0,,,50-37,+1,D. Clingan makes free throw 2 of 2
4:29.0,P. Washington misses 2-pt layup from 2 ft (block by D. Clingan),,50-37,,
4:26.0,,,50-37,,Defensive rebound by S. Cissoko
4:26.0,,,50-37,,Turnover by S. Cissoko (bad pass; steal by N. Marshall)
4:25.0,N. Marshall makes 2-pt layup from 1 ft,+2,52-37,,
4:25.0,Shooting foul by T. Camara (drawn by N. Marshall),,52-37,,
4:25.0,,,52-37,,J. Holiday enters the game for S. Cissoko
4:25.0,N. Marshall misses free throw 1 of 1,,52-37,,
4:22.0,Offensive rebound by M. Bagley,,52-37,,
4:18.0,N. Marshall makes 2-pt jump shot from 8 ft (assist by M. Bagley),+2,54-37,,
4:01.0,,,54-37,,Shooting foul by B. Williams (drawn by J. Holiday)
4:01.0,,,54-38,+1,J. Holiday makes free throw 1 of 2
4:01.0,C. Flagg enters the game for A. Johnson,,54-38,,
4:01.0,,,54-38,,R. Williams enters the game for D. Clingan
4:01.0,,,54-39,+1,J. Holiday makes free throw 2 of 2
3:51.0,Offensive foul by P. Washington (drawn by T. Camara),,54-39,,
3:51.0,Turnover by P. Washington (offensive foul),,54-39,,
3:43.0,,,54-39,,Shooting foul by N. Marshall (drawn by D. Avdija)
3:43.0,,,54-39,,D. Avdija misses free throw 1 of 2
3:43.0,,,54-39,,Offensive rebound by Team
3:43.0,,,54-40,+1,D. Avdija makes free throw 2 of 2
3:34.0,B. Williams misses 2-pt layup from 3 ft,,54-40,,
3:34.0,,,54-40,,Defensive rebound by Team
3:19.0,,,54-42,+2,D. Avdija makes 2-pt jump shot from 12 ft (assist by T. Camara)
3:19.0,,,54-42,,Shooting foul by B. Williams (drawn by D. Avdija)
3:19.0,M. Christie enters the game for B. Williams,,54-42,,
3:19.0,,,54-43,+1,D. Avdija makes free throw 1 of 1
3:19.0,Dallas full timeout,,54-43,,
3:19.0,,,54-43,,M. Thybulle enters the game for J. Grant
2:58.0,N. Marshall misses 2-pt jump shot from 10 ft,,54-43,,
2:56.0,,,54-43,,Defensive rebound by D. Avdija
2:35.0,,,54-43,,D. Avdija misses 3-pt jump shot from 23 ft
2:33.0,Defensive rebound by Team,,54-43,,
2:17.0,C. Flagg misses 2-pt jump shot from 16 ft,,54-43,,
2:14.0,,,54-43,,Defensive rebound by D. Avdija
2:05.0,,,54-45,+2,R. Williams makes 2-pt dunk from 2 ft (assist by D. Avdija)
1:59.0,Shooting foul by R. Williams (drawn by C. Flagg),,54-45,,
1:59.0,C. Flagg makes free throw 1 of 2,+1,55-45,,
1:59.0,C. Flagg makes free throw 2 of 2,+1,56-45,,
1:42.0,,,56-45,,M. Thybulle misses 2-pt jump shot from 6 ft
1:41.0,,,56-45,,Offensive rebound by R. Williams
1:40.0,,,56-47,+2,R. Williams makes 2-pt layup at rim
1:27.0,M. Christie misses 2-pt jump shot from 3 ft (block by T. Camara),,56-47,,
1:25.0,,,56-47,,Defensive rebound by R. Williams
1:21.0,,,56-47,,Turnover by M. Thybulle (out of bounds lost ball)
1:21.0,,,56-47,,D. Clingan enters the game for R. Williams
1:12.0,Turnover by C. Flagg (bad pass; steal by M. Thybulle),,56-47,,
1:07.0,,,56-47,,Turnover by M. Thybulle (bad pass; steal by C. Flagg)
1:02.0,Turnover by M. Christie (step out of bounds),,56-47,,
0:47.0,,,56-49,+2,J. Holiday makes 2-pt layup from 1 ft (assist by D. Avdija)
0:31.0,P. Washington misses 2-pt layup from 2 ft,,56-49,,
0:31.0,,,56-49,,Defensive rebound by D. Clingan
0:26.0,,,56-51,+2,D. Avdija makes 2-pt layup from 2 ft
0:21.0,M. Christie misses 3-pt jump shot from 25 ft,,56-51,,
0:17.0,,,56-51,,Defensive rebound by D. Clingan
0:00.0,,,56-51,,D. Avdija misses 2-pt jump shot from 5 ft
0:00.0,Defensive rebound by M. Bagley,,56-51,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Dallas,,Score,,Portland
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:43.0,,,56-53,+2,D. Clingan makes 2-pt layup from 2 ft (assist by D. Avdija)
11:18.0,Shooting foul by J. Grant (drawn by M. Christie),,56-53,,
11:18.0,M. Christie makes free throw 1 of 2,+1,57-53,,
11:18.0,M. Christie makes free throw 2 of 2,+1,58-53,,
11:06.0,,,58-53,,Shooting foul by N. Marshall (drawn by J. Holiday)
11:06.0,,,58-54,+1,J. Holiday makes free throw 1 of 2
11:06.0,,,58-55,+1,J. Holiday makes free throw 2 of 2
10:57.0,C. Flagg makes 2-pt jump shot from 10 ft,+2,60-55,,
10:41.0,,,60-58,+3,J. Grant makes 3-pt jump shot from 24 ft (assist by D. Avdija)
10:27.0,C. Flagg misses 2-pt layup from 5 ft,,60-58,,
10:25.0,,,60-58,,Defensive rebound by D. Clingan
10:17.0,,,60-58,,J. Holiday misses 3-pt jump shot from 25 ft
10:16.0,Defensive rebound by Team,,60-58,,
10:16.0,,,60-58,,Loose ball foul by D. Clingan (drawn by D. Powell)
10:01.0,P. Washington makes 2-pt layup from 2 ft (assist by D. Powell),+2,62-58,,
9:49.0,,,62-60,+2,D. Clingan makes 2-pt layup from 1 ft (assist by J. Holiday)
