style,tip
top:118px;left:467px;,"3rd quarter, 10:41.0 remaining<br>Jerami Grant made 3-pointer from 24 ft<br>Portland now trails 58-60"
top:229px;left:398px;,"3rd quarter, 10:17.0 remaining<br>Jrue Holiday missed 3-pointer from 25 ft<br>Portland trails 58-60"
top:37px;left:243px;,"3rd quarter, 9:49.0 remaining<br>Donovan Clingan made 2-pointer from 1 ft<br>Portland now trails 60-62"
top:108px;left:307px;,"3rd quarter, 8:53.0 remaining<br>Deni Avdija made 2-pointer from 10 ft<br>Portland now tied 64-64"
top:90px;left:163px;,"3rd quarter, 8:15.0 remaining<br>Jrue Holiday missed 2-pointer from 10 ft<br>Portland tied 64-64"
top:274px;left:360px;,"3rd quarter, 8:11.0 remaining<br>Jerami Grant missed 3-pointer from 27 ft<br>Portland tied 64-64"
top:48px;left:236px;,"3rd quarter, 7:59.0 remaining<br>Toumani Camara missed 2-pointer from 2 ft<br>Portland tied 64-64"
top:31px;left:240px;,"3rd quarter, 7:57.0 remaining<br>Toumani Camara made 2-pointer from 0 ft<br>Portland now leads 66-64"
top:44px;left:225px;,"3rd quarter, 7:14.0 remaining<br>Donovan Clingan missed 2-pointer from 2 ft<br>Portland leads 66-64"
top:38px;left:8px;,"3rd quarter, 5:43.0 remaining<br>Toumani Camara missed 3-pointer from 23 ft<br>Portland trails 66-69"
top:269px;left:158px;,"3rd quarter, 5:17.0 remaining<br>Deni Avdija missed 3-pointer from 25 ft<br>Portland trails 66-71"
top:37px;left:247px;,"3rd quarter, 4:50.0 remaining<br>Toumani Camara missed 2-pointer from 1 ft<br>Portland trails 66-71"
top:122px;left:233px;,"3rd quarter, 4:31.0 remaining<br>Jrue Holiday made 2-pointer from 9 ft<br>Portland now trails 68-71"
top:41px;left:248px;,"3rd quarter, 4:10.0 remaining<br>Deni Avdija made 2-pointer from 1 ft<br>Portland now trails 70-71"
top:45px;left:217px;,"3rd quarter, 3:29.0 remaining<br>Deni Avdija missed 2-pointer from 3 ft<br>Portland trails 70-71"
top:95px;left:240px;,"3rd quarter, 2:49.0 remaining<br>Scoot Henderson missed 2-pointer from 7 ft<br>Portland trails 70-73"
top:53px;left:235px;,"3rd quarter, 2:16.0 remaining<br>Donovan Clingan missed 2-pointer from 2 ft<br>Portland trails 70-76"
top:270px;left:325px;,"3rd quarter, 1:54.0 remaining<br>Jerami Grant missed 3-pointer from 25 ft<br>Portland trails 71-76"
