1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Phoenix
12:00.0,Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession)
2:50.0,,,17-28,+2,D. Booker makes 2-pt layup from 1 ft
2:37.0,O. Tshiebwe misses 2-pt layup from 2 ft,,17-28,,
2:35.0,Offensive rebound by O. Tshiebwe,,17-28,,
2:29.0,B. Sensabaugh misses 2-pt layup from 1 ft,,17-28,,
2:27.0,,,17-28,,Defensive rebound by J. Goodwin
2:22.0,,,17-28,,G. Allen misses 3-pt jump shot from 29 ft
2:19.0,,,17-28,,Offensive rebound by D. Booker
2:17.0,,,17-31,+3,G. Allen makes 3-pt jump shot from 22 ft (assist by D. Booker)
2:11.0,Shooting foul by J. Goodwin (drawn by O. Tshiebwe),,17-31,,
2:11.0,O. Tshiebwe misses free throw 1 of 2,,17-31,,
2:11.0,Offensive rebound by Team,,17-31,,
2:11.0,A. Bailey enters the game for E. Harkless,,17-31,,
2:11.0,,,17-31,,C. Gillespie enters the game for D. Booker
2:11.0,,,17-31,,O. Ighodaro enters the game for K. Maluach
2:11.0,O. Tshiebwe misses free throw 2 of 2,,17-31,,
2:09.0,,,17-31,,Defensive rebound by R. Fleming
1:51.0,,,17-34,+3,G. Allen makes 3-pt jump shot from 27 ft (assist by C. Gillespie)
1:40.0,A. Bailey misses 3-pt jump shot from 23 ft,,17-34,,
1:36.0,,,17-34,,Defensive rebound by C. Gillespie
1:28.0,,,17-37,+3,R. Fleming makes 3-pt jump shot from 24 ft (assist by J. Goodwin)
1:11.0,A. Bailey misses 2-pt jump shot from 13 ft,,17-37,,
1:09.0,Offensive rebound by O. Tshiebwe,,17-37,,
1:05.0,O. Tshiebwe misses 2-pt dunk from 1 ft,,17-37,,
1:03.0,,,17-37,,Defensive rebound by C. Gillespie
1:00.0,,,17-37,,G. Allen misses 3-pt jump shot from 28 ft (block by A. Bailey)
0:58.0,Defensive rebound by K. Chandler,,17-37,,
0:55.0,A. Bailey misses 2-pt layup from 2 ft (block by C. Gillespie),,17-37,,
0:54.0,,,17-37,,Defensive rebound by C. Gillespie
0:43.0,,,17-37,,G. Allen misses 3-pt jump shot from 31 ft
0:39.0,Defensive rebound by J. Konchar,,17-37,,
0:35.0,B. Sensabaugh makes 2-pt dunk from 1 ft (assist by J. Konchar),+2,19-37,,
0:31.0,,,19-37,,C. Gillespie misses 3-pt jump shot from 32 ft
0:28.0,Defensive rebound by O. Tshiebwe,,19-37,,
0:12.0,B. Sensabaugh makes 2-pt layup from 1 ft (assist by K. Chandler),+2,21-37,,
0:01.0,,,21-39,+2,R. Fleming makes 2-pt layup from 1 ft (assist by G. Allen)
0:00.0,Turnover by K. Chandler (out of bounds lost ball),,21-39,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Utah,,Score,,Phoenix
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:38.0,K. Filipowski makes 2-pt layup at rim,+2,23-39,,
11:26.0,,,23-39,,Turnover by G. Allen (bad pass; steal by K. Filipowski)
11:22.0,K. Filipowski makes 2-pt jump shot from 1 ft,+2,25-39,,
11:06.0,,,25-39,,Turnover by G. Allen (bad pass)
10:58.0,Personal foul by J. Goodwin (drawn by A. Bailey),,25-39,,
10:52.0,A. Bailey misses 3-pt jump shot from 23 ft,,25-39,,
10:49.0,,,25-39,,Defensive rebound by O. Ighodaro
10:39.0,,,25-39,,Personal foul by K. Filipowski (drawn by G. Allen)
10:29.0,,,25-39,,Turnover by R. Fleming (bad pass; steal by J. Konchar)
10:21.0,Turnover by K. Chandler (bad pass; steal by G. Allen),,25-39,,
10:19.0,,,25-41,+2,G. Allen makes 2-pt dunk from 2 ft
10:15.0,K. Chandler makes 2-pt jump shot at rim (assist by J. Konchar),+2,27-41,,
10:01.0,,,27-41,,R. Fleming misses 3-pt jump shot from 24 ft
10:01.0,Defensive rebound by A. Bailey,,27-41,,
9:49.0,A. Bailey misses 2-pt jump shot from 20 ft,,27-41,,
9:47.0,,,27-41,,Defensive rebound by J. Goodwin
9:41.0,,,27-43,+2,O. Ighodaro makes 2-pt dunk from 1 ft (assist by G. Allen)
9:27.0,B. Sensabaugh makes 3-pt jump shot from 26 ft (assist by K. Chandler),+3,30-43,,
9:26.0,,,30-43,,Phoenix full timeout
9:26.0,C. Williams enters the game for A. Bailey,,30-43,,
9:26.0,,,30-43,,R. Dunn enters the game for G. Allen
9:26.0,,,30-43,,J. Green enters the game for R. Fleming
9:26.0,,,30-43,,K. Maluach enters the game for J. Goodwin
9:26.0,,,30-43,,R. O'Neale enters the game for O. Ighodaro
9:13.0,,,30-43,,J. Green misses 3-pt jump shot from 28 ft
9:09.0,,,30-43,,Offensive rebound by R. O'Neale
9:03.0,,,30-43,,C. Gillespie misses 3-pt jump shot from 26 ft
8:58.0,Defensive rebound by K. Chandler,,30-43,,
8:53.0,J. Konchar makes 3-pt jump shot from 24 ft (assist by K. Chandler),+3,33-43,,
8:31.0,,,33-45,+2,J. Green makes 2-pt jump shot from 11 ft
8:21.0,Personal foul by C. Gillespie (drawn by J. Konchar),,33-45,,
8:15.0,K. Chandler misses 2-pt jump shot from 9 ft,,33-45,,
8:11.0,,,33-45,,Defensive rebound by K. Maluach
