1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Portland
12:00.0,Jump ball: J. Reese vs. D. Clingan (D. Avdija gains possession),Jump ball: J. Reese vs. D. Clingan (D. Avdija gains possession),Jump ball: J. Reese vs. D. Clingan (D. Avdija gains possession),Jump ball: J. Reese vs. D. Clingan (D. Avdija gains possession),Jump ball: J. Reese vs. D. Clingan (D. Avdija gains possession)
11:46.0,,,0-0,,T. Camara misses 3-pt jump shot from 24 ft
11:43.0,,,0-0,,Offensive rebound by T. Camara
11:37.0,,,0-2,+2,S. Henderson makes 2-pt jump shot from 15 ft
11:20.0,B. Carrington misses 3-pt jump shot from 27 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by Team
10:58.0,,,0-2,,S. Henderson misses 2-pt layup from 1 ft (block by T. Vukcevic)
10:56.0,,,0-2,,Offensive rebound by D. Clingan
10:54.0,,,0-4,+2,D. Clingan makes 2-pt layup from 1 ft
10:45.0,Personal foul by T. Camara (drawn by J. Reese),,0-4,,
10:37.0,J. Reese misses 2-pt jump shot from 13 ft (block by D. Clingan),,0-4,,
10:34.0,Offensive rebound by L. Black,,0-4,,
10:32.0,B. Coulibaly misses 3-pt jump shot from 28 ft,,0-4,,
10:31.0,,,0-4,,Defensive rebound by Team
10:21.0,,,0-4,,T. Camara misses 3-pt jump shot from 27 ft
10:16.0,Defensive rebound by L. Black,,0-4,,
10:11.0,B. Carrington misses 3-pt jump shot from 25 ft,,0-4,,
10:09.0,,,0-4,,Defensive rebound by S. Henderson
9:56.0,,,0-4,,D. Avdija misses 3-pt jump shot from 25 ft
9:53.0,Defensive rebound by T. Vukcevic,,0-4,,
9:36.0,T. Vukcevic misses 3-pt jump shot from 26 ft,,0-4,,
9:33.0,,,0-4,,Defensive rebound by D. Clingan
9:24.0,,,0-4,,D. Avdija misses 2-pt layup from 3 ft
9:24.0,Defensive rebound by Team,,0-4,,
9:24.0,,,0-4,,Loose ball foul by D. Clingan (drawn by J. Reese)
9:11.0,B. Carrington misses 2-pt jump shot from 19 ft,,0-4,,
9:06.0,,,0-4,,Defensive rebound by T. Camara
9:00.0,,,0-6,+2,D. Clingan makes 2-pt dunk from 1 ft (assist by D. Avdija)
8:49.0,Shooting foul by D. Clingan (drawn by J. Reese),,0-6,,
8:49.0,J. Reese misses free throw 1 of 2,,0-6,,
8:49.0,Offensive rebound by Team,,0-6,,
8:49.0,,,0-6,,R. Williams enters the game for D. Clingan
8:49.0,J. Reese misses free throw 2 of 2,,0-6,,
8:47.0,,,0-6,,Defensive rebound by D. Avdija
8:39.0,,,0-6,,D. Avdija misses 2-pt jump shot from 20 ft
8:35.0,Defensive rebound by T. Vukcevic,,0-6,,
8:22.0,J. Reese misses 2-pt layup from 2 ft (block by R. Williams),,0-6,,
