Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,36:49,.673,.682,.318,.182,3.1,13.7,8.1,34.2,0.0,0.0,14.4,33.4,126,127,9.0
Mikal Bridges,34:14,.631,.636,.455,.182,3.3,0.0,1.8,5.1,6.2,0.0,14.4,17.9,116,117,4.2
Karl-Anthony Towns,34:07,.670,.556,.111,.556,23.4,40.7,31.7,9.7,1.5,0.0,26.3,19.7,121,114,2.7
Josh Hart,33:46,.833,.833,.778,.000,3.4,18.7,10.7,14.8,3.1,0.0,10.0,13.1,163,118,12.4
OG Anunoby,32:48,.465,.333,.778,.444,0.0,0.0,0.0,13.3,1.6,0.0,8.5,15.9,115,127,-2.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Clarkson,21:02,.167,.167,.167,.000,10.9,6.0,8.6,0.0,0.0,0.0,0.0,12.6,63,129,-11.1
Mitchell Robinson,17:31,.387,.333,.000,.667,13.0,14.4,13.7,0.0,0.0,11.7,20.5,12.3,85,121,-3.7
Jose Alvarado,16:42,.400,.400,.400,.000,6.8,15.1,10.8,42.0,0.0,0.0,28.6,37.1,81,126,-12.2
Miles McBride,10:49,.000,.000,1.000,.000,0.0,11.7,5.5,12.3,0.0,9.4,25.0,16.4,20,122,-14.0
Mohamed Diawara,2:12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-4.6
Pac̫me Dadiet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trey Jemison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tyler Kolek,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin McCullar Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Sochan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.559,.530,.427,.207,35.7,68.4,51.3,52.8,8.8,6.4,17.5,100.0,109.9,122.0,
