1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,New York,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Oklahoma City
12:00.0,Jump ball: K. Towns vs. C. Holmgren (J. Williams gains possession),Jump ball: K. Towns vs. C. Holmgren (J. Williams gains possession),Jump ball: K. Towns vs. C. Holmgren (J. Williams gains possession),Jump ball: K. Towns vs. C. Holmgren (J. Williams gains possession),Jump ball: K. Towns vs. C. Holmgren (J. Williams gains possession)
11:43.0,,,0-3,+3,L. Dort makes 3-pt jump shot from 26 ft (assist by C. Holmgren)
11:26.0,Shooting foul by C. Holmgren (drawn by K. Towns),,0-3,,
11:26.0,K. Towns makes free throw 1 of 2,+1,1-3,,
11:26.0,K. Towns makes free throw 2 of 2,+1,2-3,,
11:15.0,,,2-5,+2,I. Hartenstein makes 2-pt dunk from 1 ft (assist by J. Williams)
10:52.0,Turnover by K. Towns (bad pass; steal by S. Gilgeous-Alexander),,2-5,,
10:40.0,,,2-5,,C. Holmgren misses 3-pt jump shot from 25 ft
10:36.0,Defensive rebound by K. Towns,,2-5,,
10:22.0,J. Brunson misses 2-pt jump shot from 18 ft,,2-5,,
10:20.0,,,2-5,,Defensive rebound by I. Hartenstein
10:07.0,,,2-7,+2,S. Gilgeous-Alexander makes 2-pt layup from 1 ft
9:51.0,J. Brunson misses 2-pt jump shot from 14 ft,,2-7,,
9:49.0,,,2-7,,Defensive rebound by C. Holmgren
9:43.0,,,2-9,+2,C. Holmgren makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander)
9:30.0,M. Bridges makes 2-pt jump shot from 10 ft (assist by K. Towns),+2,4-9,,
9:13.0,,,4-9,,Turnover by J. Williams (bad pass; steal by M. Bridges)
9:05.0,O. Anunoby misses 3-pt jump shot from 23 ft,,4-9,,
9:02.0,,,4-9,,Defensive rebound by I. Hartenstein
8:54.0,,,4-9,,Turnover by S. Gilgeous-Alexander (bad pass)
8:41.0,Personal foul by I. Hartenstein (drawn by J. Hart),,4-9,,
8:34.0,J. Hart misses 2-pt layup from 6 ft,,4-9,,
8:31.0,Offensive rebound by J. Hart,,4-9,,
8:28.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by O. Anunoby),+3,7-9,,
8:16.0,,,7-9,,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft
8:13.0,Defensive rebound by K. Towns,,7-9,,
8:07.0,M. Bridges makes 2-pt jump shot from 5 ft (assist by J. Brunson),+2,9-9,,
7:52.0,,,9-9,,I. Hartenstein misses 2-pt jump shot from 10 ft
7:50.0,Defensive rebound by K. Towns,,9-9,,
7:45.0,J. Hart misses 2-pt layup from 3 ft,,9-9,,
7:43.0,,,9-9,,Defensive rebound by S. Gilgeous-Alexander
7:39.0,,,9-9,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft
7:35.0,Defensive rebound by J. Brunson,,9-9,,
7:26.0,O. Anunoby misses 2-pt jump shot from 3 ft,,9-9,,
7:24.0,,,9-9,,Defensive rebound by I. Hartenstein
7:21.0,,,9-9,,Personal foul by M. Bridges (drawn by S. Gilgeous-Alexander)
7:21.0,,,9-9,,Oklahoma City full timeout
7:21.0,M. McBride enters the game for M. Bridges,,9-9,,
7:09.0,,,9-9,,S. Gilgeous-Alexander misses 2-pt jump shot from 14 ft (block by M. McBride)
7:04.0,Defensive rebound by M. McBride,,9-9,,
6:56.0,J. Hart misses 3-pt jump shot from 26 ft,,9-9,,
6:52.0,,,9-9,,Defensive rebound by I. Hartenstein
6:43.0,,,9-12,+3,L. Dort makes 3-pt jump shot from 27 ft (assist by J. Williams)
6:13.0,O. Anunoby misses 3-pt jump shot from 25 ft,,9-12,,
6:10.0,Offensive rebound by K. Towns,,9-12,,
6:08.0,Shooting foul by I. Hartenstein (drawn by O. Anunoby),,9-12,,
6:08.0,O. Anunoby makes free throw 1 of 2,+1,10-12,,
6:08.0,,,10-12,,J. McCain enters the game for I. Hartenstein
6:08.0,,,10-12,,C. Wallace enters the game for J. Williams
6:08.0,O. Anunoby makes free throw 2 of 2,+1,11-12,,
5:53.0,,,11-12,,Shooting foul by O. Anunoby (drawn by S. Gilgeous-Alexander)
5:53.0,,,11-13,+1,S. Gilgeous-Alexander makes free throw 1 of 2
5:53.0,,,11-14,+1,S. Gilgeous-Alexander makes free throw 2 of 2
5:38.0,M. McBride misses 3-pt jump shot from 22 ft,,11-14,,
5:34.0,,,11-14,,Defensive rebound by C. Holmgren
5:27.0,,,11-14,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft
5:24.0,Defensive rebound by K. Towns,,11-14,,
5:21.0,Shooting foul by J. McCain (drawn by O. Anunoby),,11-14,,
5:21.0,O. Anunoby makes free throw 1 of 2,+1,12-14,,
5:21.0,M. Robinson enters the game for K. Towns,,12-14,,
5:21.0,O. Anunoby makes free throw 2 of 2,+1,13-14,,
5:11.0,,,13-14,,Shooting foul by M. McBride (drawn by S. Gilgeous-Alexander)
5:11.0,,,13-15,+1,S. Gilgeous-Alexander makes free throw 1 of 2
5:11.0,J. Clarkson enters the game for O. Anunoby,,13-15,,
5:11.0,,,13-16,+1,S. Gilgeous-Alexander makes free throw 2 of 2
4:57.0,Turnover by J. Brunson (bad pass),,13-16,,
4:57.0,,,13-16,,J. Williams enters the game for C. Holmgren
4:46.0,,,13-16,,J. Williams misses 3-pt jump shot from 26 ft
4:43.0,Defensive rebound by J. Hart,,13-16,,
4:30.0,J. Brunson makes 2-pt jump shot from 3 ft,+2,15-16,,
4:16.0,,,15-18,+2,C. Wallace makes 2-pt layup from 1 ft (assist by J. Williams)
4:06.0,J. Clarkson misses 2-pt jump shot from 7 ft,,15-18,,
4:05.0,Offensive rebound by M. Robinson,,15-18,,
4:05.0,M. Robinson misses 2-pt dunk at rim,,15-18,,
4:04.0,,,15-18,,Defensive rebound by J. McCain
3:51.0,,,15-18,,C. Wallace misses 3-pt jump shot from 24 ft
3:50.0,,,15-18,,Offensive rebound by L. Dort
3:50.0,,,15-20,+2,L. Dort makes 2-pt dunk at rim
3:50.0,New York full timeout,,15-20,,
3:37.0,J. Brunson misses 3-pt jump shot from 26 ft,,15-20,,
3:36.0,Offensive rebound by J. Clarkson,,15-20,,
3:35.0,M. McBride misses 3-pt jump shot from 26 ft,,15-20,,
3:32.0,,,15-20,,Defensive rebound by J. Williams
3:32.0,,,15-20,,Turnover by J. Williams (lost ball; steal by J. Hart)
3:27.0,J. Hart makes 3-pt jump shot from 23 ft (assist by J. Brunson),+3,18-20,,
3:07.0,,,18-20,,L. Dort misses 3-pt jump shot from 25 ft
3:06.0,Defensive rebound by J. Clarkson,,18-20,,
3:06.0,O. Anunoby enters the game for J. Hart,,18-20,,
3:06.0,M. Bridges enters the game for M. McBride,,18-20,,
3:06.0,,,18-20,,A. Mitchell enters the game for L. Dort
2:47.0,J. Brunson makes 2-pt jump shot from 4 ft,+2,20-20,,
2:31.0,,,20-23,+3,A. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Williams)
2:06.0,M. Bridges misses 2-pt jump shot from 11 ft,,20-23,,
2:02.0,Offensive rebound by J. Clarkson,,20-23,,
2:02.0,J. Clarkson misses 2-pt layup at rim,,20-23,,
2:01.0,,,20-23,,Defensive rebound by A. Mitchell
1:56.0,,,20-23,,Shooting foul by M. Robinson (drawn by A. Mitchell)
1:56.0,,,20-23,,A. Mitchell misses free throw 1 of 2
1:56.0,,,20-23,,Offensive rebound by Team
1:56.0,,,20-24,+1,A. Mitchell makes free throw 2 of 2
1:38.0,J. Clarkson misses 2-pt jump shot from 8 ft,,20-24,,
1:35.0,,,20-24,,Defensive rebound by S. Gilgeous-Alexander
1:26.0,,,20-24,,J. McCain misses 2-pt jump shot from 13 ft
1:24.0,Defensive rebound by J. Brunson,,20-24,,
1:17.0,Turnover by M. Bridges (bad pass),,20-24,,
0:59.0,,,20-24,,J. McCain misses 3-pt jump shot from 23 ft
0:56.0,Defensive rebound by J. Brunson,,20-24,,
0:45.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Brunson),+3,23-24,,
0:30.0,,,23-24,,S. Gilgeous-Alexander misses 2-pt jump shot from 3 ft (block by M. Robinson)
0:30.0,,,23-24,,Offensive rebound by S. Gilgeous-Alexander
0:30.0,,,23-26,+2,S. Gilgeous-Alexander makes 2-pt layup from 1 ft
0:06.0,M. Bridges misses 2-pt jump shot from 9 ft,,23-26,,
0:04.0,Offensive rebound by Team,,23-26,,
0:04.0,K. Towns enters the game for M. Robinson,,23-26,,
0:04.0,,,23-26,,A. Caruso enters the game for J. McCain
0:00.0,J. Clarkson misses 3-pt jump shot from 23 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,New York,,Score,,Oklahoma City
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:48.0,Offensive foul by J. Alvarado (drawn by J. Williams),,23-26,,
11:48.0,Turnover by J. Alvarado (offensive foul),,23-26,,
