1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Oklahoma City
3:21.0,,,22-19,,Defensive rebound by S. Gilgeous-Alexander
3:17.0,,,22-19,,A. Caruso misses 3-pt jump shot from 24 ft
3:14.0,,,22-19,,Offensive rebound by J. McCain
3:12.0,,,22-22,+3,J. Williams makes 3-pt jump shot from 27 ft (assist by J. McCain)
2:56.0,L. Miller misses 3-pt jump shot from 25 ft,,22-22,,
2:52.0,,,22-22,,Defensive rebound by C. Wallace
2:49.0,,,22-24,+2,J. Williams makes 2-pt layup from 1 ft (assist by C. Wallace)
2:31.0,L. Miller misses 2-pt jump shot from 14 ft,,22-24,,
2:27.0,,,22-24,,Defensive rebound by J. Williams
2:22.0,,,22-24,,Shooting foul by I. Okoro (drawn by S. Gilgeous-Alexander)
2:22.0,,,22-24,,Oklahoma City full timeout
2:22.0,M. Buzelis enters the game for J. Giddey,,22-24,,
2:22.0,T. Jones enters the game for L. Miller,,22-24,,
2:22.0,G. Yabusele enters the game for I. Okoro,,22-24,,
2:22.0,,,22-24,,A. Mitchell enters the game for C. Wallace
2:22.0,,,22-24,,S. Gilgeous-Alexander misses free throw 1 of 2
2:22.0,,,22-24,,Offensive rebound by Team
2:22.0,,,22-25,+1,S. Gilgeous-Alexander makes free throw 2 of 2
2:08.0,G. Yabusele misses 3-pt jump shot from 26 ft,,22-25,,
2:04.0,,,22-25,,Defensive rebound by A. Caruso
1:55.0,,,22-25,,J. Williams misses 3-pt jump shot from 28 ft
1:52.0,Defensive rebound by G. Yabusele,,22-25,,
1:47.0,C. Sexton makes 2-pt layup from 1 ft,+2,24-25,,
1:38.0,,,24-25,,J. McCain misses 2-pt layup from 2 ft (block by G. Yabusele)
1:35.0,Defensive rebound by T. Jones,,24-25,,
1:18.0,M. Buzelis makes 2-pt layup from 2 ft (assist by P. Williams),+2,26-25,,
1:01.0,,,26-27,+2,A. Caruso makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander)
0:47.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by T. Jones),+3,29-27,,
0:32.0,,,29-29,+2,S. Gilgeous-Alexander makes 2-pt layup from 1 ft
0:28.0,Personal foul by A. Caruso (drawn by M. Buzelis),,29-29,,
0:19.0,G. Yabusele makes 3-pt jump shot from 26 ft (assist by T. Jones),+3,32-29,,
0:05.0,,,32-29,,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft
0:05.0,Defensive rebound by M. Buzelis,,32-29,,
0:00.0,Team misses heave shot,,32-29,,
0:00.0,Offensive rebound by Team,,32-29,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Chicago,,Score,,Oklahoma City
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:44.0,,,32-31,+2,I. Hartenstein makes 2-pt dunk from 2 ft (assist by J. Williams)
11:33.0,G. Yabusele makes 3-pt jump shot from 25 ft (assist by T. Jones),+3,35-31,,
11:19.0,,,35-31,,Turnover by A. Mitchell (bad pass)
11:04.0,G. Yabusele misses 3-pt jump shot from 26 ft,,35-31,,
11:01.0,,,35-31,,Defensive rebound by J. Williams
10:55.0,,,35-31,,J. Williams misses 2-pt jump shot from 14 ft
