1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,San Antonio,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Milwaukee
12:00.0,Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession)
1:48.0,,,29-20,+1,R. Rollins makes free throw 2 of 2
1:30.0,K. Johnson makes 2-pt layup from 3 ft,+2,31-20,,
1:17.0,,,31-22,+2,R. Rollins makes 2-pt jump shot from 14 ft
1:06.0,Shooting foul by J. Sims (drawn by K. Johnson),,31-22,,
1:06.0,K. Johnson makes free throw 1 of 2,+1,32-22,,
1:06.0,,,32-22,,O. Dieng enters the game for P. Nance
1:06.0,,,32-22,,A. Jackson enters the game for R. Rollins
1:06.0,K. Johnson makes free throw 2 of 2,+1,33-22,,
0:49.0,,,33-22,,T. Prince misses 3-pt jump shot from 24 ft
0:45.0,Defensive rebound by H. Barnes,,33-22,,
0:43.0,K. Johnson misses 2-pt layup from 4 ft (block by A. Green),,33-22,,
0:43.0,Offensive rebound by Team,,33-22,,
0:41.0,D. Fox makes 2-pt jump shot from 16 ft (assist by D. Harper),+2,35-22,,
0:31.0,,,35-22,,Turnover by J. Sims (bad pass; steal by D. Harper)
0:27.0,D. Harper makes 2-pt layup from 3 ft,+2,37-22,,
0:05.0,,,37-22,,T. Prince misses 3-pt jump shot from 24 ft
0:04.0,,,37-22,,Offensive rebound by J. Sims
0:03.0,,,37-22,,J. Sims misses 2-pt layup at rim
0:02.0,,,37-22,,Offensive rebound by J. Sims
0:01.0,,,37-24,+2,J. Sims makes 2-pt layup at rim
0:00.0,Team misses heave shot,,37-24,,
0:00.0,Offensive rebound by Team,,37-24,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,San Antonio,,Score,,Milwaukee
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:41.0,,,37-24,,A. Jackson misses 3-pt jump shot from 26 ft
11:41.0,Defensive rebound by Team,,37-24,,
11:31.0,D. Fox makes 2-pt jump shot from 13 ft,+2,39-24,,
11:11.0,,,39-24,,O. Dieng misses 2-pt jump shot from 23 ft
11:07.0,Defensive rebound by J. Champagnie,,39-24,,
10:57.0,J. Champagnie makes 3-pt jump shot from 26 ft (assist by D. Fox),+3,42-24,,
10:40.0,,,42-24,,Turnover by O. Dieng (bad pass; steal by V. Wembanyama)
10:24.0,V. Wembanyama misses 2-pt jump shot from 18 ft,,42-24,,
10:21.0,,,42-24,,Defensive rebound by T. Prince
10:09.0,,,42-24,,O. Dieng misses 3-pt jump shot from 24 ft
10:06.0,Defensive rebound by D. Fox,,42-24,,
10:02.0,J. Champagnie makes 2-pt layup from 1 ft (assist by D. Fox),+2,44-24,,
10:02.0,,,44-24,,Milwaukee full timeout
10:02.0,C. Bryant enters the game for K. Johnson,,44-24,,
10:02.0,,,44-24,,R. Rollins enters the game for A. Green
10:02.0,,,44-24,,G. Trent enters the game for A. Jackson
10:02.0,,,44-24,,M. Turner enters the game for J. Sims
9:40.0,,,44-24,,O. Dieng misses 3-pt jump shot from 27 ft
9:36.0,Defensive rebound by V. Wembanyama,,44-24,,
9:30.0,C. Bryant makes 2-pt dunk from 1 ft (assist by V. Wembanyama),+2,46-24,,
9:07.0,,,46-24,,Turnover by G. Trent (bad pass; steal by J. Champagnie)
9:00.0,Turnover by D. Fox (bad pass; steal by O. Dieng),,46-24,,
8:55.0,,,46-27,+3,T. Prince makes 3-pt jump shot from 27 ft (assist by R. Rollins)
8:37.0,V. Wembanyama makes 2-pt jump shot from 10 ft,+2,48-27,,
8:37.0,Shooting foul by M. Turner (drawn by V. Wembanyama),,48-27,,
8:37.0,V. Wembanyama makes free throw 1 of 1,+1,49-27,,
8:22.0,,,49-27,,R. Rollins misses 2-pt layup from 4 ft
8:21.0,Defensive rebound by Team,,49-27,,
8:21.0,S. Castle enters the game for D. Fox,,49-27,,
8:11.0,J. Champagnie misses 3-pt jump shot from 28 ft,,49-27,,
8:06.0,,,49-27,,Defensive rebound by M. Turner
8:01.0,,,49-27,,R. Rollins misses 3-pt jump shot from 27 ft
7:57.0,Defensive rebound by V. Wembanyama,,49-27,,
7:49.0,H. Barnes misses 3-pt jump shot from 23 ft,,49-27,,
7:46.0,,,49-27,,Defensive rebound by O. Dieng
7:26.0,,,49-27,,M. Turner misses 2-pt jump shot from 12 ft
7:22.0,Defensive rebound by J. Champagnie,,49-27,,
7:15.0,Turnover by S. Castle (bad pass; steal by G. Trent),,49-27,,
7:03.0,,,49-29,+2,R. Rollins makes 2-pt jump shot from 17 ft
6:50.0,Personal foul by G. Trent (drawn by V. Wembanyama),,49-29,,
6:50.0,D. Harper enters the game for J. Champagnie,,49-29,,
6:50.0,,,49-29,,P. Nance enters the game for O. Dieng
6:39.0,V. Wembanyama misses 2-pt jump shot from 18 ft,,49-29,,
6:36.0,,,49-29,,Defensive rebound by T. Prince
6:27.0,,,49-29,,P. Nance misses 3-pt jump shot from 24 ft
6:23.0,Defensive rebound by C. Bryant,,49-29,,
6:19.0,Personal foul by M. Turner (drawn by V. Wembanyama),,49-29,,
6:19.0,K. Johnson enters the game for C. Bryant,,49-29,,
6:19.0,L. Kornet enters the game for V. Wembanyama,,49-29,,
6:06.0,S. Castle makes 2-pt jump shot from 14 ft,+2,51-29,,
5:46.0,,,51-29,,G. Trent misses 3-pt jump shot from 25 ft
5:41.0,Defensive rebound by D. Harper,,51-29,,
5:27.0,D. Harper misses 2-pt jump shot from 15 ft,,51-29,,
5:24.0,,,51-29,,Defensive rebound by P. Nance
5:17.0,,,51-29,,R. Rollins misses 2-pt layup from 1 ft
5:13.0,Defensive rebound by S. Castle,,51-29,,
5:10.0,D. Harper makes 3-pt jump shot from 23 ft (assist by K. Johnson),+3,54-29,,
4:53.0,,,54-29,,R. Rollins misses 3-pt jump shot from 26 ft
4:53.0,Defensive rebound by S. Castle,,54-29,,
4:47.0,S. Castle makes 2-pt layup from 1 ft,+2,56-29,,
4:45.0,,,56-29,,Milwaukee full timeout
4:45.0,D. Vassell enters the game for H. Barnes,,56-29,,
4:45.0,,,56-29,,O. Dieng enters the game for T. Prince
4:45.0,,,56-29,,A. Green enters the game for R. Rollins
4:45.0,,,56-29,,J. Sims enters the game for M. Turner
4:25.0,,,56-31,+2,G. Trent makes 2-pt jump shot from 19 ft (assist by O. Dieng)
4:08.0,Turnover by S. Castle (bad pass; steal by G. Trent),,56-31,,
4:03.0,,,56-33,+2,G. Trent makes 2-pt layup from 1 ft
3:51.0,K. Johnson makes 3-pt jump shot from 23 ft (assist by S. Castle),+3,59-33,,
3:33.0,,,59-33,,A. Green misses 3-pt jump shot from 26 ft
3:29.0,Defensive rebound by S. Castle,,59-33,,
3:27.0,D. Vassell makes 2-pt layup from 2 ft (assist by S. Castle),+2,61-33,,
3:18.0,,,61-33,,Personal foul by D. Vassell (drawn by O. Dieng)
3:08.0,,,61-35,+2,O. Dieng makes 2-pt jump shot from 14 ft
2:51.0,K. Johnson makes 2-pt dunk from 1 ft (assist by D. Harper),+2,63-35,,
2:40.0,,,63-35,,J. Sims misses 2-pt jump shot from 11 ft
2:38.0,Defensive rebound by Team,,63-35,,
2:38.0,V. Wembanyama enters the game for L. Kornet,,63-35,,
2:27.0,V. Wembanyama misses 2-pt jump shot from 15 ft,,63-35,,
2:25.0,,,63-35,,Defensive rebound by A. Green
2:15.0,,,63-37,+2,J. Sims makes 2-pt dunk from 2 ft (assist by A. Green)
1:57.0,V. Wembanyama makes 2-pt layup from 2 ft (assist by S. Castle),+2,65-37,,
1:41.0,,,65-39,+2,G. Trent makes 2-pt jump shot from 14 ft (assist by P. Nance)
1:28.0,K. Johnson misses 2-pt jump shot from 19 ft,,65-39,,
1:25.0,Offensive rebound by S. Castle,,65-39,,
1:18.0,D. Harper makes 2-pt layup from 2 ft,+2,67-39,,
1:10.0,,,67-42,+3,A. Green makes 3-pt jump shot from 23 ft (assist by J. Sims)
0:52.0,S. Castle misses 2-pt jump shot from 12 ft,,67-42,,
0:48.0,,,67-42,,Defensive rebound by J. Sims
0:41.0,,,67-45,+3,G. Trent makes 3-pt jump shot from 25 ft (assist by P. Nance)
0:29.0,D. Vassell misses 3-pt jump shot from 29 ft,,67-45,,
0:27.0,,,67-45,,Defensive rebound by A. Green
0:05.0,,,67-45,,O. Dieng misses 2-pt jump shot from 21 ft
0:04.0,,,67-45,,Offensive rebound by Team
0:04.0,Loose ball foul by V. Wembanyama (drawn by J. Sims),,67-45,,
0:04.0,,,67-45,,M. Turner enters the game for J. Sims
0:00.0,,,67-45,,M. Turner misses 3-pt jump shot from 24 ft
0:00.0,,,67-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,San Antonio,,Score,,Milwaukee
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:51.0,,,67-45,,Personal foul by S. Castle (drawn by R. Rollins)
11:46.0,,,67-48,+3,M. Turner makes 3-pt jump shot from 26 ft (assist by R. Rollins)
11:24.0,Personal foul by P. Nance (drawn by V. Wembanyama),,67-48,,
11:11.0,D. Fox misses 3-pt jump shot from 24 ft,,67-48,,
11:08.0,,,67-48,,Defensive rebound by R. Rollins
11:02.0,,,67-51,+3,G. Trent makes 3-pt jump shot from 27 ft (assist by R. Rollins)
10:50.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by S. Castle),+2,69-51,,
10:36.0,,,69-51,,Turnover by R. Rollins (bad pass; steal by J. Champagnie)
10:23.0,S. Castle misses 3-pt jump shot from 28 ft,,69-51,,
10:19.0,,,69-51,,Defensive rebound by O. Dieng
10:11.0,,,69-51,,R. Rollins misses 2-pt layup from 8 ft (block by V. Wembanyama)
10:11.0,Defensive rebound by V. Wembanyama,,69-51,,
10:11.0,San Antonio full timeout,,69-51,,
10:11.0,Instant Replay (Challenge: Ruling Stands),,69-51,,
10:02.0,V. Wembanyama makes 2-pt jump shot from 10 ft (assist by D. Fox),+2,71-51,,
9:51.0,,,71-53,+2,R. Rollins makes 2-pt jump shot from 15 ft
9:36.0,D. Fox misses 3-pt jump shot from 25 ft,,71-53,,
9:32.0,,,71-53,,Defensive rebound by M. Turner
9:28.0,,,71-55,+2,G. Trent makes 2-pt jump shot from 23 ft
9:28.0,,,71-55,,Instant Replay (Request: Ruling Stands)
9:15.0,V. Wembanyama misses 2-pt jump shot from 19 ft,,71-55,,
9:12.0,,,71-55,,Defensive rebound by M. Turner
9:03.0,,,71-58,+3,P. Nance makes 3-pt jump shot from 23 ft (assist by G. Trent)
8:43.0,S. Castle makes 2-pt layup from 1 ft (assist by V. Wembanyama),+2,73-58,,
8:25.0,,,73-58,,R. Rollins misses 3-pt jump shot from 27 ft
8:21.0,Defensive rebound by D. Vassell,,73-58,,
8:16.0,D. Fox makes 2-pt layup from 1 ft,+2,75-58,,
8:02.0,,,75-61,+3,M. Turner makes 3-pt jump shot from 25 ft (assist by O. Dieng)
7:46.0,J. Champagnie makes 3-pt jump shot from 23 ft (assist by D. Vassell),+3,78-61,,
7:26.0,,,78-61,,Shooting foul by S. Castle (drawn by M. Turner)
7:26.0,,,78-61,,M. Turner misses free throw 1 of 2
7:26.0,,,78-61,,Offensive rebound by Team
7:26.0,,,78-62,+1,M. Turner makes free throw 2 of 2
7:21.0,Personal foul by G. Trent (drawn by D. Fox),,78-62,,
7:14.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by S. Castle),+2,80-62,,
6:57.0,,,80-62,,G. Trent misses 3-pt jump shot from 24 ft
6:52.0,,,80-62,,Offensive rebound by G. Trent
6:47.0,,,80-62,,O. Dieng misses 2-pt jump shot from 19 ft
6:44.0,Defensive rebound by J. Champagnie,,80-62,,
6:32.0,S. Castle misses 2-pt layup from 3 ft,,80-62,,
6:29.0,,,80-62,,Defensive rebound by O. Dieng
6:28.0,,,80-62,,M. Turner misses 3-pt jump shot from 23 ft
6:26.0,Defensive rebound by V. Wembanyama,,80-62,,
6:19.0,Turnover by V. Wembanyama (lost ball; steal by O. Dieng),,80-62,,
6:00.0,,,80-65,+3,M. Turner makes 3-pt jump shot from 29 ft (assist by O. Dieng)
6:00.0,San Antonio full timeout,,80-65,,
6:00.0,D. Harper enters the game for J. Champagnie,,80-65,,
6:00.0,K. Johnson enters the game for D. Fox,,80-65,,
6:00.0,L. Kornet enters the game for V. Wembanyama,,80-65,,
5:50.0,D. Vassell makes 3-pt jump shot from 24 ft (assist by S. Castle),+3,83-65,,
5:39.0,,,83-65,,Turnover by R. Rollins (traveling)
5:31.0,D. Vassell makes 3-pt jump shot from 25 ft (assist by K. Johnson),+3,86-65,,
5:14.0,,,86-65,,Turnover by R. Rollins (lost ball; steal by K. Johnson)
5:10.0,D. Harper makes 2-pt layup from 1 ft (assist by S. Castle),+2,88-65,,
5:10.0,,,88-65,,Milwaukee full timeout
5:10.0,,,88-65,,J. Sims enters the game for M. Turner
4:58.0,,,88-65,,Turnover by G. Trent (bad pass)
4:38.0,D. Vassell misses 3-pt jump shot from 27 ft,,88-65,,
4:35.0,,,88-65,,Defensive rebound by P. Nance
4:21.0,,,88-68,+3,O. Dieng makes 3-pt jump shot from 23 ft
4:11.0,D. Harper makes 2-pt layup from 2 ft,+2,90-68,,
3:58.0,,,90-70,+2,R. Rollins makes 2-pt jump shot from 13 ft
3:48.0,S. Castle makes 2-pt layup from 4 ft,+2,92-70,,
3:31.0,,,92-72,+2,G. Trent makes 2-pt jump shot from 16 ft
3:08.0,K. Johnson makes 2-pt hook shot from 4 ft,+2,94-72,,
2:53.0,,,94-72,,R. Rollins misses 3-pt jump shot from 25 ft
2:50.0,Defensive rebound by S. Castle,,94-72,,
2:50.0,H. Barnes enters the game for S. Castle,,94-72,,
2:50.0,V. Wembanyama enters the game for D. Vassell,,94-72,,
2:50.0,,,94-72,,A. Green enters the game for P. Nance
2:50.0,,,94-72,,A. Jackson enters the game for R. Rollins
2:50.0,,,94-72,,T. Prince enters the game for G. Trent
2:32.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by V. Wembanyama),+3,97-72,,
2:08.0,,,97-75,+3,A. Jackson makes 3-pt jump shot from 24 ft (assist by T. Prince)
1:47.0,Def 3 sec tech foul by Team,,97-75,,
1:47.0,,,97-75,,M. Turner enters the game for J. Sims
1:47.0,V. Wembanyama makes technical free throw,+1,98-75,,
1:40.0,D. Harper misses 3-pt jump shot from 24 ft,,98-75,,
1:38.0,Offensive rebound by V. Wembanyama,,98-75,,
1:37.0,Shooting foul by M. Turner (drawn by V. Wembanyama),,98-75,,
