style,tip
top:234px;left:170px;,"3rd quarter, 9:59.0 remaining<br>Derrick White missed 2-pointer from 22 ft<br>Boston trails 60-64"
top:172px;left:462px;,"3rd quarter, 9:11.0 remaining<br>Sam Hauser missed 3-pointer from 26 ft<br>Boston trails 60-66"
top:277px;left:157px;,"3rd quarter, 9:06.0 remaining<br>Derrick White missed 3-pointer from 26 ft<br>Boston trails 60-66"
top:274px;left:345px;,"3rd quarter, 8:39.0 remaining<br>Jayson Tatum missed 3-pointer from 27 ft<br>Boston trails 60-66"
top:246px;left:358px;,"3rd quarter, 8:15.0 remaining<br>Sam Hauser made 3-pointer from 25 ft<br>Boston now trails 63-68"
top:236px;left:80px;,"3rd quarter, 7:54.0 remaining<br>Payton Pritchard made 3-pointer from 26 ft<br>Boston now trails 66-68"
top:263px;left:416px;,"3rd quarter, 7:25.0 remaining<br>Payton Pritchard made 3-pointer from 29 ft<br>Boston now leads 69-68"
top:86px;left:464px;,"3rd quarter, 5:49.0 remaining<br>Payton Pritchard made 3-pointer from 23 ft<br>Boston now leads 72-70"
top:308px;left:232px;,"3rd quarter, 4:38.0 remaining<br>Payton Pritchard missed 3-pointer from 28 ft<br>Boston leads 72-70"
top:53px;left:137px;,"3rd quarter, 4:26.0 remaining<br>Derrick White made 2-pointer from 10 ft<br>Boston now leads 74-70"
top:260px;left:379px;,"3rd quarter, 3:57.0 remaining<br>Luka Garza made 3-pointer from 27 ft<br>Boston now leads 78-72"
top:231px;left:400px;,"3rd quarter, 3:24.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston leads 78-72"
top:175px;left:450px;,"3rd quarter, 3:19.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston leads 78-72"
top:229px;left:80px;,"3rd quarter, 2:50.0 remaining<br>Derrick White missed 3-pointer from 26 ft<br>Boston leads 78-73"
top:38px;left:257px;,"3rd quarter, 1:41.0 remaining<br>Jayson Tatum missed 2-pointer from 2 ft<br>Boston leads 80-78"
top:27px;left:274px;,"3rd quarter, 1:39.0 remaining<br>Payton Pritchard made 2-pointer from 3 ft<br>Boston now leads 82-78"
top:168px;left:348px;,"3rd quarter, 0:06.0 remaining<br>Jayson Tatum made 2-pointer from 17 ft<br>Boston now leads 87-82"
top:196px;left:304px;,"4th quarter, 11:42.0 remaining<br>Jayson Tatum made 2-pointer from 18 ft<br>Boston now leads 89-82"
top:287px;left:293px;,"4th quarter, 11:22.0 remaining<br>Jayson Tatum missed 3-pointer from 26 ft<br>Boston leads 89-82"
top:86px;left:257px;,"4th quarter, 10:42.0 remaining<br>Jayson Tatum missed 2-pointer from 6 ft<br>Boston leads 89-82"
top:37px;left:215px;,"4th quarter, 10:10.0 remaining<br>Luka Garza made 2-pointer from 3 ft<br>Boston now leads 91-82"
top:43px;left:251px;,"4th quarter, 9:44.0 remaining<br>Payton Pritchard made 2-pointer from 2 ft<br>Boston now leads 93-84"
top:32px;left:240px;,"4th quarter, 9:14.0 remaining<br>Neemias Queta made 2-pointer from 0 ft<br>Boston now leads 95-84"
top:83px;left:312px;,"4th quarter, 8:36.0 remaining<br>Payton Pritchard missed 2-pointer from 9 ft<br>Boston leads 95-84"
top:288px;left:212px;,"4th quarter, 7:59.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston leads 95-84"
top:58px;left:275px;,"4th quarter, 7:30.0 remaining<br>Jayson Tatum made 2-pointer from 4 ft<br>Boston now leads 97-86"
top:269px;left:369px;,"4th quarter, 6:19.0 remaining<br>Jayson Tatum made 3-pointer from 27 ft<br>Boston now leads 100-89"
top:272px;left:346px;,"4th quarter, 5:41.0 remaining<br>Jayson Tatum missed 3-pointer from 26 ft<br>Boston leads 100-92"
top:213px;left:152px;,"4th quarter, 5:31.0 remaining<br>Jayson Tatum missed 2-pointer from 20 ft<br>Boston leads 100-92"
top:185px;left:306px;,"4th quarter, 4:04.0 remaining<br>Payton Pritchard missed 2-pointer from 17 ft<br>Boston leads 101-95"
top:274px;left:426px;,"4th quarter, 3:16.0 remaining<br>Derrick White missed 3-pointer from 31 ft<br>Boston leads 101-97"
top:232px;left:407px;,"4th quarter, 2:18.0 remaining<br>Payton Pritchard missed 3-pointer from 26 ft<br>Boston leads 103-99"
top:331px;left:252px;,"4th quarter, 2:00.0 remaining<br>Derrick White missed 3-pointer from 30 ft<br>Boston leads 103-99"
top:213px;left:207px;,"4th quarter, 1:15.0 remaining<br>Jayson Tatum missed 2-pointer from 19 ft<br>Boston leads 104-99"
