style,tip
top:206px;left:371px;,"3rd quarter, 10:19.0 remaining<br>Pascal Siakam missed 2-pointer from 22 ft<br>Indiana leads 81-79"
top:47px;left:214px;,"3rd quarter, 9:46.0 remaining<br>Pascal Siakam missed 2-pointer from 3 ft<br>Indiana leads 81-79"
top:86px;left:298px;,"3rd quarter, 9:14.0 remaining<br>Micah Potter missed 2-pointer from 8 ft<br>Indiana trails 81-82"
top:247px;left:113px;,"3rd quarter, 8:38.0 remaining<br>Pascal Siakam missed 3-pointer from 25 ft<br>Indiana trails 81-84"
top:283px;left:192px;,"3rd quarter, 8:34.0 remaining<br>Andrew Nembhard made 3-pointer from 26 ft<br>Indiana now tied 84-84"
top:113px;left:279px;,"3rd quarter, 8:06.0 remaining<br>Pascal Siakam missed 2-pointer from 9 ft<br>Indiana tied 84-84"
top:45px;left:214px;,"3rd quarter, 7:35.0 remaining<br>Pascal Siakam made 2-pointer from 3 ft<br>Indiana now trails 86-87"
top:58px;left:264px;,"3rd quarter, 6:58.0 remaining<br>Quenton Jackson made 2-pointer from 4 ft<br>Indiana now trails 88-90"
top:59px;left:288px;,"3rd quarter, 6:20.0 remaining<br>Micah Potter made 2-pointer from 6 ft<br>Indiana now tied 90-90"
top:23px;left:71px;,"3rd quarter, 5:34.0 remaining<br>Andrew Nembhard made 2-pointer from 17 ft<br>Indiana now tied 92-92"
top:59px;left:243px;,"3rd quarter, 5:08.0 remaining<br>Kobe Brown missed 2-pointer from 3 ft<br>Indiana trails 92-94"
top:33px;left:242px;,"3rd quarter, 5:01.0 remaining<br>Obi Toppin made 2-pointer from 0 ft<br>Indiana now tied 94-94"
top:262px;left:390px;,"3rd quarter, 4:33.0 remaining<br>Andrew Nembhard missed 3-pointer from 28 ft<br>Indiana tied 94-94"
top:137px;left:274px;,"3rd quarter, 3:31.0 remaining<br>T.J. McConnell made 2-pointer from 11 ft<br>Indiana now leads 96-94"
top:148px;left:258px;,"3rd quarter, 3:03.0 remaining<br>Obi Toppin missed 2-pointer from 12 ft<br>Indiana trails 96-97"
top:26px;left:240px;,"3rd quarter, 2:31.0 remaining<br>Kobe Brown made 2-pointer from 0 ft<br>Indiana now trails 98-100"
top:55px;left:233px;,"3rd quarter, 2:05.0 remaining<br>Obi Toppin made 2-pointer from 3 ft<br>Indiana now trails 100-102"
top:208px;left:420px;,"3rd quarter, 1:38.0 remaining<br>Kobe Brown made 3-pointer from 25 ft<br>Indiana now leads 103-102"
top:253px;left:399px;,"3rd quarter, 1:03.0 remaining<br>Andrew Nembhard missed 3-pointer from 27 ft<br>Indiana trails 103-104"
top:39px;left:200px;,"3rd quarter, 0:36.0 remaining<br>Obi Toppin made 2-pointer from 4 ft<br>Indiana now leads 105-104"
top:74px;left:471px;,"3rd quarter, 0:05.0 remaining<br>Kobe Brown made 3-pointer from 24 ft<br>Indiana now leads 108-107"
top:28px;left:368px;,"4th quarter, 11:45.0 remaining<br>Ben Sheppard missed 2-pointer from 13 ft<br>Indiana leads 108-107"
top:33px;left:238px;,"4th quarter, 11:15.0 remaining<br>Jay Huff made 2-pointer from 0 ft<br>Indiana now leads 110-107"
top:164px;left:22px;,"4th quarter, 10:48.0 remaining<br>Jay Huff missed 3-pointer from 26 ft<br>Indiana leads 110-107"
top:255px;left:385px;,"4th quarter, 10:27.0 remaining<br>Kobe Brown missed 3-pointer from 27 ft<br>Indiana leads 110-107"
top:195px;left:63px;,"4th quarter, 10:09.0 remaining<br>T.J. McConnell missed 3-pointer from 24 ft<br>Indiana leads 110-107"
top:60px;left:227px;,"4th quarter, 9:46.0 remaining<br>Pascal Siakam missed 2-pointer from 3 ft<br>Indiana leads 110-107"
top:31px;left:240px;,"4th quarter, 9:43.0 remaining<br>Pascal Siakam missed 2-pointer from 0 ft<br>Indiana leads 110-107"
top:36px;left:468px;,"4th quarter, 8:48.0 remaining<br>Ben Sheppard made 3-pointer from 23 ft<br>Indiana now leads 113-111"
top:48px;left:248px;,"4th quarter, 8:27.0 remaining<br>Pascal Siakam made 2-pointer from 2 ft<br>Indiana now leads 115-111"
top:23px;left:8px;,"4th quarter, 7:54.0 remaining<br>Jay Huff missed 3-pointer from 23 ft<br>Indiana leads 115-113"
top:58px;left:175px;,"4th quarter, 7:36.0 remaining<br>T.J. McConnell made 2-pointer from 7 ft<br>Indiana now leads 117-113"
top:62px;left:444px;,"4th quarter, 6:24.0 remaining<br>Jalen Slawson missed 2-pointer from 21 ft<br>Indiana leads 119-113"
top:64px;left:476px;,"4th quarter, 6:18.0 remaining<br>Pascal Siakam missed 3-pointer from 24 ft<br>Indiana leads 119-113"
top:41px;left:214px;,"4th quarter, 6:01.0 remaining<br>Andrew Nembhard made 2-pointer from 3 ft<br>Indiana now leads 121-113"
top:17px;left:119px;,"4th quarter, 5:34.0 remaining<br>Pascal Siakam missed 2-pointer from 12 ft<br>Indiana leads 121-115"
top:108px;left:215px;,"4th quarter, 5:08.0 remaining<br>Jay Huff made 2-pointer from 8 ft<br>Indiana now leads 123-115"
top:298px;left:116px;,"4th quarter, 4:25.0 remaining<br>Andrew Nembhard missed 3-pointer from 29 ft<br>Indiana leads 123-115"
top:41px;left:256px;,"4th quarter, 3:56.0 remaining<br>Andrew Nembhard missed 2-pointer from 2 ft<br>Indiana leads 123-115"
top:42px;left:10px;,"4th quarter, 3:54.0 remaining<br>Kobe Brown missed 3-pointer from 23 ft<br>Indiana leads 123-115"
top:39px;left:446px;,"4th quarter, 3:22.0 remaining<br>Jay Huff made 2-pointer from 21 ft<br>Indiana now leads 126-115"
top:137px;left:279px;,"4th quarter, 2:36.0 remaining<br>Pascal Siakam made 2-pointer from 11 ft<br>Indiana now leads 130-117"
top:251px;left:140px;,"4th quarter, 2:04.0 remaining<br>Andrew Nembhard made 3-pointer from 24 ft<br>Indiana now leads 133-117"
top:63px;left:95px;,"4th quarter, 1:24.0 remaining<br>Pascal Siakam missed 2-pointer from 15 ft<br>Indiana leads 133-117"
top:63px;left:470px;,"4th quarter, 1:00.0 remaining<br>Pascal Siakam missed 3-pointer from 23 ft<br>Indiana leads 133-117"
top:29px;left:217px;,"4th quarter, 0:22.0 remaining<br>Pascal Siakam made 2-pointer from 2 ft<br>Indiana now leads 135-118"
