style,tip
top:48px;left:242px;,"3rd quarter, 11:40.0 remaining<br>Bam Adebayo made 2-pointer from 2 ft<br>Miami now trails 77-79"
top:42px;left:211px;,"3rd quarter, 11:17.0 remaining<br>Davion Mitchell made 2-pointer from 3 ft<br>Miami now trails 79-81"
top:26px;left:4px;,"3rd quarter, 10:41.0 remaining<br>Bam Adebayo missed 3-pointer from 24 ft<br>Miami trails 79-81"
top:313px;left:156px;,"3rd quarter, 10:00.0 remaining<br>Tyler Herro missed 3-pointer from 30 ft<br>Miami trails 79-81"
top:308px;left:182px;,"3rd quarter, 9:34.0 remaining<br>Andrew Wiggins made 3-pointer from 28 ft<br>Miami now leads 82-81"
top:122px;left:250px;,"3rd quarter, 9:07.0 remaining<br>Bam Adebayo missed 2-pointer from 9 ft<br>Miami leads 82-81"
top:42px;left:221px;,"3rd quarter, 8:57.0 remaining<br>Pelle Larsson made 2-pointer from 2 ft<br>Miami now leads 84-81"
top:62px;left:219px;,"3rd quarter, 8:20.0 remaining<br>Andrew Wiggins missed 2-pointer from 4 ft<br>Miami tied 84-84"
top:178px;left:17px;,"3rd quarter, 7:54.0 remaining<br>Pelle Larsson missed 3-pointer from 27 ft<br>Miami tied 84-84"
top:293px;left:336px;,"3rd quarter, 7:49.0 remaining<br>Tyler Herro made 3-pointer from 28 ft<br>Miami now leads 87-84"
top:267px;left:384px;,"3rd quarter, 7:15.0 remaining<br>Tyler Herro made 3-pointer from 28 ft<br>Miami now leads 90-86"
top:90px;left:200px;,"3rd quarter, 6:41.0 remaining<br>Pelle Larsson missed 2-pointer from 7 ft<br>Miami leads 90-88"
top:34px;left:257px;,"3rd quarter, 5:55.0 remaining<br>Tyler Herro made 2-pointer from 2 ft<br>Miami now leads 92-90"
top:43px;left:265px;,"3rd quarter, 5:20.0 remaining<br>Bam Adebayo made 2-pointer from 3 ft<br>Miami now leads 94-92"
top:133px;left:213px;,"3rd quarter, 4:41.0 remaining<br>Bam Adebayo missed 2-pointer from 11 ft<br>Miami tied 94-94"
top:34px;left:201px;,"3rd quarter, 4:24.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 4 ft<br>Miami tied 94-94"
top:187px;left:28px;,"3rd quarter, 3:51.0 remaining<br>Andrew Wiggins missed 3-pointer from 26 ft<br>Miami tied 94-94"
top:293px;left:252px;,"3rd quarter, 3:20.0 remaining<br>Kel'el Ware made 3-pointer from 26 ft<br>Miami now leads 97-96"
top:285px;left:322px;,"3rd quarter, 2:55.0 remaining<br>Andrew Wiggins made 3-pointer from 27 ft<br>Miami now leads 100-96"
top:55px;left:227px;,"3rd quarter, 2:13.0 remaining<br>Davion Mitchell made 2-pointer from 3 ft<br>Miami now leads 102-98"
top:303px;left:281px;,"3rd quarter, 1:52.0 remaining<br>Tyler Herro missed 3-pointer from 28 ft<br>Miami leads 102-100"
top:70px;left:226px;,"3rd quarter, 1:14.0 remaining<br>Pelle Larsson made 2-pointer from 4 ft<br>Miami now leads 104-103"
top:110px;left:215px;,"3rd quarter, 0:48.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 8 ft<br>Miami leads 104-103"
top:289px;left:179px;,"3rd quarter, 0:28.0 remaining<br>Kasparas JakuÄionis made 3-pointer from 27 ft<br>Miami now leads 107-105"
top:303px;left:270px;,"3rd quarter, 0:00.0 remaining<br>Jaime Jaquez Jr. missed 3-pointer from 28 ft<br>Miami trails 107-108"
top:51px;left:236px;,"4th quarter, 11:35.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 2 ft<br>Miami trails 107-108"
top:163px;left:453px;,"4th quarter, 10:59.0 remaining<br>Kel'el Ware missed 3-pointer from 25 ft<br>Miami trails 107-110"
