1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Miami,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Indiana
12:00.0,Jump ball: B. Adebayo vs. J. Slawson (Q. Jackson gains possession),Jump ball: B. Adebayo vs. J. Slawson (Q. Jackson gains possession),Jump ball: B. Adebayo vs. J. Slawson (Q. Jackson gains possession),Jump ball: B. Adebayo vs. J. Slawson (Q. Jackson gains possession),Jump ball: B. Adebayo vs. J. Slawson (Q. Jackson gains possession)
11:39.0,,,0-0,,P. Siakam misses 3-pt jump shot from 25 ft
11:36.0,Defensive rebound by B. Adebayo,,0-0,,
11:29.0,A. Wiggins misses 2-pt jump shot from 11 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by E. Thompson
11:22.0,,,0-2,+2,A. Nembhard makes 2-pt layup from 5 ft
11:06.0,T. Herro misses 3-pt jump shot from 27 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by P. Siakam
10:58.0,,,0-2,,Shooting foul by P. Larsson (drawn by P. Siakam)
10:58.0,,,0-2,,P. Siakam misses free throw 1 of 2
10:58.0,,,0-2,,Offensive rebound by Team
10:58.0,,,0-3,+1,P. Siakam makes free throw 2 of 2
10:39.0,Turnover by B. Adebayo (out of bounds lost ball),,0-3,,
10:23.0,,,0-3,,Turnover by P. Siakam (bad pass; steal by A. Wiggins)
10:14.0,T. Herro makes 2-pt jump shot from 10 ft,+2,2-3,,
10:05.0,,,2-3,,Personal foul by D. Mitchell (drawn by P. Siakam)
9:55.0,,,2-3,,Offensive foul by P. Siakam (drawn by D. Mitchell)
9:55.0,,,2-3,,Turnover by P. Siakam (offensive foul)
9:44.0,Personal foul by E. Thompson (drawn by P. Larsson),,2-3,,
9:35.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by B. Adebayo),+3,5-3,,
9:16.0,,,5-3,,Turnover by Q. Jackson (bad pass)
9:01.0,Shooting foul by P. Siakam (drawn by B. Adebayo),,5-3,,
9:01.0,B. Adebayo makes free throw 1 of 2,+1,6-3,,
9:01.0,,,6-3,,M. Potter enters the game for P. Siakam
9:01.0,B. Adebayo makes free throw 2 of 2,+1,7-3,,
8:47.0,,,7-3,,A. Nembhard misses 2-pt jump shot from 14 ft
8:45.0,Defensive rebound by D. Mitchell,,7-3,,
8:40.0,P. Larsson makes 2-pt layup from 2 ft (assist by A. Wiggins),+2,9-3,,
8:30.0,,,9-3,,M. Potter misses 3-pt jump shot from 23 ft
