Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Andrew Nembhard,36:21,.603,.583,.500,.083,0.0,8.1,4.7,29.3,0.0,0.0,13.9,17.4,126,119,-2.6
Pascal Siakam,31:17,.554,.521,.333,.292,8.8,28.2,20.1,25.5,1.5,0.0,12.9,43.5,106,111,-1.5
Quenton Jackson,20:15,.833,.833,.000,.000,0.0,14.5,8.5,5.8,0.0,0.0,25.0,17.3,112,118,-5.0
Jalen Slawson,16:05,.000,.000,.500,.000,0.0,24.4,14.2,5.6,0.0,0.0,0.0,5.4,36,115,-10.1
Ethan Thompson,9:57,.500,.500,.667,.000,0.0,9.8,5.7,0.0,0.0,7.8,0.0,13.2,91,112,-4.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kobe Brown,33:26,.787,.773,.545,.091,4.1,8.8,6.8,16.7,1.4,2.3,0.0,15.0,162,114,9.1
Ben Sheppard,23:11,.625,.625,.500,.000,0.0,8.5,4.9,4.2,2.0,0.0,0.0,7.5,124,115,-1.6
Micah Potter,20:28,1.063,1.056,.667,.222,0.0,23.9,14.0,0.0,0.0,0.0,16.8,25.4,143,115,10.4
T.J. McConnell,18:16,.889,.875,.375,.125,0.0,10.7,6.3,63.5,0.0,4.2,10.6,22.6,173,115,19.3
Jay Huff,16:08,.600,.600,.400,.000,0.0,30.4,17.7,0.0,0.0,9.6,0.0,13.6,110,106,-1.1
Obi Toppin,14:36,.711,.688,.375,.125,0.0,13.4,7.8,27.0,0.0,0.0,0.0,25.3,146,118,6.6
Kam Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taelon Peter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.691,.674,.424,.141,8.6,79.6,50.0,67.9,2.9,8.1,10.9,100.0,130.3,113.9,
