style,tip
top:165px;left:178px;,"3rd quarter, 8:42.0 remaining<br>Taurean Prince made 2-pointer from 15 ft<br>Milwaukee now trails 53-70"
top:18px;left:470px;,"3rd quarter, 8:25.0 remaining<br>Taurean Prince missed 3-pointer from 23 ft<br>Milwaukee trails 53-70"
top:44px;left:226px;,"3rd quarter, 8:08.0 remaining<br>Jericho Sims made 2-pointer from 2 ft<br>Milwaukee now trails 55-73"
top:180px;left:403px;,"3rd quarter, 7:44.0 remaining<br>Gary Trent Jr. made 2-pointer from 22 ft<br>Milwaukee now trails 57-73"
top:43px;left:240px;,"3rd quarter, 7:24.0 remaining<br>Andre Jackson Jr. made 2-pointer from 1 ft<br>Milwaukee now trails 59-73"
top:258px;left:258px;,"3rd quarter, 6:04.0 remaining<br>Andre Jackson Jr. missed 2-pointer from 23 ft<br>Milwaukee trails 61-76"
top:44px;left:1px;,"3rd quarter, 5:38.0 remaining<br>Taurean Prince made 3-pointer from 24 ft<br>Milwaukee now trails 64-78"
top:70px;left:470px;,"3rd quarter, 4:36.0 remaining<br>Taurean Prince made 3-pointer from 23 ft<br>Milwaukee now trails 67-81"
top:75px;left:240px;,"3rd quarter, 4:07.0 remaining<br>Jericho Sims missed 2-pointer from 5 ft<br>Milwaukee trails 67-83"
top:248px;left:192px;,"3rd quarter, 4:02.0 remaining<br>Gary Trent Jr. missed 2-pointer from 22 ft<br>Milwaukee trails 67-83"
top:164px;left:277px;,"3rd quarter, 3:11.0 remaining<br>Taurean Prince missed 2-pointer from 14 ft<br>Milwaukee trails 67-85"
top:22px;left:467px;,"3rd quarter, 2:41.0 remaining<br>Pete Nance missed 3-pointer from 23 ft<br>Milwaukee trails 67-86"
top:137px;left:312px;,"3rd quarter, 2:13.0 remaining<br>Gary Trent Jr. missed 2-pointer from 13 ft<br>Milwaukee trails 67-88"
top:34px;left:222px;,"3rd quarter, 0:42.0 remaining<br>A.J. Green made 2-pointer from 2 ft<br>Milwaukee now trails 72-92"
top:55px;left:217px;,"3rd quarter, 0:07.0 remaining<br>Ousmane Dieng made 2-pointer from 3 ft<br>Milwaukee now trails 74-94"
top:39px;left:242px;,"4th quarter, 10:54.0 remaining<br>Ousmane Dieng made 2-pointer from 1 ft<br>Milwaukee now trails 76-98"
top:42px;left:236px;,"4th quarter, 10:15.0 remaining<br>Taurean Prince made 2-pointer from 1 ft<br>Milwaukee now trails 78-100"
top:291px;left:145px;,"4th quarter, 9:43.0 remaining<br>Ousmane Dieng missed 3-pointer from 28 ft<br>Milwaukee trails 78-101"
top:227px;left:43px;,"4th quarter, 9:27.0 remaining<br>Cormac Ryan made 3-pointer from 28 ft<br>Milwaukee now trails 81-101"
top:45px;left:236px;,"4th quarter, 8:47.0 remaining<br>A.J. Green made 2-pointer from 2 ft<br>Milwaukee now trails 83-103"
top:298px;left:304px;,"4th quarter, 7:55.0 remaining<br>A.J. Green made 3-pointer from 28 ft<br>Milwaukee now trails 86-105"
top:128px;left:249px;,"4th quarter, 5:47.0 remaining<br>Gary Trent Jr. made 2-pointer from 10 ft<br>Milwaukee now trails 94-112"
top:47px;left:227px;,"4th quarter, 5:21.0 remaining<br>Andre Jackson Jr. made 2-pointer from 2 ft<br>Milwaukee now trails 96-112"
top:283px;left:256px;,"4th quarter, 4:44.0 remaining<br>Gary Trent Jr. made 3-pointer from 25 ft<br>Milwaukee now trails 99-112"
top:298px;left:175px;,"4th quarter, 4:16.0 remaining<br>Gary Trent Jr. made 3-pointer from 28 ft<br>Milwaukee now trails 102-114"
top:241px;left:411px;,"4th quarter, 3:25.0 remaining<br>Gary Trent Jr. made 3-pointer from 27 ft<br>Milwaukee now trails 105-117"
top:280px;left:240px;,"4th quarter, 2:48.0 remaining<br>Cormac Ryan made 3-pointer from 25 ft<br>Milwaukee now trails 108-119"
top:36px;left:3px;,"4th quarter, 2:10.0 remaining<br>Taurean Prince missed 3-pointer from 24 ft<br>Milwaukee trails 108-121"
top:198px;left:464px;,"4th quarter, 1:37.0 remaining<br>Gary Trent Jr. made 3-pointer from 28 ft<br>Milwaukee now trails 111-123"
top:188px;left:458px;,"4th quarter, 1:14.0 remaining<br>Gary Trent Jr. missed 3-pointer from 27 ft<br>Milwaukee trails 111-125"
top:113px;left:244px;,"4th quarter, 0:55.0 remaining<br>Andre Jackson Jr. made 2-pointer from 8 ft<br>Milwaukee now trails 113-127"
top:283px;left:237px;,"4th quarter, 0:25.0 remaining<br>Andre Jackson Jr. missed 3-pointer from 25 ft<br>Milwaukee trails 113-127"
