1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,LA Clippers,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Milwaukee
12:00.0,Jump ball: B. Lopez vs. J. Sims (O. Dieng gains possession),Jump ball: B. Lopez vs. J. Sims (O. Dieng gains possession),Jump ball: B. Lopez vs. J. Sims (O. Dieng gains possession),Jump ball: B. Lopez vs. J. Sims (O. Dieng gains possession),Jump ball: B. Lopez vs. J. Sims (O. Dieng gains possession)
11:49.0,,,0-0,,Personal foul by B. Lopez (drawn by J. Sims)
11:42.0,,,0-0,,P. Nance misses 3-pt jump shot from 24 ft
11:38.0,Defensive rebound by K. Leonard,,0-0,,
11:31.0,Personal foul by O. Dieng (drawn by D. Jones),,0-0,,
11:20.0,D. Garland misses 3-pt jump shot from 27 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by G. Trent
11:13.0,,,0-0,,Offensive foul by J. Sims (drawn by D. Garland)
11:13.0,,,0-0,,Turnover by J. Sims (offensive foul)
11:04.0,J. Collins makes 2-pt jump shot from 16 ft (assist by D. Garland),+2,2-0,,
10:46.0,,,2-2,+2,J. Sims makes 2-pt dunk from 1 ft
10:28.0,J. Collins misses 3-pt jump shot from 27 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by J. Sims
10:16.0,,,2-4,+2,J. Sims makes 2-pt layup from 1 ft (assist by O. Dieng)
10:02.0,D. Garland makes 3-pt jump shot from 29 ft,+3,5-4,,
9:47.0,,,5-4,,P. Nance misses 3-pt jump shot from 24 ft
9:44.0,Defensive rebound by K. Leonard,,5-4,,
9:35.0,K. Leonard makes 2-pt jump shot from 14 ft,+2,7-4,,
9:16.0,,,7-7,+3,G. Trent makes 3-pt jump shot from 23 ft (assist by J. Sims)
9:06.0,J. Collins makes 2-pt layup from 2 ft (assist by D. Garland),+2,9-7,,
8:47.0,,,9-7,,J. Sims misses 2-pt dunk from 1 ft (block by B. Lopez)
8:43.0,Defensive rebound by D. Garland,,9-7,,
8:38.0,D. Jones misses 2-pt jump shot from 12 ft,,9-7,,
8:35.0,,,9-7,,Defensive rebound by O. Dieng
8:28.0,,,9-7,,O. Dieng misses 2-pt jump shot from 20 ft
8:25.0,Defensive rebound by K. Leonard,,9-7,,
8:20.0,D. Garland makes 2-pt layup from 2 ft,+2,11-7,,
8:19.0,,,11-7,,Milwaukee full timeout
8:05.0,,,11-10,+3,G. Trent makes 3-pt jump shot from 26 ft (assist by J. Sims)
7:54.0,Turnover by D. Jones (lost ball; steal by G. Trent),,11-10,,
7:53.0,,,11-13,+3,G. Trent makes 3-pt jump shot from 24 ft
7:29.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Collins),+2,13-13,,
7:02.0,,,13-15,+2,G. Trent makes 2-pt jump shot from 14 ft
6:54.0,K. Leonard misses 3-pt jump shot from 27 ft,,13-15,,
6:50.0,,,13-15,,Defensive rebound by G. Trent
6:46.0,,,13-15,,Turnover by G. Trent (bad pass; steal by D. Garland)
6:40.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by D. Garland),+3,16-15,,
6:16.0,,,16-15,,Turnover by P. Nance (bad pass)
6:16.0,,,16-15,,T. Prince enters the game for P. Nance
6:05.0,Personal foul by O. Dieng (drawn by K. Leonard),,16-15,,
6:05.0,,,16-15,,A. Green enters the game for O. Dieng
5:54.0,Turnover by D. Garland (out of bounds lost ball),,16-15,,
5:40.0,,,16-15,,G. Trent misses 3-pt jump shot from 23 ft
5:36.0,Defensive rebound by B. Lopez,,16-15,,
5:33.0,K. Leonard misses 2-pt layup from 3 ft,,16-15,,
5:32.0,Offensive rebound by K. Leonard,,16-15,,
5:32.0,K. Leonard misses 2-pt layup from 2 ft,,16-15,,
5:31.0,Offensive rebound by K. Leonard,,16-15,,
5:30.0,K. Leonard misses 2-pt layup at rim,,16-15,,
5:29.0,Offensive rebound by K. Leonard,,16-15,,
5:29.0,K. Leonard misses 2-pt layup from 2 ft,,16-15,,
5:28.0,,,16-15,,Defensive rebound by J. Sims
5:22.0,,,16-18,+3,T. Prince makes 3-pt jump shot from 23 ft (assist by G. Trent)
5:07.0,Personal foul by A. Jackson (drawn by B. Lopez),,16-18,,
5:07.0,K. Dunn enters the game for J. Collins,,16-18,,
5:07.0,B. Mathurin enters the game for K. Leonard,,16-18,,
5:04.0,Turnover by D. Garland (lost ball; steal by A. Jackson),,16-18,,
5:01.0,,,16-18,,Turnover by A. Jackson (bad pass; steal by D. Jones)
4:45.0,D. Jones misses 2-pt layup from 2 ft,,16-18,,
4:42.0,,,16-18,,Defensive rebound by A. Green
4:38.0,,,16-18,,G. Trent misses 3-pt jump shot from 25 ft
4:34.0,Defensive rebound by B. Lopez,,16-18,,
4:22.0,K. Dunn makes 3-pt jump shot from 23 ft (assist by B. Lopez),+3,19-18,,
4:07.0,,,19-18,,Turnover by T. Prince (lost ball; steal by B. Lopez)
4:02.0,D. Jones makes 2-pt layup from 3 ft,+2,21-18,,
3:36.0,,,21-18,,Personal foul by K. Dunn (drawn by T. Prince)
3:36.0,,,21-18,,P. Nance enters the game for J. Sims
3:30.0,,,21-18,,P. Nance misses 3-pt jump shot from 27 ft
3:26.0,Defensive rebound by B. Mathurin,,21-18,,
3:23.0,B. Mathurin makes 2-pt jump shot from 21 ft,+2,23-18,,
3:08.0,,,23-20,+2,P. Nance makes 2-pt layup from 2 ft (assist by T. Prince)
2:51.0,D. Garland misses 3-pt jump shot from 30 ft,,23-20,,
2:48.0,,,23-20,,Defensive rebound by P. Nance
2:37.0,,,23-23,+3,A. Jackson makes 3-pt jump shot from 24 ft (assist by T. Prince)
2:36.0,LA Clippers full timeout,,23-23,,
2:36.0,N. Batum enters the game for D. Garland,,23-23,,
