1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Brooklyn,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,LA Lakers
12:00.0,Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession)
3:18.0,B. Saraf enters the game for N. TraorÃ©,,19-24,,
3:18.0,J. Wilson enters the game for Z. Williams,,19-24,,
3:18.0,,,19-24,,R. Hachimura misses free throw 2 of 2
3:15.0,Defensive rebound by O. Agbaji,,19-24,,
2:58.0,Shooting foul by A. Reaves (drawn by J. Minott),,19-24,,
2:58.0,J. Minott misses free throw 1 of 3,,19-24,,
2:58.0,Offensive rebound by Team,,19-24,,
2:58.0,J. Minott makes free throw 2 of 3,+1,20-24,,
2:58.0,T. Mann enters the game for N. Clowney,,20-24,,
2:58.0,J. Minott makes free throw 3 of 3,+1,21-24,,
2:41.0,,,21-24,,Shooting foul by O. Agbaji (drawn by J. Hayes)
2:41.0,,,21-24,,J. Hayes misses free throw 1 of 2
2:41.0,,,21-24,,Offensive rebound by Team
2:41.0,,,21-25,+1,J. Hayes makes free throw 2 of 2
2:24.0,B. Saraf makes 2-pt jump shot from 14 ft,+2,23-25,,
2:07.0,,,23-25,,L. DonÄiÄ misses 2-pt jump shot from 15 ft
2:04.0,Defensive rebound by T. Mann,,23-25,,
2:00.0,J. Wilson misses 3-pt jump shot from 27 ft,,23-25,,
1:57.0,Offensive rebound by O. Agbaji,,23-25,,
1:54.0,B. Saraf misses 3-pt jump shot from 29 ft,,23-25,,
1:51.0,,,23-25,,Defensive rebound by L. Kennard
1:50.0,,,23-27,+2,L. DonÄiÄ makes 2-pt jump shot from 4 ft (assist by L. Kennard)
1:36.0,B. Saraf misses 2-pt jump shot from 12 ft,,23-27,,
1:34.0,,,23-27,,Defensive rebound by J. Hayes
1:30.0,,,23-27,,L. DonÄiÄ misses 2-pt layup from 4 ft
1:27.0,Defensive rebound by B. Saraf,,23-27,,
1:22.0,J. Wilson misses 2-pt layup from 7 ft,,23-27,,
1:21.0,Offensive rebound by J. Wilson,,23-27,,
1:20.0,J. Wilson makes 2-pt layup from 8 ft,+2,25-27,,
1:04.0,,,25-29,+2,J. Hayes makes 2-pt dunk from 4 ft (assist by A. Reaves)
0:48.0,J. Minott misses 3-pt jump shot from 26 ft (block by L. DonÄiÄ),,25-29,,
0:42.0,Offensive rebound by J. Minott,,25-29,,
0:40.0,O. Agbaji misses 3-pt jump shot from 27 ft,,25-29,,
0:35.0,,,25-29,,Defensive rebound by L. Kennard
0:34.0,,,25-32,+3,L. DonÄiÄ makes 3-pt jump shot from 26 ft (assist by A. Reaves)
0:22.0,J. Minott makes 3-pt jump shot from 26 ft (assist by B. Saraf),+3,28-32,,
0:11.0,,,28-35,+3,L. Kennard makes 3-pt jump shot from 26 ft (assist by J. Hayes)
0:03.0,B. Saraf makes 2-pt jump shot from 5 ft,+2,30-35,,
0:01.0,,,30-35,,Team misses heave shot
0:00.0,,,30-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Brooklyn,,Score,,LA Lakers
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:43.0,T. Mann makes 2-pt jump shot from 16 ft (assist by B. Saraf),+2,32-35,,
11:17.0,,,32-35,,L. Kennard misses 2-pt jump shot from 4 ft
11:15.0,Defensive rebound by B. Saraf,,32-35,,
11:12.0,Turnover by B. Saraf (bad pass),,32-35,,
11:05.0,,,32-35,,Personal foul by J. Minott (drawn by L. James)
10:49.0,,,32-35,,Shooting foul by O. Agbaji (drawn by J. Hayes)
10:49.0,,,32-36,+1,J. Hayes makes free throw 1 of 2
10:49.0,,,32-37,+1,J. Hayes makes free throw 2 of 2
10:32.0,J. Minott makes 2-pt dunk from 3 ft (assist by T. Mann),+2,34-37,,
10:02.0,,,34-37,,J. LaRavia misses 3-pt jump shot from 23 ft
9:59.0,Defensive rebound by J. Wilson,,34-37,,
9:57.0,O. Agbaji makes 2-pt dunk from 4 ft (assist by J. Wilson),+2,36-37,,
9:57.0,,,36-37,,LA Lakers full timeout
9:57.0,,,36-37,,J. Vanderbilt enters the game for L. Kennard
9:34.0,,,36-37,,L. James misses 2-pt jump shot from 11 ft
9:32.0,Defensive rebound by O. Agbaji,,36-37,,
9:27.0,J. Wilson misses 3-pt jump shot from 26 ft,,36-37,,
9:23.0,Offensive rebound by J. Wilson,,36-37,,
9:20.0,T. Mann makes 3-pt jump shot from 23 ft (assist by J. Wilson),+3,39-37,,
9:00.0,,,39-37,,B. James misses 2-pt jump shot from 17 ft
8:57.0,Defensive rebound by O. Agbaji,,39-37,,
8:47.0,B. Saraf makes 2-pt layup from 5 ft,+2,41-37,,
8:30.0,,,41-39,+2,L. James makes 2-pt layup from 2 ft
8:08.0,J. Wilson makes 3-pt jump shot from 25 ft (assist by T. Mann),+3,44-39,,
7:50.0,,,44-42,+3,B. James makes 3-pt jump shot from 26 ft (assist by L. James)
7:41.0,J. Minott misses 3-pt jump shot from 26 ft,,44-42,,
7:38.0,,,44-42,,Defensive rebound by J. Vanderbilt
7:34.0,,,44-42,,Shooting foul by T. Mann (drawn by L. James)
7:34.0,,,44-43,+1,L. James makes free throw 1 of 2
7:34.0,N. Claxton enters the game for J. Minott,,44-43,,
7:34.0,Z. Williams enters the game for J. Wilson,,44-43,,
7:34.0,,,44-43,,D. Ayton enters the game for J. Hayes
7:34.0,,,44-43,,L. DonÄiÄ enters the game for B. James
7:34.0,,,44-43,,A. Reaves enters the game for J. LaRavia
7:34.0,,,44-44,+1,L. James makes free throw 2 of 2
7:13.0,Z. Williams misses 3-pt jump shot from 23 ft,,44-44,,
7:10.0,,,44-44,,Defensive rebound by A. Reaves
7:01.0,,,44-44,,Shooting foul by B. Saraf (drawn by L. James)
7:01.0,,,44-44,,L. James misses free throw 1 of 2
7:01.0,,,44-44,,Offensive rebound by Team
7:01.0,N. Clowney enters the game for O. Agbaji,,44-44,,
7:01.0,N. TraorÃ© enters the game for B. Saraf,,44-44,,
7:01.0,,,44-44,,L. James misses free throw 2 of 2
6:58.0,Defensive rebound by N. Claxton,,44-44,,
6:41.0,N. TraorÃ© misses 3-pt jump shot from 26 ft,,44-44,,
6:40.0,,,44-44,,Defensive rebound by Team
6:25.0,,,44-47,+3,L. DonÄiÄ makes 3-pt jump shot from 25 ft (assist by A. Reaves)
6:11.0,N. Claxton misses 2-pt hook shot from 7 ft,,44-47,,
6:09.0,,,44-47,,Defensive rebound by D. Ayton
5:55.0,,,44-49,+2,A. Reaves makes 2-pt layup from 5 ft
5:34.0,Personal foul by D. Ayton (drawn by N. Clowney),,44-49,,
5:34.0,,,44-49,,R. Hachimura enters the game for L. James
5:24.0,Turnover by N. Clowney (lost ball; steal by D. Ayton),,44-49,,
5:13.0,,,44-51,+2,L. DonÄiÄ makes 2-pt jump shot from 21 ft
4:57.0,N. Claxton makes 2-pt dunk from 4 ft (assist by N. TraorÃ©),+2,46-51,,
4:48.0,,,46-51,,L. DonÄiÄ misses 3-pt jump shot from 26 ft
4:44.0,,,46-51,,Offensive rebound by L. DonÄiÄ
4:44.0,,,46-51,,Shooting foul by T. Mann (drawn by D. Ayton)
4:44.0,,,46-52,+1,D. Ayton makes free throw 1 of 2
4:44.0,Brooklyn full timeout,,46-52,,
4:44.0,D. Powell enters the game for T. Mann,,46-52,,
4:44.0,,,46-52,,J. LaRavia enters the game for J. Vanderbilt
4:44.0,,,46-52,,D. Ayton misses free throw 2 of 2
4:42.0,Defensive rebound by Z. Williams,,46-52,,
4:27.0,N. TraorÃ© misses 2-pt layup from 6 ft,,46-52,,
4:25.0,,,46-52,,Defensive rebound by J. LaRavia
4:12.0,,,46-52,,R. Hachimura misses 2-pt jump shot from 13 ft
4:11.0,Defensive rebound by Team,,46-52,,
4:11.0,,,46-52,,Loose ball foul by D. Ayton (drawn by Z. Williams)
3:58.0,N. TraorÃ© misses 2-pt layup from 3 ft,,46-52,,
3:56.0,,,46-52,,Defensive rebound by D. Ayton
3:51.0,,,46-52,,Shooting foul by N. TraorÃ© (drawn by L. DonÄiÄ)
3:51.0,,,46-53,+1,L. DonÄiÄ makes free throw 1 of 2
3:51.0,,,46-54,+1,L. DonÄiÄ makes free throw 2 of 2
3:32.0,Turnover by D. Powell (lost ball; steal by L. DonÄiÄ),,46-54,,
3:21.0,,,46-54,,R. Hachimura misses 3-pt jump shot from 25 ft
3:19.0,Defensive rebound by Team,,46-54,,
3:19.0,,,46-54,,L. James enters the game for A. Reaves
3:01.0,N. TraorÃ© makes 2-pt jump shot from 19 ft (assist by N. Claxton),+2,48-54,,
2:37.0,,,48-54,,L. DonÄiÄ misses 3-pt jump shot from 28 ft
2:36.0,Defensive rebound by Team,,48-54,,
2:22.0,Z. Williams misses 2-pt layup from 4 ft (block by D. Ayton),,48-54,,
2:17.0,Offensive rebound by N. Claxton,,48-54,,
2:17.0,N. Claxton makes 2-pt layup from 2 ft,+2,50-54,,
2:02.0,,,50-56,+2,R. Hachimura makes 2-pt dunk from 3 ft (assist by L. DonÄiÄ)
1:46.0,N. TraorÃ© makes 2-pt layup from 4 ft,+2,52-56,,
1:41.0,,,52-56,,Offensive foul by J. LaRavia (drawn by Z. Williams)
1:41.0,,,52-56,,Turnover by J. LaRavia (offensive foul)
1:41.0,,,52-56,,A. Reaves enters the game for J. LaRavia
1:25.0,N. TraorÃ© misses 2-pt jump shot from 7 ft,,52-56,,
1:21.0,Offensive rebound by N. Claxton,,52-56,,
1:21.0,N. Claxton makes 2-pt layup at rim,+2,54-56,,
1:02.0,,,54-58,+2,R. Hachimura makes 2-pt jump shot from 15 ft (assist by L. James)
0:50.0,N. TraorÃ© misses 3-pt jump shot from 28 ft,,54-58,,
0:49.0,Offensive rebound by N. Claxton,,54-58,,
0:49.0,N. Claxton makes 2-pt dunk at rim,+2,56-58,,
0:36.0,,,56-61,+3,L. DonÄiÄ makes 3-pt jump shot from 30 ft
0:27.0,D. Powell misses 3-pt jump shot from 26 ft,,56-61,,
0:24.0,,,56-61,,Defensive rebound by D. Ayton
0:03.0,,,56-61,,Turnover by L. DonÄiÄ (lost ball; steal by N. Clowney)
0:00.0,N. TraorÃ© makes 3-pt jump shot from 27 ft (assist by N. Clowney),+3,59-61,,
0:00.0,Instant Replay (Request: Ruling Stands),,59-61,,
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Brooklyn,,Score,,LA Lakers
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:51.0,Personal foul by J. LaRavia (drawn by Z. Williams),,59-61,,
