Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nolan Traor̩,25:38,.321,.321,.286,.000,0.0,5.7,2.2,40.3,7.6,0.0,30.0,32.1,61,107,-8.0
Ziaire Williams,25:12,.481,.464,.286,.429,3.5,5.8,4.4,13.3,5.8,0.0,5.7,28.8,99,111,1.9
Noah Clowney,23:54,.417,.417,.833,.000,0.0,18.3,6.9,11.2,2.0,0.0,14.3,12.1,83,119,-6.3
Nic Claxton,23:04,.800,.800,.000,.000,11.6,25.2,16.7,26.7,0.0,4.6,0.0,17.8,168,120,15.2
Drake Powell,21:53,.595,.500,.600,.400,0.0,0.0,0.0,6.2,0.0,0.0,14.5,12.9,108,126,-5.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Minott,25:58,.654,.667,.750,.333,6.8,22.4,12.7,0.0,1.9,0.0,6.8,23.4,120,119,5.4
Ben Saraf,22:22,.417,.417,.083,.000,4.0,13.0,7.4,14.7,2.2,0.0,7.7,23.9,87,119,-7.4
Terance Mann,21:47,.625,.625,.500,.000,0.0,26.7,10.1,12.4,2.2,4.9,0.0,7.6,137,113,0.3
Ochai Agbaji,21:00,.167,.167,.667,.000,8.5,20.8,13.1,6.1,0.0,0.0,0.0,11.8,63,123,-12.4
Jalen Wilson,14:51,.365,.318,.545,.273,12.0,39.2,22.3,21.3,0.0,0.0,14.0,39.7,78,121,-10.0
Chaney Johnson,14:21,.500,.500,.500,.000,6.2,10.1,7.7,18.3,0.0,0.0,33.3,8.6,97,124,-7.9
Tyson Etienne,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
E.J. Liddell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malachi Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.482,.469,.406,.156,22.2,81.8,44.8,60.0,11.1,4.4,12.0,100.0,99.9,117.0,
