style,tip
top:230px;left:77px;,"1st quarter, 11:32.0 remaining<br>Noah Clowney missed 3-pointer from 26 ft<br>Brooklyn tied 0-0"
top:278px;left:150px;,"1st quarter, 10:59.0 remaining<br>Noah Clowney missed 3-pointer from 26 ft<br>Brooklyn trails 0-2"
top:65px;left:476px;,"1st quarter, 10:41.0 remaining<br>Nolan Traor̩ missed 3-pointer from 24 ft<br>Brooklyn trails 0-2"
top:214px;left:56px;,"1st quarter, 10:16.0 remaining<br>Ziaire Williams missed 3-pointer from 26 ft<br>Brooklyn trails 0-4"
top:61px;left:265px;,"1st quarter, 9:36.0 remaining<br>Nolan Traor̩ missed 2-pointer from 4 ft<br>Brooklyn trails 2-6"
top:281px;left:388px;,"1st quarter, 9:32.0 remaining<br>Noah Clowney missed 3-pointer from 29 ft<br>Brooklyn trails 2-6"
top:64px;left:135px;,"1st quarter, 8:59.0 remaining<br>Ziaire Williams made 2-pointer from 11 ft<br>Brooklyn now trails 4-8"
top:139px;left:207px;,"1st quarter, 8:28.0 remaining<br>Ziaire Williams missed 2-pointer from 11 ft<br>Brooklyn trails 4-11"
top:116px;left:256px;,"1st quarter, 7:54.0 remaining<br>Drake Powell missed 2-pointer from 9 ft<br>Brooklyn trails 4-13"
top:99px;left:6px;,"1st quarter, 7:26.0 remaining<br>Drake Powell missed 3-pointer from 24 ft<br>Brooklyn trails 4-15"
top:245px;left:403px;,"1st quarter, 7:00.0 remaining<br>Drake Powell made 3-pointer from 27 ft<br>Brooklyn now trails 7-15"
top:63px;left:265px;,"1st quarter, 6:17.0 remaining<br>Nolan Traor̩ missed 2-pointer from 4 ft<br>Brooklyn trails 7-17"
top:66px;left:471px;,"1st quarter, 5:56.0 remaining<br>Ziaire Williams made 3-pointer from 23 ft<br>Brooklyn now trails 10-19"
top:55px;left:246px;,"1st quarter, 5:26.0 remaining<br>Nic Claxton made 2-pointer from 3 ft<br>Brooklyn now trails 12-22"
top:65px;left:225px;,"1st quarter, 4:59.0 remaining<br>Nolan Traor̩ made 2-pointer from 4 ft<br>Brooklyn now trails 14-22"
top:61px;left:228px;,"1st quarter, 4:31.0 remaining<br>Nic Claxton made 2-pointer from 3 ft<br>Brooklyn now trails 16-22"
top:65px;left:7px;,"1st quarter, 3:46.0 remaining<br>Josh Minott made 3-pointer from 24 ft<br>Brooklyn now trails 19-24"
top:75px;left:232px;,"1st quarter, 3:22.0 remaining<br>Ziaire Williams missed 2-pointer from 5 ft<br>Brooklyn trails 19-24"
