style,tip
top:47px;left:307px;,"2nd quarter, 1:33.0 remaining<br>Amen Thompson made 2-pointer from 7 ft<br>Houston now leads 53-45"
top:96px;left:246px;,"2nd quarter, 0:41.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 7 ft<br>Houston leads 54-49"
top:31px;left:240px;,"2nd quarter, 0:37.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 0 ft<br>Houston leads 54-49"
top:33px;left:236px;,"2nd quarter, 0:03.0 remaining<br>Amen Thompson made 2-pointer from 1 ft<br>Houston now leads 56-49"
top:95px;left:232px;,"3rd quarter, 11:46.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 7 ft<br>Houston now leads 58-49"
top:189px;left:46px;,"3rd quarter, 11:10.0 remaining<br>Reed Sheppard made 3-pointer from 25 ft<br>Houston now leads 61-52"
top:160px;left:226px;,"3rd quarter, 10:30.0 remaining<br>Kevin Durant made 2-pointer from 13 ft<br>Houston now leads 63-55"
top:254px;left:367px;,"3rd quarter, 9:54.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 26 ft<br>Houston leads 63-58"
top:101px;left:297px;,"3rd quarter, 8:53.0 remaining<br>Amen Thompson missed 2-pointer from 9 ft<br>Houston leads 64-62"
top:106px;left:254px;,"3rd quarter, 7:23.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 8 ft<br>Houston leads 66-64"
top:44px;left:245px;,"3rd quarter, 7:20.0 remaining<br>Amen Thompson missed 2-pointer from 2 ft<br>Houston leads 66-64"
top:62px;left:238px;,"3rd quarter, 7:19.0 remaining<br>Amen Thompson missed 2-pointer from 3 ft<br>Houston leads 66-64"
top:36px;left:261px;,"3rd quarter, 6:17.0 remaining<br>Tari Eason missed 2-pointer from 2 ft<br>Houston leads 69-65"
top:262px;left:352px;,"3rd quarter, 5:56.0 remaining<br>Tari Eason missed 3-pointer from 26 ft<br>Houston leads 69-65"
top:88px;left:247px;,"3rd quarter, 5:24.0 remaining<br>Kevin Durant made 2-pointer from 6 ft<br>Houston now leads 71-65"
top:39px;left:255px;,"3rd quarter, 4:46.0 remaining<br>Tari Eason made 2-pointer from 2 ft<br>Houston now leads 73-67"
top:33px;left:250px;,"3rd quarter, 4:21.0 remaining<br>Jabari Smith Jr. made 2-pointer from 1 ft<br>Houston now leads 75-67"
top:34px;left:470px;,"3rd quarter, 3:42.0 remaining<br>Tari Eason made 3-pointer from 23 ft<br>Houston now leads 78-69"
top:103px;left:216px;,"3rd quarter, 3:04.0 remaining<br>Reed Sheppard made 2-pointer from 8 ft<br>Houston now leads 80-71"
top:34px;left:248px;,"3rd quarter, 2:43.0 remaining<br>Amen Thompson made 2-pointer from 1 ft<br>Houston now leads 82-73"
top:275px;left:168px;,"3rd quarter, 1:58.0 remaining<br>Kevin Durant made 3-pointer from 26 ft<br>Houston now leads 85-76"
top:133px;left:287px;,"3rd quarter, 1:34.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 11 ft<br>Houston leads 85-76"
top:43px;left:229px;,"3rd quarter, 1:28.0 remaining<br>Amen Thompson made 2-pointer from 2 ft<br>Houston now leads 87-76"
top:58px;left:224px;,"3rd quarter, 0:58.0 remaining<br>Tari Eason missed 2-pointer from 3 ft<br>Houston leads 87-78"
top:243px;left:383px;,"3rd quarter, 0:33.0 remaining<br>Kevin Durant missed 3-pointer from 26 ft<br>Houston leads 87-80"
top:38px;left:221px;,"3rd quarter, 0:19.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 2 ft<br>Houston leads 87-80"
top:44px;left:247px;,"4th quarter, 11:25.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 2 ft<br>Houston leads 87-82"
top:30px;left:240px;,"4th quarter, 11:23.0 remaining<br>Amen Thompson made 2-pointer from 0 ft<br>Houston now leads 89-82"
top:46px;left:253px;,"4th quarter, 10:08.0 remaining<br>Reed Sheppard missed 2-pointer from 2 ft<br>Houston leads 89-84"
top:30px;left:240px;,"4th quarter, 10:06.0 remaining<br>Clint Capela made 2-pointer from 0 ft<br>Houston now leads 91-84"
top:48px;left:478px;,"4th quarter, 9:37.0 remaining<br>Amen Thompson made 3-pointer from 24 ft<br>Houston now leads 94-86"
top:42px;left:259px;,"4th quarter, 9:06.0 remaining<br>Reed Sheppard missed 2-pointer from 2 ft<br>Houston leads 94-86"
top:288px;left:250px;,"4th quarter, 7:30.0 remaining<br>Reed Sheppard missed 3-pointer from 26 ft<br>Houston leads 96-91"
top:239px;left:101px;,"4th quarter, 7:03.0 remaining<br>Kevin Durant made 3-pointer from 25 ft<br>Houston now leads 99-93"
top:34px;left:245px;,"4th quarter, 6:22.0 remaining<br>Tari Eason made 2-pointer from 1 ft<br>Houston now leads 101-93"
top:38px;left:250px;,"4th quarter, 5:31.0 remaining<br>Jabari Smith Jr. made 2-pointer from 1 ft<br>Houston now leads 105-93"
top:46px;left:244px;,"4th quarter, 4:19.0 remaining<br>Tari Eason made 2-pointer from 2 ft<br>Houston now leads 110-96"
top:265px;left:346px;,"4th quarter, 3:30.0 remaining<br>Kevin Durant made 3-pointer from 26 ft<br>Houston now leads 113-100"
top:38px;left:255px;,"4th quarter, 3:00.0 remaining<br>Amen Thompson missed 2-pointer from 2 ft<br>Houston leads 113-102"
top:51px;left:15px;,"4th quarter, 2:19.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 23 ft<br>Houston leads 113-102"
top:75px;left:141px;,"4th quarter, 1:17.0 remaining<br>Kevin Durant missed 2-pointer from 11 ft<br>Houston leads 113-106"
top:49px;left:477px;,"4th quarter, 1:05.0 remaining<br>Tari Eason missed 3-pointer from 24 ft<br>Houston leads 113-106"
top:39px;left:261px;,"4th quarter, 1:02.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 2 ft<br>Houston leads 113-106"
top:30px;left:240px;,"4th quarter, 1:01.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 0 ft<br>Houston leads 113-106"
top:30px;left:240px;,"4th quarter, 0:58.0 remaining<br>Jabari Smith Jr. made 2-pointer from 0 ft<br>Houston now leads 115-106"
top:33px;left:233px;,"4th quarter, 0:39.0 remaining<br>Jabari Smith Jr. made 2-pointer from 1 ft<br>Houston now leads 117-109"
top:43px;left:239px;,"4th quarter, 0:29.0 remaining<br>Tari Eason made 2-pointer from 1 ft<br>Houston now leads 119-109"
