1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Houston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: A. ÅengÃ¼n vs. T. Hendricks (J. Small gains possession),Jump ball: A. ÅengÃ¼n vs. T. Hendricks (J. Small gains possession),Jump ball: A. ÅengÃ¼n vs. T. Hendricks (J. Small gains possession),Jump ball: A. ÅengÃ¼n vs. T. Hendricks (J. Small gains possession),Jump ball: A. ÅengÃ¼n vs. T. Hendricks (J. Small gains possession)
11:49.0,,,0-0,,Turnover by J. Small (bad pass)
11:25.0,R. Sheppard misses 3-pt jump shot from 28 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by O. Prosper
11:18.0,,,0-2,+2,J. Small makes 2-pt layup from 2 ft (assist by O. Prosper)
10:58.0,J. Smith makes 3-pt jump shot from 25 ft (assist by A. ÅengÃ¼n),+3,3-2,,
10:46.0,,,3-5,+3,G. Jackson makes 3-pt jump shot from 26 ft (assist by J. Small)
10:33.0,Turnover by A. Thompson (bad pass; steal by T. Hendricks),,3-5,,
10:28.0,,,3-5,,Turnover by T. Hendricks (lost ball; steal by R. Sheppard)
10:13.0,A. ÅengÃ¼n makes 2-pt dunk from 1 ft (assist by K. Durant),+2,5-5,,
10:02.0,,,5-8,+3,O. Prosper makes 3-pt jump shot from 26 ft (assist by J. Small)
9:44.0,K. Durant misses 3-pt jump shot from 23 ft,,5-8,,
9:42.0,,,5-8,,Defensive rebound by J. Small
9:36.0,,,5-8,,Turnover by J. Small (lost ball; steal by R. Sheppard)
9:30.0,A. Thompson misses 2-pt layup from 6 ft,,5-8,,
9:28.0,,,5-8,,Defensive rebound by C. Coward
9:24.0,,,5-8,,O. Prosper misses 2-pt layup from 2 ft
9:19.0,Defensive rebound by A. ÅengÃ¼n,,5-8,,
9:16.0,R. Sheppard makes 2-pt layup from 1 ft,+2,7-8,,
9:03.0,,,7-10,+2,G. Jackson makes 2-pt dunk from 1 ft
8:56.0,Personal foul by O. Prosper (drawn by R. Sheppard),,7-10,,
8:49.0,J. Smith misses 3-pt jump shot from 23 ft,,7-10,,
8:47.0,,,7-10,,Defensive rebound by T. Hendricks
8:39.0,,,7-10,,T. Hendricks misses 3-pt jump shot from 26 ft
8:36.0,Defensive rebound by J. Smith,,7-10,,
8:21.0,A. Thompson misses 3-pt jump shot from 22 ft,,7-10,,
8:19.0,Offensive rebound by A. ÅengÃ¼n,,7-10,,
8:15.0,R. Sheppard misses 2-pt jump shot from 10 ft,,7-10,,
8:13.0,Offensive rebound by R. Sheppard,,7-10,,
8:10.0,J. Smith misses 3-pt jump shot from 25 ft,,7-10,,
8:08.0,Offensive rebound by J. Smith,,7-10,,
8:05.0,Turnover by J. Smith (bad pass; steal by J. Small),,7-10,,
8:02.0,,,7-12,+2,J. Small makes 2-pt dunk from 1 ft
7:45.0,R. Sheppard misses 3-pt jump shot from 26 ft,,7-12,,
7:42.0,,,7-12,,Defensive rebound by T. Hendricks
7:38.0,,,7-12,,T. Hendricks misses 2-pt layup from 4 ft
7:35.0,Defensive rebound by K. Durant,,7-12,,
7:32.0,K. Durant makes 2-pt jump shot from 11 ft,+2,9-12,,
7:22.0,,,9-12,,Personal foul by A. Thompson (drawn by C. Coward)
7:22.0,A. Holiday enters the game for A. Thompson,,9-12,,
7:22.0,,,9-12,,T. Burton enters the game for C. Coward
7:22.0,,,9-12,,D. Jarreau enters the game for G. Jackson
7:22.0,,,9-12,,C. Spencer enters the game for O. Prosper
7:11.0,,,9-12,,T. Hendricks misses 3-pt jump shot from 22 ft
7:07.0,Defensive rebound by R. Sheppard,,9-12,,
6:52.0,J. Smith misses 2-pt jump shot from 8 ft,,9-12,,
6:48.0,,,9-12,,Defensive rebound by D. Jarreau
6:46.0,,,9-15,+3,J. Small makes 3-pt jump shot from 26 ft (assist by D. Jarreau)
6:25.0,K. Durant makes 2-pt jump shot from 14 ft (assist by A. ÅengÃ¼n),+2,11-15,,
6:14.0,,,11-15,,D. Jarreau misses 3-pt jump shot from 26 ft
6:12.0,Defensive rebound by K. Durant,,11-15,,
6:06.0,Turnover by R. Sheppard (bad pass),,11-15,,
6:06.0,,,11-15,,Memphis full timeout
6:06.0,C. Capela enters the game for A. ÅengÃ¼n,,11-15,,
6:06.0,T. Eason enters the game for J. Smith,,11-15,,
6:06.0,,,11-15,,W. Clayton enters the game for J. Small
5:49.0,,,11-15,,D. Jarreau misses 2-pt jump shot from 13 ft
5:47.0,Defensive rebound by R. Sheppard,,11-15,,
5:35.0,R. Sheppard misses 2-pt jump shot from 8 ft,,11-15,,
5:30.0,,,11-15,,Defensive rebound by W. Clayton
5:21.0,,,11-15,,T. Hendricks misses 2-pt layup from 5 ft (block by C. Capela)
5:18.0,Defensive rebound by K. Durant,,11-15,,
5:04.0,R. Sheppard misses 3-pt jump shot from 26 ft,,11-15,,
5:01.0,,,11-15,,Defensive rebound by T. Hendricks
4:56.0,,,11-15,,T. Burton misses 3-pt jump shot from 26 ft (block by R. Sheppard)
4:53.0,,,11-15,,Offensive rebound by T. Burton
4:49.0,,,11-18,+3,C. Spencer makes 3-pt jump shot from 26 ft (assist by D. Jarreau)
4:31.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by R. Sheppard),+3,14-18,,
4:16.0,,,14-20,+2,C. Spencer makes 2-pt jump shot from 11 ft
4:01.0,A. Holiday makes 3-pt jump shot from 27 ft (assist by K. Durant),+3,17-20,,
3:46.0,,,17-20,,C. Spencer misses 2-pt jump shot from 10 ft
3:45.0,Defensive rebound by K. Durant,,17-20,,
3:38.0,R. Sheppard makes 3-pt jump shot from 25 ft (assist by K. Durant),+3,20-20,,
3:20.0,,,20-22,+2,D. Jarreau makes 2-pt jump shot from 13 ft (assist by C. Spencer)
3:05.0,Shooting foul by D. Jarreau (drawn by K. Durant),,20-22,,
3:05.0,K. Durant makes free throw 1 of 2,+1,21-22,,
3:05.0,J. Smith enters the game for C. Capela,,21-22,,
3:05.0,A. Thompson enters the game for R. Sheppard,,21-22,,
3:05.0,,,21-22,,G. Jackson enters the game for T. Hendricks
3:05.0,,,21-22,,O. Prosper enters the game for D. Jarreau
3:05.0,K. Durant makes free throw 2 of 2,+1,22-22,,
2:56.0,,,22-22,,W. Clayton misses 3-pt jump shot from 25 ft
2:53.0,Defensive rebound by J. Smith,,22-22,,
2:44.0,T. Eason makes 2-pt dunk from 1 ft (assist by K. Durant),+2,24-22,,
2:44.0,,,24-22,,Memphis full timeout
2:44.0,A. ÅengÃ¼n enters the game for A. Holiday,,24-22,,
2:25.0,,,24-22,,T. Burton misses 3-pt jump shot from 26 ft
2:22.0,Defensive rebound by K. Durant,,24-22,,
2:19.0,A. ÅengÃ¼n makes 2-pt layup from 1 ft (assist by K. Durant),+2,26-22,,
2:06.0,,,26-22,,T. Burton misses 3-pt jump shot from 26 ft
2:04.0,Defensive rebound by Team,,26-22,,
2:04.0,,,26-22,,C. Coward enters the game for T. Burton
2:04.0,,,26-22,,T. Gibson enters the game for C. Spencer
1:39.0,T. Eason misses 2-pt jump shot from 17 ft,,26-22,,
1:36.0,Offensive rebound by J. Smith,,26-22,,
1:34.0,A. ÅengÃ¼n makes 2-pt layup from 1 ft (assist by J. Smith),+2,28-22,,
1:24.0,,,28-22,,G. Jackson misses 3-pt jump shot from 26 ft
1:19.0,Defensive rebound by J. Smith,,28-22,,
1:19.0,Turnover by J. Smith (lost ball; steal by O. Prosper),,28-22,,
1:16.0,,,28-24,+2,T. Gibson makes 2-pt layup from 1 ft (assist by O. Prosper)
1:09.0,Technical foul by J. Smith,,28-24,,
1:09.0,,,28-25,+1,C. Coward makes technical free throw
1:03.0,Shooting foul by O. Prosper (drawn by A. Thompson),,28-25,,
1:03.0,A. Thompson makes free throw 1 of 2,+1,29-25,,
1:03.0,A. Thompson makes free throw 2 of 2,+1,30-25,,
0:49.0,,,30-27,+2,G. Jackson makes 2-pt layup from 7 ft
0:34.0,A. Thompson makes 2-pt dunk from 1 ft (assist by A. ÅengÃ¼n),+2,32-27,,
0:26.0,,,32-27,,W. Clayton misses 2-pt jump shot from 13 ft
0:24.0,Defensive rebound by Team,,32-27,,
0:01.0,Turnover by A. ÅengÃ¼n (bad pass; steal by T. Gibson),,32-27,,
0:00.0,,,32-30,+3,G. Jackson makes 3-pt jump shot from 49 ft (assist by T. Gibson)
0:00.0,,,32-30,,Instant Replay (Request: Ruling Stands)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Houston,,Score,,Memphis
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:43.0,A. Holiday misses 3-pt jump shot from 27 ft,,32-30,,
11:37.0,,,32-30,,Defensive rebound by C. Spencer
11:26.0,,,32-30,,Turnover by C. Spencer (lost ball; steal by A. Thompson)
11:05.0,A. Thompson misses 2-pt jump shot from 23 ft,,32-30,,
11:02.0,,,32-30,,Defensive rebound by C. Spencer
10:58.0,,,32-30,,J. Small misses 2-pt layup from 3 ft (block by A. Thompson)
10:54.0,Defensive rebound by J. Smith,,32-30,,
10:41.0,A. ÅengÃ¼n makes 2-pt hook shot from 6 ft,+2,34-30,,
10:27.0,,,34-32,+2,C. Coward makes 2-pt jump shot from 16 ft (assist by T. Gibson)
10:13.0,J. Smith makes 3-pt jump shot from 25 ft (assist by A. ÅengÃ¼n),+3,37-32,,
9:57.0,,,37-34,+2,T. Gibson makes 2-pt hook shot from 6 ft (assist by C. Spencer)
9:35.0,J. Tate makes 2-pt layup from 2 ft,+2,39-34,,
9:20.0,,,39-34,,Offensive foul by T. Gibson (drawn by A. Thompson)
9:20.0,,,39-34,,Turnover by T. Gibson (offensive foul)
9:20.0,,,39-34,,T. Hendricks enters the game for T. Gibson
9:07.0,A. ÅengÃ¼n makes 2-pt dunk from 1 ft (assist by J. Smith),+2,41-34,,
8:49.0,,,41-34,,G. Jackson misses 3-pt jump shot from 25 ft
8:47.0,Defensive rebound by A. Holiday,,41-34,,
8:30.0,J. Tate misses 3-pt jump shot from 25 ft,,41-34,,
8:26.0,,,41-34,,Defensive rebound by C. Coward
