1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,New Orleans,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Toronto
12:00.0,Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession)
2:53.0,,,18-23,,S. Mamukelashvili misses 3-pt jump shot from 26 ft
2:50.0,Defensive rebound by D. Jordan,,18-23,,
2:42.0,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Poole),+2,20-23,,
2:24.0,,,20-23,,S. Mamukelashvili misses 3-pt jump shot from 25 ft
2:22.0,Defensive rebound by J. Hawkins,,20-23,,
2:10.0,J. Poole misses 3-pt jump shot from 30 ft,,20-23,,
2:07.0,,,20-23,,Defensive rebound by C. Murray-Boyles
1:53.0,,,20-25,+2,S. Barnes makes 2-pt dunk from 1 ft (assist by J. Shead)
1:37.0,Z. Williamson makes 2-pt layup from 3 ft (assist by J. Poole),+2,22-25,,
1:33.0,,,22-25,,Shooting foul by J. Poole (drawn by S. Barnes)
1:33.0,,,22-26,+1,S. Barnes makes free throw 1 of 2
1:33.0,S. Bey enters the game for H. Jones,,22-26,,
1:33.0,D. Queen enters the game for Z. Williamson,,22-26,,
1:33.0,,,22-26,,R. Barrett enters the game for J. Shead
1:33.0,,,22-27,+1,S. Barnes makes free throw 2 of 2
1:13.0,D. Queen misses 2-pt jump shot from 13 ft,,22-27,,
1:09.0,Offensive rebound by S. Bey,,22-27,,
1:08.0,J. Hawkins makes 3-pt jump shot from 25 ft (assist by S. Bey),+3,25-27,,
1:01.0,,,25-27,,Turnover by S. Barnes (bad pass)
0:52.0,D. Queen misses 2-pt hook shot from 3 ft,,25-27,,
0:46.0,Offensive rebound by D. Jordan,,25-27,,
0:46.0,D. Jordan misses 2-pt dunk at rim (block by C. Murray-Boyles),,25-27,,
0:46.0,,,25-27,,Defensive rebound by S. Barnes
0:46.0,,,25-29,+2,R. Barrett makes 2-pt layup from 2 ft (assist by S. Barnes)
0:39.0,Personal foul by R. Barrett (drawn by J. Poole),,25-29,,
0:39.0,,,25-29,,J. Poeltl enters the game for S. Mamukelashvili
0:35.0,J. Poole misses 2-pt jump shot from 20 ft,,25-29,,
0:32.0,,,25-29,,Defensive rebound by A. Lawson
0:26.0,,,25-29,,Turnover by J. Poeltl (traveling)
0:01.0,J. Hawkins misses 2-pt jump shot from 17 ft,,25-29,,
0:01.0,Offensive rebound by Team,,25-29,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,New Orleans,,Score,,Toronto
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:40.0,Shooting foul by R. Barrett (drawn by S. Bey),,25-29,,
11:40.0,S. Bey makes free throw 1 of 2,+1,26-29,,
11:40.0,S. Bey makes free throw 2 of 2,+1,27-29,,
11:30.0,,,27-29,,R. Barrett misses 2-pt layup from 5 ft (block by D. Jordan)
11:30.0,,,27-29,,Offensive rebound by Team
11:26.0,,,27-31,+2,J. Walter makes 2-pt jump shot from 12 ft (assist by S. Barnes)
11:09.0,D. Queen misses 2-pt jump shot from 6 ft,,27-31,,
11:07.0,,,27-31,,Defensive rebound by S. Mamukelashvili
11:04.0,,,27-33,+2,J. Walter makes 2-pt dunk from 1 ft (assist by S. Barnes)
10:43.0,S. Bey misses 2-pt layup from 5 ft (block by S. Mamukelashvili),,27-33,,
10:43.0,,,27-33,,Defensive rebound by Team
10:25.0,,,27-36,+3,S. Mamukelashvili makes 3-pt jump shot from 25 ft (assist by S. Barnes)
10:09.0,J. Poole makes 2-pt layup from 2 ft,+2,29-36,,
9:59.0,,,29-36,,S. Barnes misses 2-pt jump shot from 15 ft
9:54.0,,,29-36,,Offensive rebound by S. Mamukelashvili
9:54.0,,,29-38,+2,S. Mamukelashvili makes 2-pt layup at rim
9:43.0,Personal foul by J. Poeltl (drawn by D. Queen),,29-38,,
9:43.0,K. MatkoviÄ enters the game for D. Jordan,,29-38,,
9:30.0,J. Poole misses 3-pt jump shot from 28 ft,,29-38,,
9:29.0,Offensive rebound by Team,,29-38,,
9:29.0,Turnover by Team (shot clock),,29-38,,
9:10.0,,,29-38,,S. Mamukelashvili misses 2-pt dunk from 2 ft
9:08.0,Defensive rebound by K. MatkoviÄ,,29-38,,
9:01.0,K. MatkoviÄ makes 2-pt layup from 3 ft (assist by J. Hawkins),+2,31-38,,
8:54.0,,,31-40,+2,S. Mamukelashvili makes 2-pt dunk from 1 ft (assist by S. Barnes)
8:39.0,Violation by Team (kicked ball),,31-40,,
8:39.0,,,31-40,,J. Shead enters the game for S. Barnes
8:25.0,,,31-40,,Shooting foul by J. Hawkins (drawn by R. Barrett)
8:25.0,,,31-41,+1,R. Barrett makes free throw 1 of 2
8:25.0,,,31-41,,C. Murray-Boyles enters the game for J. Poeltl
8:25.0,,,31-42,+1,R. Barrett makes free throw 2 of 2
8:12.0,J. Hawkins misses 3-pt jump shot from 27 ft,,31-42,,
8:09.0,,,31-42,,Defensive rebound by S. Mamukelashvili
8:04.0,,,31-42,,C. Murray-Boyles misses 2-pt layup from 2 ft
8:03.0,Defensive rebound by K. MatkoviÄ,,31-42,,
7:50.0,J. Hawkins misses 2-pt layup from 4 ft,,31-42,,
7:48.0,,,31-42,,Defensive rebound by S. Mamukelashvili
7:42.0,,,31-42,,J. Walter misses 2-pt layup from 5 ft
7:40.0,Defensive rebound by D. Queen,,31-42,,
7:35.0,S. Bey misses 3-pt jump shot from 27 ft,,31-42,,
7:31.0,Offensive rebound by K. MatkoviÄ,,31-42,,
7:26.0,D. Queen makes 2-pt layup from 2 ft (assist by J. Poole),+2,33-42,,
7:16.0,,,33-42,,J. Walter misses 3-pt jump shot from 24 ft
7:14.0,Defensive rebound by K. MatkoviÄ,,33-42,,
7:04.0,Turnover by D. Queen (lost ball; steal by J. Shead),,33-42,,
