style,tip
top:23px;left:253px;,"2nd quarter, 2:14.0 remaining<br>Jakob Poeltl made 2-pointer from 1 ft<br>Toronto now leads 54-33"
top:85px;left:222px;,"2nd quarter, 1:13.0 remaining<br>Collin Murray-Boyles made 2-pointer from 6 ft<br>Toronto now leads 56-39"
top:137px;left:12px;,"2nd quarter, 0:33.0 remaining<br>Ja'Kobe Walter made 3-pointer from 25 ft<br>Toronto now leads 59-42"
top:290px;left:230px;,"3rd quarter, 11:18.0 remaining<br>Brandon Ingram made 3-pointer from 26 ft<br>Toronto now leads 62-46"
top:233px;left:69px;,"3rd quarter, 10:39.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 27 ft<br>Toronto leads 62-46"
top:158px;left:230px;,"3rd quarter, 10:07.0 remaining<br>Scottie Barnes made 2-pointer from 13 ft<br>Toronto now leads 64-48"
top:49px;left:238px;,"3rd quarter, 9:21.0 remaining<br>Jakob Poeltl made 2-pointer from 2 ft<br>Toronto now leads 66-51"
top:96px;left:197px;,"3rd quarter, 8:51.0 remaining<br>Scottie Barnes made 2-pointer from 8 ft<br>Toronto now leads 68-54"
top:200px;left:325px;,"3rd quarter, 8:10.0 remaining<br>Scottie Barnes missed 2-pointer from 19 ft<br>Toronto leads 69-56"
top:59px;left:254px;,"3rd quarter, 7:53.0 remaining<br>Jakob Poeltl made 2-pointer from 3 ft<br>Toronto now leads 71-56"
top:36px;left:237px;,"3rd quarter, 7:20.0 remaining<br>Jakob Poeltl missed 2-pointer from 1 ft<br>Toronto leads 71-58"
top:31px;left:240px;,"3rd quarter, 7:15.0 remaining<br>Jakob Poeltl made 2-pointer from 0 ft<br>Toronto now leads 73-58"
top:31px;left:210px;,"3rd quarter, 6:45.0 remaining<br>Brandon Ingram missed 2-pointer from 3 ft<br>Toronto leads 73-60"
top:234px;left:82px;,"3rd quarter, 6:39.0 remaining<br>RJ Barrett made 3-pointer from 26 ft<br>Toronto now leads 76-60"
top:300px;left:314px;,"3rd quarter, 6:02.0 remaining<br>Jamal Shead missed 3-pointer from 28 ft<br>Toronto leads 76-63"
top:72px;left:204px;,"3rd quarter, 5:32.0 remaining<br>Jonathan Mogbo missed 2-pointer from 6 ft<br>Toronto leads 76-65"
top:83px;left:244px;,"3rd quarter, 5:14.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 5 ft<br>Toronto leads 76-66"
top:74px;left:238px;,"3rd quarter, 4:37.0 remaining<br>RJ Barrett made 2-pointer from 4 ft<br>Toronto now leads 78-66"
top:47px;left:464px;,"3rd quarter, 4:11.0 remaining<br>RJ Barrett made 3-pointer from 22 ft<br>Toronto now leads 81-66"
top:54px;left:261px;,"3rd quarter, 3:38.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 3 ft<br>Toronto leads 81-66"
top:39px;left:244px;,"3rd quarter, 3:12.0 remaining<br>Scottie Barnes made 2-pointer from 1 ft<br>Toronto now leads 83-66"
top:54px;left:106px;,"3rd quarter, 2:09.0 remaining<br>Scottie Barnes made 2-pointer from 14 ft<br>Toronto now leads 86-70"
top:258px;left:105px;,"3rd quarter, 1:53.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 26 ft<br>Toronto leads 86-72"
top:110px;left:337px;,"3rd quarter, 1:00.0 remaining<br>Scottie Barnes made 2-pointer from 13 ft<br>Toronto now leads 88-72"
top:150px;left:353px;,"3rd quarter, 0:31.0 remaining<br>Scottie Barnes made 2-pointer from 17 ft<br>Toronto now leads 90-75"
top:91px;left:112px;,"3rd quarter, 0:00.0 remaining<br>Scottie Barnes missed 2-pointer from 14 ft<br>Toronto leads 90-75"
top:174px;left:459px;,"4th quarter, 11:43.0 remaining<br>Sandro Mamukelashvili made 3-pointer from 26 ft<br>Toronto now leads 93-75"
top:134px;left:268px;,"4th quarter, 11:11.0 remaining<br>RJ Barrett missed 2-pointer from 11 ft<br>Toronto leads 93-75"
top:60px;left:3px;,"4th quarter, 10:57.0 remaining<br>Ja'Kobe Walter made 3-pointer from 24 ft<br>Toronto now leads 96-75"
top:159px;left:205px;,"4th quarter, 10:21.0 remaining<br>Scottie Barnes made 2-pointer from 13 ft<br>Toronto now leads 98-77"
top:163px;left:462px;,"4th quarter, 9:54.0 remaining<br>RJ Barrett missed 3-pointer from 26 ft<br>Toronto leads 98-80"
top:50px;left:262px;,"4th quarter, 9:33.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 3 ft<br>Toronto leads 98-80"
top:57px;left:8px;,"4th quarter, 9:29.0 remaining<br>RJ Barrett missed 3-pointer from 23 ft<br>Toronto leads 98-80"
top:193px;left:446px;,"4th quarter, 9:03.0 remaining<br>Sandro Mamukelashvili made 3-pointer from 26 ft<br>Toronto now leads 101-82"
top:38px;left:4px;,"4th quarter, 8:39.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 24 ft<br>Toronto leads 101-82"
top:31px;left:240px;,"4th quarter, 8:38.0 remaining<br>Jakob Poeltl made 2-pointer from 0 ft<br>Toronto now leads 103-82"
top:39px;left:256px;,"4th quarter, 7:53.0 remaining<br>Jakob Poeltl made 2-pointer from 2 ft<br>Toronto now leads 105-84"
top:43px;left:228px;,"4th quarter, 7:01.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 2 ft<br>Toronto now leads 107-87"
top:83px;left:468px;,"4th quarter, 6:32.0 remaining<br>RJ Barrett missed 3-pointer from 23 ft<br>Toronto leads 107-87"
top:31px;left:240px;,"4th quarter, 6:26.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 0 ft<br>Toronto now leads 109-87"
top:196px;left:204px;,"4th quarter, 5:57.0 remaining<br>Brandon Ingram missed 2-pointer from 17 ft<br>Toronto leads 109-89"
top:63px;left:468px;,"4th quarter, 5:17.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 23 ft<br>Toronto leads 110-89"
top:65px;left:473px;,"4th quarter, 4:26.0 remaining<br>Ja'Kobe Walter made 3-pointer from 24 ft<br>Toronto now leads 113-91"
top:303px;left:243px;,"4th quarter, 3:52.0 remaining<br>Brandon Ingram missed 3-pointer from 27 ft<br>Toronto leads 113-93"
top:100px;left:470px;,"4th quarter, 3:48.0 remaining<br>Jamal Shead missed 3-pointer from 24 ft<br>Toronto leads 113-93"
top:44px;left:270px;,"4th quarter, 3:38.0 remaining<br>Ja'Kobe Walter missed 2-pointer from 3 ft<br>Toronto leads 113-93"
top:31px;left:240px;,"4th quarter, 3:33.0 remaining<br>Jakob Poeltl missed 2-pointer from 0 ft<br>Toronto leads 113-93"
top:40px;left:449px;,"4th quarter, 3:06.0 remaining<br>Brandon Ingram made 2-pointer from 21 ft<br>Toronto now leads 115-93"
top:154px;left:240px;,"4th quarter, 2:38.0 remaining<br>Scottie Barnes missed 2-pointer from 12 ft<br>Toronto leads 115-95"
top:31px;left:240px;,"4th quarter, 2:33.0 remaining<br>Jakob Poeltl made 2-pointer from 0 ft<br>Toronto now leads 117-95"
top:114px;left:212px;,"4th quarter, 2:01.0 remaining<br>Markelle Fultz made 2-pointer from 9 ft<br>Toronto now leads 119-97"
top:86px;left:87px;,"4th quarter, 0:47.0 remaining<br>Markelle Fultz missed 2-pointer from 16 ft<br>Toronto leads 119-101"
top:274px;left:345px;,"4th quarter, 0:44.0 remaining<br>Gradey Dick missed 3-pointer from 27 ft<br>Toronto leads 119-101"
